,x1,x2
613,1.8,1.9
979,0.9,1.3
996,0.0,0.0
831,2.1,1.3
605,1.3,-0.0
890,1.3,1.8
568,1.4,-0.0
527,2.6,2.1
537,0.3,1.5
834,0.7,0.0
817,2.0,-0.0
566,1.4,0.0
874,0.6,0.0
904,3.2,3.6
675,1.7,0.0
788,0.2,0.1
594,0.4,3.1
948,1.8,4.9
934,1.8,2.1
829,2.1,0.0
981,1.0,1.3
771,1.4,2.3
567,1.5,0.0
986,1.1,1.3
581,0.9,2.1
578,1.6,4.2
808,0.6,2.6
509,1.7,-0.0
532,0.7,3.3
832,2.8,1.7
558,3.1,2.2
714,1.2,0.0
508,0.9,0.9
799,1.3,1.6
502,1.2,0.0
789,1.9,0.6
504,2.0,3.6
760,2.5,1.0
547,1.6,-0.0
632,1.5,-0.0
634,1.3,-0.0
937,1.5,-0.0
967,2.3,1.0
715,0.3,1.0
957,1.2,0.0
659,0.7,1.9
838,2.0,2.2
724,1.1,4.2
781,1.3,0.8
925,0.1,0.6
726,1.4,0.0
526,1.5,0.0
661,1.4,2.2
737,1.1,-0.0
614,1.9,0.0
924,1.5,0.0
658,1.0,0.0
833,1.3,0.0
871,2.2,0.0
777,0.9,2.1
620,2.1,3.3
606,1.9,1.9
865,1.0,2.6
841,1.3,0.4
909,1.2,2.6
637,3.1,0.0
794,2.1,-0.0
791,0.3,1.8
914,2.3,2.8
886,2.9,0.0
815,0.2,1.3
921,1.4,0.0
849,1.5,-0.0
746,0.9,1.0
529,0.0,0.1
515,2.3,3.3
944,1.7,0.0
739,2.2,1.3
725,1.8,0.7
801,1.2,-0.0
950,0.3,1.4
802,2.8,0.0
563,3.6,3.1
811,1.2,0.0
859,0.9,2.3
696,0.5,1.8
864,1.4,2.6
763,0.0,3.8
919,1.0,-0.0
943,1.3,1.3
730,0.4,1.0
697,0.6,-0.0
501,1.5,2.3
707,1.3,-0.0
762,1.0,1.4
983,2.6,1.8
882,1.3,-0.0
947,2.1,-0.0
973,0.3,1.8
775,1.4,-0.0
