ix,goal_cost,intv_cost
820,1.0,1.8
579,1.0,2.1
846,1.0,0.2
735,1.0,0.2
620,1.0,2.1
703,1.0,0.1
739,1.0,5.5
961,1.0,0.7
750,1.0,3.2
910,1.0,1.4000000000000001
803,1.0,0.4
966,0.967,0.1
679,1.0,0.9
577,1.0,0.7
540,1.0,0.8999999999999999
869,1.0,0.8
723,1.0,0.2
595,1.0,0.4
714,1.0,1.4
984,1.0,0.1
655,1.0,0.6
746,1.0,3.8000000000000003
748,1.0,2.1
880,1.0,0.8
611,1.0,0.4
902,1.0,1.9000000000000001
658,1.0,3.5
837,1.0,2.1
975,1.0,0.30000000000000004
732,1.0,0.2
510,1.0,0.6
664,1.0,0.1
947,1.0,0.1
828,1.0,0.7
535,1.0,0.2
586,1.0,0.30000000000000004
574,1.0,0.8
602,1.0,0.3
578,1.0,2.6
738,1.0,2.1999999999999997
533,1.0,0.3
661,1.0,0.1
715,1.0,5.4
612,1.0,1.2
907,1.0,5.0
862,1.0,0.9
635,1.0,0.1
859,1.0,2.8
583,1.0,1.1
811,1.0,0.2
552,1.0,2.8000000000000003
582,1.0,6.9
654,1.0,1.6
717,1.0,1.2
558,1.0,1.0
629,1.0,1.4000000000000001
782,1.0,0.4
830,1.0,0.8999999999999999
633,1.0,1.1
806,1.0,0.5
608,1.0,1.2
676,1.0,0.1
657,1.0,1.4
546,1.0,3.4000000000000004
538,1.0,0.2
831,1.0,0.1
651,1.0,1.6
518,1.0,8.5
876,1.0,0.1
563,1.0,1.2000000000000002
744,1.0,4.2
623,1.0,4.5
702,1.0,0.2
663,1.0,0.2
506,1.0,2.5
758,1.0,0.4
671,1.0,3.2
785,1.0,1.0
922,1.0,1.9
821,1.0,0.2
976,1.0,1.8
718,1.0,1.1
949,1.0,1.9
511,1.0,0.2
864,1.0,4.2
823,1.0,3.2
840,1.0,0.9
965,1.0,1.9
681,1.0,4.6
601,1.0,0.2
519,1.0,2.5
534,1.0,1.6
928,1.0,2.3
713,1.0,0.6
706,1.0,0.9
777,1.0,0.1
899,1.0,5.7
998,1.0,2.5999999999999996
591,1.0,1.1
844,1.0,2.7
