,x1,x2,x3
680,0.2,-0.0,-0.2
975,0.9,1.7,2.6
886,0.4,0.0,0.0
509,1.7,0.0,1.9
840,0.6,0.0,-0.0
642,0.0,0.7,0.4
839,-0.0,-0.0,0.1
573,1.1,0.4,1.2
676,1.3,-0.0,-0.0
659,0.8,0.9,1.6
616,-0.0,-0.1,-0.0
554,0.0,0.1,0.0
798,-0.1,0.0,-0.0
776,0.3,-0.0,0.3
660,-0.0,0.4,0.2
779,2.1,-0.1,3.4
502,0.5,-0.0,0.3
795,-0.0,0.1,-0.2
756,0.4,0.1,0.5
528,0.0,1.2,0.0
664,2.0,0.0,-0.1
684,0.5,1.5,1.7
882,0.3,0.3,0.3
871,-0.0,0.6,0.4
853,0.8,-0.0,0.1
650,0.1,0.0,-0.0
601,0.3,0.0,0.0
726,1.3,0.0,0.0
925,0.9,0.0,-0.0
950,0.7,1.3,-0.0
544,-0.1,0.0,0.4
569,-0.2,0.0,0.0
522,1.9,0.0,2.8
768,0.2,-0.1,0.0
635,-0.0,0.5,0.0
747,-0.0,0.2,0.2
553,0.7,0.1,0.9
718,0.7,0.0,2.1
857,1.2,0.0,1.3
631,0.0,0.2,-0.0
955,0.4,-0.0,0.2
709,0.7,0.0,-0.0
586,0.0,0.0,-0.1
775,0.5,-0.0,0.0
557,0.7,-0.0,0.1
917,0.6,0.0,0.8
789,-0.0,-0.1,-0.0
508,0.1,0.0,0.0
546,1.2,0.0,0.0
934,0.3,-0.0,3.0
862,0.0,0.8,0.0
991,0.0,0.4,1.0
879,0.3,-0.0,-0.0
849,0.2,0.0,-0.0
801,0.5,-0.0,0.1
738,-0.0,-0.1,0.4
905,0.7,-0.0,0.8
921,0.1,-0.0,0.0
978,1.3,0.0,2.8
606,0.2,-0.1,-0.0
728,0.0,0.1,-0.0
647,0.1,0.3,0.9
993,0.4,0.0,0.2
644,-0.0,0.3,0.6
782,0.1,0.4,3.0
810,0.1,0.0,0.0
729,0.8,-0.0,0.0
530,-0.2,-0.0,-0.1
937,0.2,-0.0,-0.0
803,0.0,1.2,1.6
655,0.1,0.8,1.7
817,0.2,-0.0,0.0
686,-0.0,-0.1,0.1
802,1.0,0.7,-0.0
926,0.6,0.1,0.8
750,0.7,-0.0,1.3
841,1.4,1.2,2.2
511,0.8,0.2,1.2
623,0.9,0.1,1.4
784,1.2,0.0,-0.0
640,0.0,0.0,0.4
940,1.0,0.0,1.0
990,0.2,0.1,0.3
564,0.5,0.1,-0.0
875,0.2,1.5,0.0
670,0.7,0.0,0.9
998,0.4,-0.0,0.9
891,0.4,0.3,1.3
558,-0.2,0.0,0.0
716,0.4,0.5,0.0
847,0.0,0.4,2.8
824,0.0,0.8,0.4
505,0.0,0.8,0.0
814,2.1,0.0,0.0
785,0.1,-0.1,-0.1
627,0.0,-0.1,-0.0
617,1.5,-0.0,-0.0
868,1.5,0.8,2.7
552,0.4,0.7,0.5
968,-0.1,0.4,0.1
