,x1,x2,x3
678,-0.6168231,-0.4324554,-0.96929276
887,-0.32314736,-0.43694395,-0.7809282
641,-0.35163218,-0.32008472,-0.88366723
550,-0.34818757,-0.42491823,-1.0623431
610,-0.30102503,-0.39332053,-1.0109867
515,-0.3590851,-0.36469853,-0.6325209
841,-0.22800067,-0.14693251,-0.43552747
667,-0.3034661,-0.67163247,-1.0417554
930,-0.14856997,-0.17608422,-0.83310485
714,-0.15712835,-0.34905022,-0.896753
790,-0.33587003,-0.4307145,-0.81971407
986,-0.34959295,-0.3618464,-0.67574745
968,-0.18184683,-0.34110126,-0.7066822
704,-0.063342296,-0.3035708,-0.6505179
854,-0.10898425,-0.35155568,-0.6459017
881,0.19306384,-0.4072874,0.07921621
519,-0.29009658,-0.4323273,-0.7243269
590,0.40483478,-2.4304092,-0.2733035
915,-0.3631253,-0.4011577,-0.70028156
568,-0.6529728,0.707479,-0.10070865
883,0.19279777,0.19722031,0.33039302
821,0.3869974,0.08847472,0.31445518
514,-0.22417751,-0.4737038,-0.752886
502,-1.099549,-1.3597308,0.33152515
964,-0.20410623,0.37273672,0.31621724
976,-0.34584475,-0.36562455,-0.7693063
599,-0.31151718,-0.43398768,-0.9276905
888,0.33942944,-0.028039813,-0.37884307
922,-0.33468366,-0.41249675,-1.0433114
946,-0.26873744,0.5003142,-0.13874581
852,0.23512447,-0.45355254,-0.7716156
994,-0.3061329,-0.40785775,-0.6323999
835,-0.33417967,-0.479556,-0.99520266
803,-0.37924087,-0.4010083,-0.6354279
511,-0.30045706,-0.4384601,-1.0004395
734,-1.2778778,-1.3910238,0.33133513
632,-0.2942553,0.24506259,0.016828824
709,-0.25664324,-0.31895837,-0.9658766
633,0.30964452,-3.3008053,-0.29367962
717,0.0047427327,-0.4007703,-0.56360143
722,-0.22505128,-0.14323072,-0.7529076
797,-0.39734313,-0.36486724,-0.83809465
595,-0.22277513,-0.36936447,-0.5825944
701,-0.204971,0.3538345,0.1650417
535,-0.3202052,-0.46078596,-1.0374829
748,-0.35714978,-0.37383798,-0.6871329
837,-2.4100282,-1.4667876,0.3206993
698,-0.30306137,-0.5053904,-0.8574319
872,-0.14931889,-0.434691,-0.5011994
516,-0.2878399,-0.44571513,-0.8107675
611,-0.29620025,-0.50226164,-0.7801457
869,-0.24556854,0.35778797,0.15824771
937,0.11094819,0.20075862,0.30419654
795,-0.21622127,0.17480677,0.29665384
751,0.33857438,-0.37246543,-0.6173361
858,-0.15927905,-0.40489408,-0.54426455
728,0.00900698,-0.37361708,-0.37034228
947,-0.31327614,-0.50175536,-0.7737173
577,-0.3534518,-0.3885842,-0.82174885
715,-0.27110565,-0.28584224,-0.73958516
673,-0.2998857,0.32613868,-0.14806882
838,-0.19527952,-0.38398787,-0.77891225
773,0.15115233,-0.5105429,-0.22677483
875,-0.27021533,-0.45217797,-0.47055903
808,0.35265064,0.15395436,0.6574564
702,-0.3513726,-0.3744848,-0.9034145
583,-0.33964342,-0.388769,-0.96178436
531,-0.3374673,-0.40565777,-0.7750866
621,-0.5982974,-1.4522023,0.33246884
665,-0.5179632,-0.5316081,-0.9889063
721,-0.078903005,0.006597057,-0.28361827
899,-0.44410208,0.48717418,0.11959084
849,-0.25883827,0.7695289,0.53986216
782,-0.32862353,-0.4406577,-0.8215353
517,-0.30857372,-0.49835286,-0.69959855
548,-0.18693958,-0.44315547,-0.76086396
640,0.26269302,0.08610527,0.36266044
890,-0.3175671,-0.44125897,-0.75957096
969,0.24620363,0.01436685,0.30943224
716,-0.27278692,-0.4432559,-0.49357185
555,-0.1881831,-0.048354425,-0.31171542
742,-0.26275253,-0.36729458,-0.57713836
662,-0.12825626,0.22381333,0.2777427
571,-0.3970428,0.12396493,-0.8310166
929,-0.3405729,-0.43191856,-0.88494575
544,-0.34485036,-0.4332171,-0.7088828
798,-1.6493726,-1.3730353,0.35095748
567,0.23944575,-0.4798459,-0.22756347
543,-0.30643365,-0.50747746,-0.81106323
741,-0.2887107,-0.34228808,-0.89372975
779,-0.32146996,-0.3524155,-0.80346775
557,0.2686511,-0.47750586,-0.25701037
623,-0.021105783,-0.07091368,-0.2917976
657,-0.31177533,-0.46930915,-1.0401363
750,-0.06110522,-0.33670905,-0.77464586
687,-0.32593626,-0.44342953,-0.6522811
658,0.04365503,-0.1517514,0.38079596
570,-0.32559997,-0.36906332,-0.7648698
989,-0.601195,-0.4315261,-0.95607245
774,-0.33391508,-0.4507208,-0.32084608
