ix,goal_cost,intv_cost
902,0.818,0.9
769,0.758,1.7000000000000002
862,0.909,0.6
660,0.76,0.6
630,0.753,9.8
793,0.7509999871253967,2.5
654,0.759,1.9
782,0.765,1.5
577,0.752,2.7
962,0.8389999866485596,0.0
646,0.771,7.800000000000001
983,0.779,0.8
865,0.784,1.9
624,0.767,1.2
546,0.792,1.3
965,0.888,2.4
829,0.869,1.1
713,0.751,2.2
715,0.821,0.7
585,0.77,1.4
592,0.756,8.4
874,0.757,1.1
843,0.763,4.4
952,0.751,1.1
536,0.765,2.4
877,0.777,2.2
935,0.762,0.7
615,0.763,1.4000000000000001
641,0.757,2.3
904,0.88,0.6
696,0.754,1.5
855,0.756,3.5
687,0.845,0.9
619,0.757,2.7
799,0.767,6.4
601,0.765,4.199999999999999
982,0.784,4.4
985,0.766,2.3
685,0.782,2.8
569,0.755,4.2
767,0.819,2.9000000000000004
800,0.826,0.4
747,0.758,4.7
892,0.757,5.699999999999999
527,0.757,3.1
714,0.767,12.6
652,0.773,8.100000000000001
581,0.765,3.4000000000000004
947,0.756,6.7
996,0.901,1.1
995,0.752,2.6
565,0.752,4.1
881,0.808,2.2
755,0.7799999713897705,0.5
673,0.768,1.1
551,0.764,1.8
761,0.757,3.9000000000000004
821,0.759,10.5
734,0.846,0.2
788,0.771,2.7
912,0.767,1.0
510,0.763,5.3
991,0.753,1.9
925,0.754,3.2
896,0.943,1.4
802,0.767,3.8999999999999995
549,0.778,1.2000000000000002
814,0.752,1.4
724,0.769,1.3
873,0.764,3.3
954,0.819,0.5
717,0.772,3.8
760,0.751,2.5
899,0.7519999742507935,0.5
603,0.832,0.6
907,0.768,5.1
922,0.7549999952316284,2.0
975,0.757,8.0
871,0.816,0.8
590,0.78,1.4
680,0.753,7.2
776,0.761,5.0
919,0.761,6.6
928,0.798,0.6
856,0.764,2.7
614,0.758,2.5
511,0.765,0.7
993,0.754,9.6
772,0.773,5.699999999999999
868,0.764,2.1
531,0.764,5.1
570,0.761,7.1
850,0.755,7.699999999999999
625,0.752,0.8
675,0.932,1.2
500,0.764,10.0
514,0.802,0.6
563,0.78,2.6
742,0.755,0.8
779,0.773,0.6
