,y_hat
568,False
623,False
563,False
713,False
817,False
922,False
951,False
785,False
854,False
570,False
895,False
815,False
925,False
689,False
728,False
878,False
986,False
506,False
902,False
722,False
872,False
746,False
585,False
900,False
720,False
820,False
716,False
881,False
675,False
519,False
934,False
965,False
978,False
980,False
997,False
940,False
532,False
712,False
813,False
657,False
699,False
576,False
702,False
956,False
903,False
926,False
615,False
512,False
670,False
889,False
510,False
953,False
942,False
633,False
574,False
846,False
871,False
677,False
602,False
928,False
756,False
842,False
597,False
927,False
809,False
692,False
606,False
517,False
649,False
861,False
651,False
644,False
860,False
862,False
855,False
664,False
850,False
961,False
648,False
821,False
662,False
844,False
669,False
569,False
990,False
620,False
550,False
952,False
966,False
823,False
947,False
681,False
721,False
919,False
911,False
869,False
914,False
558,False
668,False
851,False
