,x1,x2,x3
899,0.5,-0.0,0.4
880,0.5,0.5,1.3
739,1.5,1.3,3.7
963,0.0,0.2,0.9
691,1.9,4.1,5.5
627,2.8,2.3,4.5
558,0.3,2.0,2.4
696,0.6,-0.0,-0.0
993,-0.1,-0.0,1.5
523,1.8,1.5,3.0
763,1.8,2.0,3.3
584,0.1,2.1,-0.0
897,0.5,0.0,0.9
762,0.7,1.5,2.1
801,1.0,2.1,3.6
571,1.7,2.3,3.9
680,0.1,1.3,-0.0
556,0.4,1.2,0.0
717,0.6,0.0,1.8
746,1.8,0.0,-0.0
796,0.2,0.3,0.0
902,2.3,0.3,2.6
672,0.5,1.5,3.0
967,1.1,0.0,2.3
983,0.7,0.6,0.4
536,2.6,2.6,4.9
663,0.3,1.0,0.1
990,1.3,-0.0,2.6
997,0.9,0.7,0.6
929,2.1,4.1,5.0
599,2.3,2.1,4.6
783,0.0,3.5,5.7
567,0.1,0.0,0.2
860,2.5,2.8,5.2
757,1.3,0.4,2.6
640,0.8,0.5,1.7
764,1.6,0.0,0.0
521,2.0,0.0,0.0
511,1.9,2.6,3.0
992,0.1,0.3,0.1
920,0.9,1.4,1.3
909,0.9,0.8,2.8
641,2.1,3.7,6.6
702,0.0,2.1,2.1
513,0.7,1.3,1.9
846,1.4,1.1,1.9
822,2.0,2.6,3.6
736,0.5,0.7,-0.0
753,1.4,-0.0,0.0
797,0.0,1.5,0.0
940,0.1,0.0,-0.0
728,0.3,2.6,1.9
625,1.4,1.0,2.7
999,1.2,0.0,1.8
743,1.2,2.6,4.1
835,2.3,2.9,5.6
655,1.7,1.2,4.0
814,1.1,1.8,3.1
733,0.3,0.1,0.0
766,1.0,0.2,2.8
935,0.1,1.1,-0.0
580,0.0,0.3,0.7
793,0.1,0.2,0.7
924,1.8,1.2,4.6
514,2.7,1.8,-0.0
723,1.5,0.0,-0.0
602,2.1,0.0,-0.0
578,1.5,1.5,4.7
645,0.9,1.4,0.8
707,1.1,0.0,-0.0
851,1.1,0.0,1.3
616,0.5,2.0,2.9
735,0.9,2.0,1.9
951,0.6,0.0,0.0
626,1.3,2.1,2.5
943,0.1,2.1,1.3
678,2.7,0.0,-0.0
583,2.3,2.0,3.6
617,0.4,-0.0,-0.0
886,0.5,1.9,1.7
510,0.6,0.1,-0.0
786,0.0,1.8,-0.0
694,0.9,1.6,2.2
597,1.0,2.8,0.0
964,1.3,-0.0,2.2
534,0.6,2.0,3.0
509,0.8,0.8,2.1
577,0.3,0.8,3.3
820,0.9,3.0,4.0
957,1.8,1.4,2.8
637,0.3,0.1,1.9
770,2.1,1.6,3.3
684,1.3,-0.0,2.5
900,0.0,-0.0,0.0
517,0.8,0.1,0.2
727,0.9,1.2,-0.0
965,1.4,2.8,3.2
722,-0.0,0.2,1.4
519,0.6,2.6,4.7
948,1.3,0.0,0.0
