ix,goal_cost,intv_cost
904,1.0,8.3
614,1.0,1.5
941,1.0,0.1
521,1.0,0.1
921,1.0,0.8
731,1.0,0.30000000000000004
797,1.0,8.2
688,1.0,0.6
500,1.0,5.0
684,1.0,0.4
696,1.0,0.5
635,1.0,0.30000000000000004
558,1.0,6.0
912,1.0,0.7999999999999999
871,1.0,2.2
668,1.0,6.0
728,1.0,0.8
502,1.0,0.6000000000000001
763,1.0,2.7
953,1.0,4.4
557,1.0,2.4000000000000004
678,1.0,3.2
920,1.0,0.4
654,1.0,1.6
515,1.0,5.3
637,1.0,1.6
547,1.0,1.6
926,1.0,1.8
523,1.0,0.1
586,1.0,0.1
743,1.0,2.4
587,1.0,0.7
809,1.0,0.30000000000000004
799,1.0,0.30000000000000004
937,1.0,0.30000000000000004
638,1.0,1.2
623,1.0,0.4
755,1.0,0.30000000000000004
789,1.0,0.1
973,1.0,0.5
924,1.0,2.3
703,1.0,2.0
642,1.0,0.30000000000000004
950,1.0,0.5
838,1.0,0.9
567,1.0,1.0
631,1.0,0.2
978,1.0,0.2
935,1.0,0.30000000000000004
647,1.0,0.1
948,1.0,6.5
987,1.0,4.0
737,1.0,0.5
818,1.0,0.8
820,1.0,6.6
825,1.0,0.30000000000000004
795,1.0,3.4000000000000004
507,1.0,0.1
833,1.0,0.5
886,1.0,6.0
562,1.0,4.0
552,1.0,5.800000000000001
751,1.0,2.0
581,1.0,0.4
945,1.0,0.4
988,1.0,0.8
845,1.0,1.7
890,1.0,1.4
526,1.0,0.2
808,1.0,0.5
934,1.0,3.4
693,1.0,0.8999999999999999
504,1.0,5.9
734,1.0,1.4
509,1.0,1.8
569,1.0,1.2
622,1.0,1.7999999999999998
753,1.0,1.7999999999999998
813,1.0,0.2
713,1.0,0.2
680,1.0,0.2
993,1.0,1.1
982,1.0,0.1
959,1.0,0.2
669,1.0,0.2
958,1.0,0.1
607,1.0,6.2
864,1.0,2.7
964,1.0,4.6
725,1.0,0.1
537,1.0,0.30000000000000004
791,1.0,0.7
919,1.0,0.30000000000000004
739,1.0,0.6000000000000001
663,1.0,0.7000000000000001
617,1.0,4.3
632,1.0,0.30000000000000004
619,1.0,0.30000000000000004
575,1.0,2.2
999,1.0,2.3
