,x1,x2
599,1.8,-0.0
516,2.6,2.3
501,0.6,0.0
743,1.0,0.0
536,0.7,1.8
719,0.3,-0.0
559,1.3,1.5
590,0.3,1.3
969,1.3,2.1
560,0.7,1.0
552,0.7,1.3
954,1.3,1.0
813,0.5,0.9
920,2.2,2.3
692,0.6,1.3
693,2.6,1.9
581,1.3,0.0
688,0.3,-0.0
672,0.7,0.0
576,0.9,-0.0
509,1.3,1.6
870,1.8,1.5
705,0.9,0.2
991,2.1,-0.0
587,1.4,2.6
831,1.0,-0.0
622,1.4,0.0
765,1.6,0.0
978,1.5,-0.0
651,0.9,0.0
880,1.4,2.6
711,0.7,1.3
585,1.6,-0.0
890,1.9,-0.0
861,0.8,2.1
682,1.8,-0.0
601,1.4,1.6
615,1.9,-0.0
644,2.1,1.7
668,1.7,2.6
822,0.4,-0.0
981,0.5,-0.0
506,1.5,1.9
985,0.9,1.8
740,1.0,1.8
998,1.4,0.9
887,1.4,2.3
806,1.4,0.0
793,1.6,1.8
529,2.1,2.0
700,1.4,-0.0
632,1.3,0.8
975,1.3,1.3
678,0.9,1.3
636,0.5,-0.0
903,0.5,0.7
621,0.5,0.7
982,0.9,1.4
699,0.9,-0.0
707,0.9,0.0
993,0.6,-0.0
775,0.2,2.6
935,0.7,1.3
941,0.4,0.0
897,1.6,2.1
789,0.9,1.4
505,0.2,0.9
522,1.2,1.8
830,1.8,2.5
872,2.2,-0.0
972,0.7,1.3
840,0.7,0.0
888,1.8,4.1
728,1.3,1.6
929,1.6,-0.0
642,1.1,-0.0
666,2.7,4.1
663,1.0,0.0
753,0.7,-0.0
709,1.3,2.1
727,1.2,2.1
652,1.8,1.9
776,2.8,2.3
754,0.8,0.0
889,3.8,2.9
757,1.1,1.5
960,2.1,3.6
657,2.5,3.1
807,2.5,2.3
883,0.9,0.0
745,1.6,0.0
614,1.4,-0.0
687,1.4,2.1
731,0.8,1.3
913,2.0,-0.0
726,0.8,0.0
605,1.6,1.7
549,1.2,-0.0
554,0.9,0.0
881,1.9,1.3
