,x1,x2
758,0.8,0.0
673,2.3,0.0
637,1.0,2.6
911,0.4,0.0
914,-0.0,0.1
968,-0.1,2.1
726,0.1,-0.0
896,0.1,1.5
831,0.8,1.9
607,0.1,2.6
652,-0.0,1.8
863,-0.0,0.5
503,0.2,2.1
515,1.3,0.3
984,1.0,1.5
553,1.3,-0.0
623,0.8,1.6
525,0.4,1.3
529,1.5,-0.0
536,0.7,2.6
795,1.5,0.3
948,1.3,2.6
900,0.1,1.5
538,1.3,2.0
904,0.3,0.0
708,1.4,0.0
985,0.8,2.3
767,-0.0,1.0
670,0.8,2.9
808,0.2,2.2
719,1.4,-0.0
621,1.4,0.0
788,1.9,-0.0
674,1.0,-0.0
516,1.0,2.1
710,0.3,0.1
864,1.0,0.7
535,0.4,0.0
804,0.5,0.0
972,0.9,-0.0
732,0.9,-0.0
616,-0.0,1.3
765,0.7,-0.0
746,1.1,-0.0
532,0.4,1.3
828,0.3,3.0
961,0.5,0.5
668,0.3,0.0
569,0.9,0.0
928,1.0,-0.0
822,1.2,0.0
897,0.9,-0.0
511,0.3,1.3
533,0.8,-0.0
560,-0.0,0.2
881,0.8,2.3
816,0.7,1.9
666,-0.0,1.7
698,-0.0,2.8
954,1.0,-0.0
577,1.5,0.0
787,1.1,0.0
725,0.2,0.7
501,1.4,0.0
742,0.6,0.0
859,1.7,0.0
868,0.2,0.0
830,0.4,-0.0
943,1.6,1.6
552,0.4,-0.0
805,1.0,-0.0
952,2.1,1.4
803,0.7,0.0
778,0.3,0.1
570,1.0,-0.0
871,1.2,-0.0
634,0.8,0.0
927,0.7,1.3
643,1.0,0.9
936,0.7,-0.0
558,1.3,-0.0
872,1.3,0.2
583,0.2,3.7
856,0.3,2.3
545,0.5,1.9
693,1.0,1.7
876,0.4,-0.0
507,0.1,0.0
513,1.2,-0.0
839,0.9,2.6
687,1.4,-0.0
973,0.8,0.0
626,0.0,1.5
969,0.0,1.9
638,1.0,0.0
857,1.3,1.1
619,1.0,1.8
519,1.0,-0.0
825,0.7,1.3
855,0.6,3.2
