,x1,x2,x3
719,0.64447117,2.0744228,3.3601341
677,-0.07888596,1.0949221,2.7438874
842,1.0141611,1.7905846,5.017033
703,0.9834053,0.2830525,2.3298094
528,0.62336147,-0.1649009,0.7929983
500,0.24950275,0.90782523,4.3760047
531,0.17852028,0.8342404,1.6030407
846,0.8793955,0.90800846,3.7233195
659,0.6806034,0.13532186,1.111155
693,0.6861229,0.26052046,1.3987005
895,0.54201144,0.7644721,0.3818407
859,0.7880806,-0.63457453,-1.4795206
557,0.6169807,0.45980865,2.9948564
897,0.39815098,0.71827304,2.4909058
787,0.6240833,0.5992538,0.48605013
650,-0.36362642,1.4462373,1.4745101
929,1.2171998,-0.017524946,0.41149628
927,0.3352694,0.7919911,1.4838881
796,0.7324989,-0.4848621,2.6575775
686,0.1493419,1.0038579,4.025037
634,0.8647469,-0.15294397,0.9341382
909,0.7689309,0.6160518,0.93198556
586,0.8725331,-1.4726727,-0.019309878
919,0.5438034,0.53514844,0.5304328
770,0.70493454,0.0047417283,2.4430795
906,0.80074155,1.4280083,3.3059042
916,-0.16464242,1.2678978,0.61126333
785,0.92818266,1.770891,4.084271
742,-0.22810563,1.3673495,2.3136775
727,0.30918115,0.8218832,3.16578
670,1.0053964,0.087838456,2.9128995
890,0.3035713,0.8708709,4.102643
613,0.19679594,0.89702606,3.1207454
940,0.18341284,0.91968685,0.56718874
563,0.39956588,0.7449287,-0.028206468
610,0.8056567,1.0486255,4.0108395
559,0.1723517,1.0968953,2.1807346
714,0.7056949,0.72707134,1.5754648
953,0.26780382,0.9566168,3.3047943
813,0.70755565,1.319042,4.292222
939,0.19234377,0.87230384,2.918149
936,0.91073173,0.53225935,2.8671043
781,0.988179,0.117895626,2.3162155
951,0.72845006,0.31639823,1.9617295
823,0.9474231,0.103703305,3.3941479
651,0.5592148,0.6405618,1.6145618
612,1.0889798,0.005887461,1.49846
733,0.82082355,0.5170581,2.2934303
567,0.36550358,0.69531345,2.238727
609,0.11035826,1.0599447,4.594491
907,0.7552276,-0.7452293,-1.2605481
698,-0.07858306,1.1089066,2.882844
602,0.7974316,0.83007807,2.783682
776,0.71821314,0.98712575,2.7699232
811,0.644442,0.105651855,1.3261228
646,1.0076321,-0.33149981,1.6315286
917,0.7426609,0.6891607,1.7982409
552,0.586825,0.5245143,1.7664518
641,0.89251363,-0.37671566,1.7717317
735,0.88322055,-0.9734256,-0.4322638
903,-0.18367523,1.3418922,2.38066
768,0.12081399,0.9983269,3.0151122
695,0.70971966,0.4702264,1.4337437
862,0.8462314,-0.67661494,2.3202147
766,0.41190988,0.6615635,2.8570242
687,0.8695899,1.0360957,3.4166405
885,0.58281493,0.58370763,1.0583599
760,0.84224343,0.0016299486,2.702141
571,0.92794615,0.57954556,3.4948406
545,0.4924706,0.64409393,1.3383902
649,0.7675501,1.201363,2.7583008
704,0.27388138,0.8058054,4.8416576
696,0.61574626,-0.10217196,1.4029624
979,0.6896521,-0.41738713,2.6476414
680,0.68663865,1.5350726,2.608
877,0.738202,0.42840853,2.7818887
607,0.73715633,1.1967584,3.3838568
825,0.76503295,-0.14811516,-0.26308322
514,0.26146775,0.73001134,1.1882336
598,0.5640609,0.5126953,3.696855
840,0.8307863,-1.0818694,-0.7307453
992,1.2938977,-0.12886484,2.1425285
765,0.9435667,0.16347404,4.753499
575,0.7274557,1.4827108,3.8843925
803,0.5986823,0.60399723,1.1197551
944,-0.202437,1.1978412,1.4887642
745,0.7098118,1.1363297,3.4789014
830,0.70483506,-0.2586947,-0.7669948
930,0.20412646,0.9920732,2.0834696
914,1.348421,-0.019139552,1.7211156
749,0.81220764,0.16509879,1.8656335
580,-0.16435243,1.3625761,2.5470757
636,0.7084267,-0.9166876,1.1268631
519,0.70731896,-0.5100145,1.5272453
512,0.41736507,0.76420367,2.5834224
638,0.69683415,0.43778506,2.0978043
871,0.5415416,0.525829,2.5922341
639,0.6693935,-0.0137299895,2.7125874
599,0.14287192,0.99024004,1.0950366
898,0.3600572,0.7211789,1.8928554
