,x1,x2,x3
956,0.3,1.3,2.1
997,0.0,1.9,2.1
704,-0.1,3.4,-0.0
899,0.5,1.0,2.3
861,1.0,0.0,0.9
803,0.7,1.9,3.1
683,-0.0,0.6,1.3
750,1.5,-0.0,2.7
694,3.8,3.7,7.7
860,2.3,3.1,6.1
565,0.5,0.0,0.7
562,1.7,0.0,2.1
966,1.5,3.3,4.7
521,0.0,3.3,0.0
810,0.1,0.8,0.0
697,0.7,1.3,1.8
983,0.1,0.4,0.0
754,1.5,0.0,1.9
672,1.9,2.6,4.5
673,0.1,1.9,1.8
579,0.2,0.0,-0.0
859,1.2,0.0,1.3
846,0.3,1.1,1.3
551,0.1,1.1,-0.0
925,1.8,0.3,1.8
552,1.3,1.0,2.6
602,0.9,0.0,1.0
608,1.3,1.2,2.8
961,1.5,1.8,3.3
908,0.3,0.9,0.9
889,1.7,-0.0,2.0
945,0.7,0.1,1.5
766,0.4,-0.0,0.0
930,2.5,3.8,6.2
784,1.0,0.0,0.1
517,0.1,1.3,1.6
780,1.3,1.3,2.5
991,0.1,1.4,0.0
944,0.3,0.9,2.1
619,0.9,-0.0,0.9
808,1.8,0.5,-0.0
941,1.4,-0.0,5.2
621,0.4,0.3,1.3
886,2.3,2.0,4.7
758,1.5,-0.0,1.6
653,0.7,0.8,1.7
973,0.7,0.0,1.2
887,0.2,0.9,0.9
519,0.5,1.3,1.8
626,1.3,-0.0,1.8
701,1.3,-0.0,1.6
607,0.7,-0.0,0.8
728,0.4,0.5,0.8
727,0.5,2.8,3.1
622,1.1,1.6,2.8
940,0.0,0.4,0.9
716,1.7,2.1,4.0
500,0.5,2.1,2.5
881,0.4,1.4,1.5
900,1.4,0.0,1.7
631,0.2,1.3,1.5
546,1.6,0.5,-0.0
778,0.7,0.9,1.8
522,0.0,0.8,0.6
592,1.0,2.6,3.3
681,0.9,-0.0,1.8
882,0.4,-0.0,0.9
503,1.2,-0.0,-0.0
844,-0.0,0.5,0.0
523,0.8,1.0,1.8
962,1.7,0.0,1.3
510,1.8,-0.0,1.5
845,1.1,0.0,0.1
598,1.0,0.3,-0.0
967,0.7,-0.0,0.0
814,0.6,-0.0,0.7
569,0.7,0.5,1.3
852,0.8,-0.0,1.4
876,0.9,1.1,0.0
806,0.4,0.5,1.3
736,0.9,0.0,1.6
609,0.4,1.2,0.0
643,0.8,0.5,0.0
508,1.3,1.8,3.2
706,1.5,-0.0,-0.0
827,1.0,0.0,-0.0
699,1.5,2.6,3.9
752,1.0,-0.0,0.9
779,1.5,2.3,3.8
657,0.5,1.3,1.0
765,2.1,-0.0,4.2
730,0.3,1.3,1.4
635,2.5,1.1,3.6
749,0.0,0.5,0.9
640,2.1,1.4,3.3
832,0.7,-0.0,0.0
999,0.9,2.3,0.0
957,0.7,0.0,-0.0
775,0.6,-0.0,0.8
768,1.1,-0.0,1.6
