,y_hat
758,False
599,False
910,False
913,False
883,False
864,False
885,False
892,False
901,False
546,False
563,False
929,False
849,False
822,False
745,False
939,False
786,False
900,False
924,False
869,False
696,False
665,False
832,False
706,False
752,False
609,False
628,False
789,False
691,False
997,False
880,False
670,False
830,False
779,False
931,False
801,False
797,False
532,False
928,False
684,False
555,False
693,False
785,False
823,False
611,False
990,False
790,False
652,False
718,False
828,False
852,False
980,False
970,False
723,False
917,False
848,False
809,False
586,False
719,False
732,False
570,False
933,False
764,False
560,False
712,False
731,False
925,False
509,False
681,False
539,False
502,False
637,False
979,False
603,False
961,False
664,False
617,False
999,False
709,False
666,False
535,False
645,False
529,False
575,False
683,False
965,False
998,False
863,False
703,False
878,False
658,False
631,False
596,False
989,False
525,False
824,False
671,False
710,False
545,False
648,False
