,h_post,h_post_individualized
958,0.76613826,
614,0.68044233,
717,0.72933346,
632,0.7509139,
828,0.71201533,
928,0.70451695,
997,0.7318207,
667,0.6831944,
530,0.6631549,
754,0.94757426,
693,0.67021286,
568,0.7251176,
866,0.60228634,
572,0.72602713,
545,0.6483078,
738,0.5983659,
884,0.6979802,
881,0.71567184,
666,0.7939695,
718,0.7811727,
918,0.60301024,
598,0.7612417,
933,0.75216746,
975,0.58921003,
636,0.7643119,
716,0.51425874,
993,0.6592503,
746,0.9217189,
758,0.56660587,
651,0.6156991,
620,0.6740478,
984,0.61063737,
550,0.6026083,
682,0.5786902,
582,0.83934116,
692,0.6919852,
990,0.5656811,
932,0.5779721,
777,0.7378586,
606,0.9548135,
725,0.68627375,
910,0.691237,
799,0.87388307,
950,0.71541655,
796,0.7348059,
690,0.8607272,
819,0.5244935,
966,0.6943618,
622,0.6136006,
737,0.62621963,
596,0.7319348,
552,0.6711833,
535,0.7119767,
660,0.6175544,
823,0.6451365,
540,0.71286196,
963,0.7258215,
593,0.6798116,
790,0.68180525,
503,0.6940535,
925,0.60901,
526,0.72080964,
542,0.7038635,
523,0.76901937,
698,0.61328167,
500,0.80014336,
700,0.6635196,
901,0.68976444,
886,0.7397963,
809,0.5468896,
555,0.62432456,
988,0.72981393,
719,0.78028923,
675,0.76732314,
541,0.71607494,
668,0.7619154,
576,0.6516063,
903,0.81347835,
871,0.86888754,
761,0.7064255,
991,0.5599926,
945,0.6484252,
597,0.7127268,
816,0.77664006,
814,0.55046445,
615,0.6099754,
557,0.6745234,
567,0.7185383,
705,0.6030499,
734,0.6814983,
956,0.6862633,
583,0.97167134,
574,0.6624268,
776,0.7467927,
527,0.5319513,
890,0.6964475,
621,0.72778225,
588,0.7544537,
846,0.7415786,
548,0.6240482,
