,x1,x2,x3
677,1.7,2.8,4.6
735,0.8,3.3,4.1
854,-0.0,1.4,1.8
610,1.0,1.2,2.6
603,0.8,1.7,2.6
656,1.2,2.0,3.2
736,0.2,0.0,0.0
546,-0.0,2.5,0.0
856,0.9,0.5,1.5
647,0.7,-0.0,-0.0
508,1.2,0.0,0.3
919,1.0,1.3,-0.0
982,1.3,0.7,2.2
598,0.9,2.6,3.2
584,0.6,1.0,1.8
915,0.2,0.8,-0.0
958,1.9,0.5,-0.0
589,0.9,-0.0,-0.1
818,0.6,2.3,4.0
840,0.3,1.5,1.7
920,1.6,1.7,3.3
586,1.8,3.6,4.6
522,-0.0,0.3,0.0
778,0.6,2.5,0.1
913,0.2,0.4,0.0
590,1.3,0.5,1.1
690,2.2,0.0,2.1
948,0.8,0.0,0.8
779,1.0,0.7,1.3
594,1.5,1.5,3.8
894,1.4,0.8,2.1
583,0.6,0.5,1.4
538,0.3,2.8,0.0
807,1.1,0.1,0.9
775,0.8,0.0,0.0
946,0.2,2.3,2.3
580,0.5,0.0,0.0
613,1.2,-0.0,4.5
635,0.2,0.9,0.9
999,0.7,1.0,0.0
822,1.2,3.3,5.1
752,0.3,0.2,-0.0
714,1.9,0.0,2.0
843,1.5,1.4,4.8
951,0.6,0.8,2.1
731,0.5,0.0,1.0
668,1.3,0.4,0.0
620,3.3,2.2,4.1
776,1.4,0.3,3.1
746,2.0,0.0,-0.0
661,0.3,-0.0,0.0
755,1.1,-0.0,3.3
527,0.8,2.6,4.5
890,2.3,3.1,4.6
636,0.3,1.5,1.7
547,0.7,1.0,0.0
936,0.1,2.5,2.4
602,1.5,1.7,-0.0
761,0.8,1.4,2.1
896,0.3,0.9,1.8
631,2.1,1.8,-0.0
934,1.0,0.0,0.0
789,1.0,2.9,5.1
944,-0.0,2.1,2.6
862,0.6,1.6,0.9
622,0.7,2.7,3.9
724,1.4,2.1,3.1
830,0.2,-0.0,1.5
751,0.2,0.8,0.0
811,1.1,4.4,1.2
605,2.6,0.0,0.7
540,0.2,1.3,1.3
509,1.8,0.0,-0.0
852,-0.0,1.8,1.7
985,0.9,0.0,1.3
615,1.3,0.0,0.4
904,0.4,1.0,1.1
654,2.3,0.0,3.3
771,1.4,0.0,2.5
623,-0.0,0.6,0.5
722,1.4,0.0,2.1
785,3.1,1.8,2.2
709,1.8,2.0,5.6
916,1.9,0.6,-0.0
786,1.2,3.0,4.3
524,1.3,0.0,2.0
796,1.4,1.8,2.8
744,0.1,1.8,1.0
979,0.4,-0.0,0.3
885,1.0,1.3,2.2
737,0.9,1.8,3.6
685,1.4,0.9,2.9
954,0.5,1.6,3.0
975,0.6,2.2,3.1
526,0.8,0.6,2.3
686,1.4,1.5,0.0
938,0.2,-0.0,0.6
947,1.3,0.7,0.0
611,1.0,-0.0,0.0
758,2.1,-0.0,3.5
