,x1,x2,x3
886,0.5,0.9,2.8
874,0.9,0.0,0.0
994,2.8,4.2,7.0
960,0.1,0.0,2.9
691,1.2,3.8,6.4
627,1.7,3.3,0.0
567,0.1,0.0,0.0
695,-0.0,0.4,0.0
803,0.5,0.4,2.8
527,0.2,0.1,0.5
766,1.4,0.0,-0.0
586,0.9,0.0,1.4
914,2.7,1.7,2.8
764,0.9,0.8,1.8
883,0.9,0.7,-0.0
572,2.7,1.5,4.7
680,0.6,0.5,0.6
557,0.5,0.8,1.3
717,0.7,0.0,1.5
832,1.7,2.4,0.0
777,0.5,0.0,1.0
864,0.2,0.4,-0.0
672,1.1,1.0,2.9
965,1.5,2.5,3.6
976,1.1,0.0,4.6
538,1.2,0.0,0.0
663,0.5,0.5,0.5
762,1.8,0.0,1.7
970,0.6,1.9,0.0
799,1.3,1.9,3.8
600,0.2,0.7,-0.0
790,0.4,1.8,-0.0
570,0.0,0.2,-0.0
860,2.5,2.8,5.2
999,0.2,1.3,1.9
640,0.1,1.8,1.1
841,1.4,1.5,2.8
523,1.1,1.9,3.3
511,1.9,2.0,3.6
993,-0.0,0.7,2.0
781,0.7,1.2,2.2
990,0.9,1.6,-0.0
641,2.5,3.8,6.1
702,0.2,1.8,2.2
513,1.1,0.8,2.0
943,0.6,1.3,0.0
727,1.3,0.5,2.1
846,1.0,1.5,2.0
743,1.6,2.2,4.1
757,1.4,0.0,0.0
954,1.4,1.7,2.7
753,1.2,-0.0,0.0
625,0.4,2.5,2.2
984,1.4,0.0,0.0
746,2.0,1.7,0.0
838,2.1,1.7,4.0
655,1.5,2.5,2.7
821,0.9,1.5,3.6
733,0.1,0.1,0.0
770,1.3,2.1,3.6
929,1.2,4.1,6.0
581,1.3,-0.0,0.0
801,1.9,1.3,3.6
921,0.4,2.1,3.6
514,2.9,0.0,4.7
735,1.1,0.9,2.8
605,0.3,2.3,-0.0
580,0.3,0.1,0.0
645,0.5,0.0,1.7
707,1.1,0.0,-0.0
851,1.0,0.0,1.4
616,0.8,2.2,2.4
736,1.0,0.2,0.0
818,0.6,-0.0,0.0
626,1.6,1.1,3.1
995,1.3,-0.0,1.3
678,2.3,1.4,-0.0
584,0.9,0.0,0.0
617,0.5,-0.0,-0.0
880,-0.1,0.0,-0.0
509,0.2,0.0,0.0
924,1.5,2.1,4.1
694,1.6,-0.0,2.3
598,0.2,0.8,2.3
963,-0.0,0.2,1.0
536,2.8,2.8,4.5
508,1.2,-0.0,1.9
578,1.8,1.3,4.7
823,0.5,1.6,2.5
867,1.4,-0.0,1.0
637,0.8,-0.1,-0.0
913,1.6,0.0,1.0
684,1.3,-0.0,2.5
893,1.6,4.0,5.7
519,0.5,2.8,4.6
728,0.7,2.1,2.0
739,1.7,0.0,3.1
723,1.4,-0.0,2.3
520,0.9,0.0,1.8
944,0.8,0.0,0.5
