,x1,x2,x3
964,-2.2651608,-0.52511764,0.4056577
871,-0.9839747,-0.19322972,0.42686278
552,-1.6406195,-1.1378264,0.69576716
751,-0.23055777,-1.1810176,1.0261316
639,0.09263995,-0.54348063,0.80210394
558,-1.5105087,-2.4363582,1.5880722
775,-0.28341705,-1.0083907,0.87914133
710,-0.66623163,-0.18341258,0.4310286
662,-0.4736609,-0.33619207,0.594791
615,-0.20880006,-0.5585562,0.7590157
700,-0.2994536,-0.6479647,0.82492036
841,-0.42075828,-0.79416674,0.7159145
937,-0.97342825,-0.9284847,0.82742053
515,-2.1555,-1.2570163,0.8204357
568,-0.4721535,-0.7438476,0.7183114
833,-0.9574448,-0.17508163,0.38877553
526,-0.7359383,-0.83618957,0.9161947
856,0.3142137,-0.74086446,0.85792345
688,-0.6629942,-1.1055516,0.8908145
560,-1.0870407,-1.6624571,1.1131517
761,-2.3596792,-2.8113666,1.4899429
808,-0.7186003,-0.24862,0.42955574
817,-1.4148437,-1.004638,0.7021761
581,-0.96135306,-1.1916959,0.8763106
785,-1.7003256,-1.4082308,0.8643068
812,-0.90918,-1.3565747,0.9251321
957,-0.30507845,-0.8091348,0.8306524
701,0.040817656,-0.75951093,0.99283415
637,-1.07117,-0.33746555,0.4331708
743,-0.92879736,-0.8668113,0.6726953
947,-1.2141306,-1.1920002,0.941745
592,-0.6537849,-0.50853133,0.8099766
562,-1.3002298,-1.4284847,0.8788519
617,-1.2366427,-0.2357196,0.42151064
721,-0.56556165,-0.7514638,0.8328152
658,0.15200499,-0.69336677,0.92036855
948,-1.4619236,-4.1536455,2.576717
598,0.14940192,0.18138824,0.4583395
507,-1.170137,-0.0744737,0.31977126
566,-0.537572,-0.8923556,0.86434555
522,-0.52070147,-0.92161375,1.0263956
567,-0.45519632,-1.059975,0.98511285
924,-0.054715734,-1.4240816,1.1296775
541,-0.43750176,-0.9739816,1.0691456
831,-1.4511089,-0.7936859,0.625718
506,0.50640845,-0.14875439,0.63459885
647,-0.32934648,-0.6872455,0.7272335
502,-0.70054394,-0.5608818,0.695522
973,0.23859651,-0.52283543,0.9130768
504,-2.357938,-2.9318159,1.4089327
904,-2.2118258,-1.9316614,0.9439041
753,-0.3414425,-1.057925,0.9802867
527,-2.1211705,-0.28525716,0.1769774
880,-0.67303824,0.06733072,0.3802302
685,-0.3150047,-0.03981176,0.74944305
939,0.2791781,-1.036005,1.036891
896,-0.23733634,-0.62202466,0.7531233
636,-0.89151645,-1.2972845,1.1019291
858,-0.36606172,-0.73411924,0.76628506
799,-0.3639007,-0.25100824,0.54720014
782,-0.70114994,-1.0019615,0.8223845
746,0.037932765,-0.640974,1.0704007
794,-1.3967588,-0.3432886,0.45814174
926,-0.9924882,-0.1675684,0.35632944
993,-0.44220817,-0.8135644,0.75481826
959,-0.2873088,-0.9328844,0.9533968
513,-1.2429433,-1.5426556,0.9522251
732,-0.93106055,-0.9198011,0.7893251
599,-0.010106265,-1.1186599,1.0963333
829,-0.9608946,-0.6936183,0.8643809
834,-0.021309618,-0.31454375,0.7276152
988,-0.55294985,-0.5807217,0.7381221
778,-0.69962627,-0.19650814,0.4112258
605,-0.92166203,-0.72943413,0.6711679
594,-0.28712904,-2.0185745,1.511307
845,-1.5978047,-0.75709355,0.5092026
912,-1.2571924,0.41085985,0.010975266
622,-0.6404935,-1.3707964,1.0952784
954,-0.36969292,-0.6645076,0.6964225
838,-1.6371427,-1.7010001,1.0816348
756,-0.33723813,-1.477748,1.1154871
909,-0.9680229,-0.36688823,0.42680377
763,-0.27938938,-0.70515555,0.7827039
981,-0.660688,-0.7366209,0.88873684
737,-0.56186146,-0.45685095,0.5704507
921,-0.8170823,-0.69043785,0.71281284
791,-0.041306697,-1.0222394,1.0149177
760,-1.1929646,-1.0643914,0.74180156
521,-0.78198934,-0.09153634,0.38980603
920,-0.024167012,-1.1926278,1.0776905
835,-2.0732074,-0.99221975,0.5869647
509,-1.4878764,-0.34738588,0.36383265
943,-0.6935899,-0.6688569,0.69102514
832,-1.7927324,-1.2691998,0.791039
865,-0.24513309,-1.143518,0.9480103
777,-0.42856896,-1.7535071,1.190647
750,-1.0839765,0.067410685,0.32352692
725,-0.62937284,-0.59083605,0.6642936
720,-0.6596364,-0.6594732,0.7212237
950,0.13076256,-1.1514758,1.0940676
