,x1,x2
542,2.1,0.0
588,2.6,0.0
781,2.6,4.6
591,0.5,5.2
535,3.2,3.7
919,1.9,0.0
711,3.0,0.0
993,2.3,0.0
748,1.7,2.2
715,2.5,0.0
615,1.7,4.1
761,2.9,-0.0
632,2.3,-0.0
963,2.3,0.0
964,2.4,0.0
758,1.2,2.6
527,3.3,0.0
844,0.6,4.7
583,2.2,0.0
573,0.3,3.3
794,2.0,0.0
969,1.3,1.6
551,2.9,2.8
694,2.3,0.0
714,1.7,0.0
785,3.3,0.0
760,2.2,3.5
855,2.0,0.0
599,0.9,6.2
674,0.4,4.7
937,1.5,0.0
998,1.7,2.6
968,1.9,2.1
932,1.8,-0.0
675,1.3,2.8
880,2.8,2.7
566,2.7,0.0
589,1.6,3.1
702,2.3,1.0
543,1.8,0.0
634,2.6,2.3
582,2.0,2.3
804,2.0,0.0
796,3.1,-0.0
808,2.2,0.0
547,2.2,2.1
700,1.9,4.9
556,1.6,-0.0
807,1.9,-0.0
763,1.9,0.0
886,0.5,4.0
719,1.8,4.0
961,2.3,2.1
879,2.1,0.0
843,2.8,4.0
541,2.2,0.0
991,3.2,4.1
729,1.6,2.3
572,1.9,-0.0
584,4.0,5.2
559,1.2,3.6
523,2.6,3.3
586,2.3,5.2
637,1.8,-0.0
651,1.5,3.8
912,1.1,2.6
698,1.0,3.3
862,2.2,0.0
642,3.3,-0.0
749,1.8,0.0
946,1.4,2.7
965,1.5,0.0
817,2.3,2.3
631,2.3,3.2
596,2.0,0.0
962,1.5,1.8
526,1.4,2.2
742,1.3,1.9
546,1.5,2.6
682,2.8,0.0
827,2.3,0.0
745,1.8,0.0
809,2.5,-0.0
754,0.9,2.1
705,1.5,-0.0
977,1.2,1.8
545,2.2,3.4
685,1.6,2.1
914,1.7,0.0
989,0.0,3.1
975,1.9,2.4
548,0.3,4.1
900,0.2,3.1
792,4.1,0.0
819,4.9,4.5
903,1.4,2.0
581,1.6,2.3
515,1.4,0.0
597,4.2,2.7
746,2.5,0.0
