,x1,x2
581,1.6,2.6
701,1.2,0.4
691,0.5,4.0
619,2.5,1.9
599,0.2,4.0
645,1.1,2.6
638,1.8,2.1
549,1.4,2.3
999,2.2,0.0
988,1.0,2.2
696,2.0,1.8
739,1.8,2.7
585,2.4,-0.0
820,2.0,-0.0
746,1.2,2.4
822,2.3,2.1
501,0.5,1.0
941,0.9,2.3
865,1.6,2.5
763,3.2,0.0
993,2.9,4.0
942,2.5,0.0
693,1.9,6.1
690,0.8,2.6
715,1.3,2.2
502,0.3,3.0
551,1.6,2.2
732,1.8,3.2
869,2.2,2.8
550,3.1,0.0
776,3.0,-0.0
700,1.0,0.0
706,0.9,-0.0
534,2.6,0.0
929,3.0,0.0
597,1.4,1.0
779,2.3,-0.0
630,2.5,4.7
892,2.5,2.5
614,1.4,2.1
675,1.9,2.3
905,1.5,1.4
759,3.3,-0.0
646,2.5,3.7
713,1.5,1.6
673,2.0,0.0
826,2.3,3.0
886,1.5,3.0
992,1.6,0.0
548,2.6,0.0
995,0.1,3.7
590,0.1,3.5
565,2.0,2.3
610,1.0,2.3
923,1.0,1.9
547,0.9,3.9
965,3.4,3.4
827,1.4,1.3
769,0.7,2.6
980,1.2,2.1
922,0.9,2.8
620,2.4,4.1
655,3.7,-0.0
780,2.4,-0.0
907,1.3,3.5
796,1.4,2.2
771,1.5,1.5
535,1.0,1.8
623,4.4,0.4
899,2.9,0.0
982,4.2,2.7
636,0.3,1.6
976,2.0,-0.0
966,0.0,4.7
838,2.2,2.7
519,2.3,2.6
660,1.0,2.0
778,3.1,4.6
714,3.3,5.4
904,1.4,2.1
635,1.3,0.7
896,1.6,2.7
912,2.2,-0.0
802,1.5,2.9
544,0.9,4.6
860,2.4,1.3
510,1.5,3.4
977,2.1,2.6
651,1.2,1.5
783,1.8,0.0
745,2.5,0.2
552,2.5,2.5
960,2.6,0.0
954,1.5,1.6
625,0.8,2.1
978,2.6,0.0
843,2.1,2.6
698,2.0,0.0
840,0.0,1.7
868,3.2,0.0
