,x1,x2,x3
575,0.65307003,2.3626282,4.597664
748,-0.23729801,2.9864826,3.7176764
776,0.61998385,2.2944584,2.5874398
940,1.5462977,3.689773,5.877869
613,1.8405244,2.2688835,5.1215134
625,0.31818074,2.4835858,3.1704576
957,1.6149098,1.323152,4.06886
817,0.96378136,1.9699285,2.8715186
628,0.9677658,1.8517749,4.1214876
840,1.7700589,2.3722072,4.427149
952,0.09829555,2.8241751,3.1471918
752,1.7355664,1.5342357,2.8069854
866,1.8217741,1.2911986,5.863283
994,0.9950421,2.087212,6.1099386
961,1.9756438,1.4698147,2.909821
622,0.35989165,2.783216,3.1107578
736,2.0379887,1.9550943,4.762985
901,0.7936665,2.1726544,3.3859499
814,1.0215569,1.9879029,2.81043
784,1.7240318,2.297051,5.565484
771,1.7942556,1.3638396,4.0376587
963,1.8369426,0.995296,4.1344233
891,-0.3282923,3.3118927,4.3052564
809,0.9534566,2.03252,3.9161105
739,0.6017624,2.3278852,3.0932546
953,0.7182647,1.1851941,3.2049956
922,1.043252,1.8497977,3.3585057
950,0.93427294,2.0860467,3.9126654
925,1.8035873,1.517621,3.867887
948,1.2333677,1.8867797,2.9638705
619,1.8552617,1.1924727,4.239154
791,1.620982,1.2803708,3.2243161
964,0.9916572,2.0288243,3.8719397
685,0.120398365,3.0428016,4.490082
820,1.1280762,1.8009446,4.9862714
555,1.6476709,1.1892712,3.1574392
843,1.7536055,2.0350852,5.310263
539,1.6194115,1.2802386,2.9227793
529,1.4246761,1.5832733,5.1957326
897,1.7072368,1.0325159,4.356644
789,1.0371021,1.7693095,3.0159397
774,1.6238683,0.6429498,2.5645173
954,-0.6705713,3.6960816,3.696796
890,1.9007758,0.99764585,3.251833
723,0.8655398,2.3174045,5.6334953
589,0.87729955,2.0290968,3.6903167
571,1.7810323,0.9441304,3.611454
735,1.2217363,1.7795426,5.6229496
566,0.6272436,2.3814237,4.7386127
677,1.1584581,2.0144603,4.8762064
756,1.860203,1.0855373,3.204339
554,0.34831566,2.4029117,2.2727647
848,0.6419805,2.3141394,2.2683036
863,0.38308474,2.6169543,3.4611647
704,1.2136743,1.5238583,2.115879
548,1.7435352,3.334669,7.0522685
695,0.39931345,2.6477833,2.3362436
578,0.34937212,2.4618533,3.0000114
924,1.0196444,2.0425525,3.5552826
530,1.7322973,2.1397414,4.619792
567,1.7687256,1.9483304,4.4774804
889,0.66426474,2.393302,4.525185
916,1.8533831,2.9763622,6.0782824
985,1.9072282,-0.6399982,2.3527162
893,0.6757006,2.2418005,5.3250113
825,0.5421062,2.4198833,2.669581
923,1.7626089,0.13626611,2.4086993
648,1.1071261,2.0317295,2.363679
714,0.81341887,2.2911835,4.2741523
813,1.7684332,-0.06953347,2.0212617
876,1.7366307,2.6148546,4.525923
958,0.9490223,2.0108173,4.9100423
801,1.4805715,1.4516608,3.5014377
563,1.825211,0.11161351,3.1166255
973,1.8131869,1.4618125,4.491062
538,0.075362906,2.785825,3.515109
642,-0.11218586,3.278708,3.1316075
979,0.26050732,2.6128938,1.1927266
754,1.1280986,1.9819361,2.5453556
975,0.6010141,2.3414378,4.572689
587,-0.6292628,3.5950668,4.071
850,-0.034196712,2.8811278,4.7728133
915,1.7598566,1.509553,3.9588041
744,1.0149561,2.0098794,3.9789093
815,0.65518594,2.2876172,3.600279
690,1.8249002,2.847146,5.216607
747,0.19017394,2.7404408,3.258431
609,0.6648294,2.299445,4.383866
998,1.8174658,2.128834,3.7638056
623,1.9006779,1.4071995,2.4388475
595,1.5916731,2.5697196,4.2213297
653,1.3070946,1.6602433,5.450911
583,1.4532025,1.5272429,1.8311503
959,0.9052482,2.0852664,3.5844686
905,-0.23412642,3.193973,3.4785144
799,1.7613901,1.323033,3.2743888
590,0.8193121,2.043366,5.097626
505,1.7618319,0.76814055,4.9656625
870,0.9342261,2.079414,3.57809
787,0.61475086,2.264915,3.9037666
