,x1,x2,x3
800,1.4,2.8,4.7
902,1.7,1.8,3.6
966,1.9,4.7,5.0
830,1.4,2.1,4.0
673,1.8,1.1,0.0
999,0.0,4.2,4.2
752,1.3,-0.0,2.2
740,2.4,0.0,2.1
524,0.8,1.9,3.4
616,2.8,2.8,5.7
904,0.5,-0.0,0.7
519,1.8,1.1,2.6
546,1.7,1.4,-0.0
679,0.5,2.8,0.0
678,2.6,1.5,3.9
573,0.7,0.9,0.0
927,-0.0,0.5,0.7
865,0.7,0.7,1.3
847,0.8,1.9,0.0
563,1.2,0.0,0.0
961,1.3,2.8,0.0
562,1.4,1.7,4.2
543,0.1,1.6,-0.0
657,0.3,2.6,1.6
997,0.7,2.8,2.3
598,1.2,0.0,0.0
812,0.6,0.0,0.0
736,2.0,0.0,-0.0
925,1.1,1.4,3.1
521,1.6,2.1,3.6
551,0.1,1.9,2.1
500,0.5,1.9,4.7
983,-0.0,2.0,1.1
532,0.2,-0.0,1.0
940,0.8,-0.0,1.7
861,0.5,1.6,2.6
845,1.2,0.0,1.7
685,0.9,1.4,3.6
945,1.5,-0.0,1.2
623,0.9,2.8,3.8
655,0.5,1.5,-0.0
609,1.3,0.0,0.0
956,1.3,1.1,3.3
515,1.9,0.0,3.3
766,1.0,0.2,2.3
697,1.3,1.5,0.0
742,0.9,0.7,1.4
605,0.9,2.3,0.0
846,0.3,2.8,1.6
957,1.6,-0.0,1.5
643,0.0,2.3,-0.0
773,1.5,3.8,0.5
774,1.8,0.0,2.6
822,0.1,1.9,2.5
973,1.4,-0.0,-0.0
886,2.5,2.1,6.1
991,0.7,1.3,2.8
619,1.1,-0.0,-0.0
844,0.2,1.1,1.4
727,1.3,2.4,4.4
518,1.4,-0.0,2.9
622,1.3,-0.0,5.7
967,1.3,-0.0,2.3
602,0.4,1.7,2.6
944,0.7,1.4,3.1
714,0.9,0.7,-0.0
750,1.6,1.9,3.6
882,0.6,1.0,2.0
586,1.4,1.3,2.4
672,2.6,2.8,-0.0
706,2.2,1.7,3.5
683,1.2,0.9,0.0
503,-0.0,2.6,3.1
942,3.1,1.5,4.9
522,0.4,-0.0,2.7
980,1.6,0.0,-0.0
510,1.1,1.4,4.2
784,0.6,1.1,2.3
591,1.9,0.0,4.1
912,0.9,0.0,1.8
881,1.2,1.3,0.0
564,1.3,4.2,4.2
962,0.9,2.3,3.3
876,1.9,-0.0,0.0
941,2.0,2.8,5.1
738,1.2,1.1,0.0
607,1.1,-0.0,0.0
635,2.3,2.1,4.4
508,1.3,2.4,4.5
692,0.1,0.2,0.1
838,2.0,0.0,0.0
681,2.1,0.0,1.4
910,0.7,-0.0,0.0
788,0.4,-0.0,2.4
779,1.6,3.2,4.7
651,1.6,0.5,2.1
768,1.6,0.8,3.1
832,0.7,-0.0,2.7
716,1.5,3.1,5.0
626,1.4,1.6,3.3
