,x1,x2,x3
890,0.675144,0.87027776,1.65646
859,1.0622319,0.32452336,1.638119
950,1.1023461,0.49859485,1.4614799
606,0.53664225,1.2218155,1.697597
529,0.21096124,1.3899176,1.555825
670,0.46735427,0.7523507,1.9415431
905,-0.059088636,1.2972311,2.0798614
682,-0.29228613,1.8511603,1.5881851
642,1.1875376,0.5106003,1.6253086
986,0.7834873,0.8046902,1.4106202
952,0.48543853,1.3500061,1.7861824
657,1.3552824,1.0105648,2.2174637
843,0.16488984,1.4119804,1.4537
791,0.44056958,0.4892449,1.95592
687,1.015208,0.54656374,1.6349664
961,1.1172881,0.50234735,1.6156714
560,0.5246961,0.98803186,1.5302193
842,1.1098605,0.38254532,1.4513276
677,0.26142648,1.1896651,1.3692336
509,0.49878746,0.35091436,2.2036111
727,-0.86199963,1.3164626,2.7044544
798,0.31877562,0.6150794,2.162079
745,0.8231489,0.6475783,1.438965
600,1.179939,0.33170995,1.374377
964,0.36441496,1.1301227,1.5790366
707,1.2014298,0.3240042,1.4589708
557,-0.15120271,-0.08978009,3.311417
694,0.49816975,0.4703331,1.9952956
989,-0.25289086,2.112301,1.0009848
501,1.0250045,0.5177033,1.5885932
807,0.5412968,0.91338354,1.4570411
741,0.5853872,0.8588709,1.5204939
724,-0.26897573,1.1408465,2.016001
744,0.03756358,1.551074,1.6084598
794,1.8355747,2.9086738,-1.5348885
618,0.7307496,0.8595054,1.6039218
818,0.73969847,1.3341856,1.092297
897,0.43022457,1.0660031,1.3737247
873,0.2759561,1.0083677,1.7342727
730,0.47995624,1.185298,1.6720752
742,0.21073481,1.532383,1.3125767
951,0.33107674,1.1519005,1.291706
756,1.0515386,0.4162651,1.4397717
899,-0.048245095,1.5393488,1.2952366
672,0.05506195,1.3620793,1.4906237
541,-0.00017068982,1.4729537,1.7306435
825,0.9323011,0.6773056,1.4080342
856,-0.058888577,0.76817906,2.2687871
998,1.1527318,0.711775,1.4522542
904,-0.78709245,2.3168044,1.4752833
864,0.79693985,0.6434577,1.5679328
882,0.5581613,0.70739686,1.5456471
735,0.7193332,0.32808125,1.9014567
895,-0.5993432,2.1080556,1.5888566
732,0.19288488,2.388198,0.51754516
885,0.5470278,1.1871293,1.5728322
562,1.0383708,1.8097315,0.48885518
912,0.7575598,0.7401098,1.4327779
824,1.0161154,1.1580737,0.99133325
829,0.53547025,0.9587484,1.7040993
772,1.079064,0.56775755,1.5952677
537,0.3574616,1.0922638,1.3496585
674,0.5422513,1.0409389,1.5119121
763,0.5979818,1.0716091,1.8355573
740,-0.29532427,1.6971453,1.6358135
802,0.37200972,0.85061723,1.7545947
911,0.027358342,1.637669,1.4189879
823,-0.0004946351,1.5092324,1.7464306
731,1.1493316,0.48460567,1.5574155
688,0.62839824,0.91619116,1.596682
833,0.96133006,0.37706566,1.5688905
625,0.54480636,0.85324496,1.68484
722,1.2781156,0.26592112,1.4296862
559,0.95065325,0.5075999,1.3933345
570,0.22309794,1.0238625,1.9178948
771,-0.060530446,1.4559747,1.3608416
835,0.48717517,0.5722923,1.881701
870,1.628593,2.6671429,-1.3507693
749,0.4800989,1.0252299,1.5335712
609,0.581027,0.9646009,1.5572464
710,1.1477711,0.36486632,1.3417745
567,-1.5413764,0.5306339,3.8396742
774,0.8417248,0.6544037,1.482862
504,0.15389587,1.3595356,1.5876317
588,1.0137951,0.41954607,1.4263558
706,0.659187,1.0002048,1.4417415
892,0.5492182,1.3072633,1.8009596
990,0.52011293,0.92922515,1.6032641
596,0.42370144,0.46466947,2.1902454
924,1.0247635,0.4659239,1.5363287
714,0.81595224,1.0594103,1.9225085
810,0.364518,1.0239779,1.7148422
573,0.67848325,0.7164604,1.4424847
760,0.32824132,1.5394666,0.90439653
608,0.86061704,1.6883209,1.4294707
522,1.1558124,0.3886203,1.5870016
913,0.3099565,1.1739998,1.5832434
840,0.2168736,1.1525705,1.7087082
795,0.060435455,1.9395303,0.9169303
846,-0.50681514,2.0453367,1.4388785
