,h_post,h_post_individualized
890,1.0,0.9609050750732422
859,1.0,0.9536852836608887
950,1.0,0.9553158283233643
606,0.98,0.9694111943244934
529,0.96,0.9591720104217529
670,1.0,0.9593496322631836
905,0.84,0.9650412797927856
682,0.7,0.9587927460670471
642,1.0,0.9652245044708252
986,1.0,0.9525197148323059
952,1.0,0.9739572405815125
657,1.0,0.9898823499679565
843,0.84,0.9539362192153931
791,1.0,0.9471367001533508
687,1.0,0.9607113599777222
961,0.96,0.9621415138244629
560,1.0,0.954477071762085
842,1.0,0.9499664902687073
677,0.82,0.9437644481658936
509,0.96,0.9549252986907959
727,0.56,0.9592586755752563
798,0.72,0.9567247033119202
745,1.0,0.9483234882354736
600,0.98,0.947151243686676
964,0.98,0.9557893872261047
707,1.0,0.9518646597862244
557,0.48,0.9556565284729004
694,0.98,0.9509115815162659
989,0.58,0.945853590965271
501,1.0,0.9581655263900757
807,1.0,0.9484227895736694
741,1.0,0.9509561061859131
724,0.56,0.9472436904907227
744,0.96,0.9607248902320862
794,0.52,0.9611850380897522
618,1.0,0.9606145620346069
818,0.9,0.9595415592193604
897,1.0,0.9463409185409546
873,0.78,0.9534072279930115
730,1.0,0.9656874537467957
742,0.72,0.95502769947052
951,0.76,0.9412923455238342
756,0.9,0.9482196569442749
899,0.76,0.9419331550598145
672,0.98,0.9482289552688599
541,0.94,0.9609629511833191
825,1.0,0.9533647894859314
856,0.78,0.9515738487243652
998,1.0,0.9649993181228638
904,0.54,0.9527993202209473
864,1.0,0.9529489874839783
882,1.0,0.9432783126831055
735,0.98,0.9502101540565491
895,0.82,0.9567923545837402
732,0.76,0.9568361043930054
885,1.0,0.9646678566932678
562,0.84,0.9656751155853271
912,1.0,0.9493312239646912
824,0.92,0.9595159888267517
829,1.0,0.9607709050178528
772,1.0,0.9623878002166748
537,0.88,0.9426425099372864
674,1.0,0.9566901922225952
763,1.0,0.9708338975906372
740,0.62,0.9542456865310669
802,1.0,0.9515343904495239
911,0.84,0.9562285542488098
823,0.94,0.9628583788871765
731,1.0,0.9605076313018799
688,1.0,0.9585634469985962
833,1.0,0.9482054710388184
625,1.0,0.956181526184082
722,0.98,0.9513728022575378
559,1.0,0.9454006552696228
570,0.72,0.9594901204109192
771,0.92,0.9402674436569214
835,1.0,0.9498444199562073
870,0.56,0.9500250220298767
749,1.0,0.9543008804321289
609,1.0,0.9570112228393555
710,0.94,0.9455462694168091
567,0.48,0.9442193508148193
774,0.98,0.9516158699989319
504,0.86,0.9569367170333862
588,0.94,0.945817768573761
706,1.0,0.9569394588470459
892,1.0,0.9748503565788269
990,1.0,0.9548947811126709
596,0.98,0.9560019969940186
924,0.98,0.9537798166275024
714,1.0,0.9780731201171875
810,0.96,0.957030177116394
573,1.0,0.9446651935577393
760,0.78,0.9411496520042419
608,0.92,0.9816284775733948
522,0.98,0.9581708908081055
913,0.84,0.9555193185806274
840,0.96,0.955982506275177
795,0.8,0.9486753940582275
846,0.76,0.9515426754951477
