,y_hat
907,False
948,False
656,False
894,False
782,False
720,False
951,False
548,False
834,False
836,False
818,False
603,False
647,False
761,False
987,False
711,False
708,False
962,False
898,False
691,False
854,False
903,False
920,False
774,False
979,False
525,False
604,False
612,False
788,False
586,False
602,False
620,False
533,False
831,False
550,False
555,False
800,False
650,False
810,False
635,False
521,False
865,False
615,False
802,False
623,False
653,False
928,False
999,False
855,False
614,False
669,False
731,False
683,False
919,False
704,False
875,False
884,False
554,False
597,False
908,False
552,False
766,False
826,False
685,False
551,False
973,False
852,False
712,False
915,False
747,False
743,False
918,False
733,False
618,False
500,False
893,False
817,False
584,False
901,False
509,False
679,False
977,False
909,False
724,False
529,False
936,False
630,False
905,False
687,False
689,False
871,False
950,False
607,False
508,False
967,False
716,False
892,False
755,False
542,False
600,False
