ix,goal_cost,intv_cost
584,0.964,5.7
759,0.972,1.7000000000000002
617,0.962,2.7
636,0.968,3.2
984,0.956,5.6
888,0.956,3.1
785,0.972,2.0
606,0.964,6.6
951,0.992,1.9
874,0.952,1.6
773,0.964,1.8
858,0.952,1.8
528,0.954,2.8000000000000003
929,0.962,1.3
745,0.956,3.9000000000000004
775,0.954,7.300000000000001
969,0.956,4.5
621,0.954,5.8
830,0.982,2.3
686,0.97,2.4
671,0.966,3.5
968,0.958,2.5
677,0.96,2.0
556,0.954,0.6
966,0.956,2.1
956,0.952,3.7
661,0.962,5.6
906,0.956,1.6
752,0.974,3.9
877,0.952,9.1
949,0.97,3.4
595,0.956,2.2
821,0.952,5.0
859,0.968,2.8
753,0.968,2.8
954,0.954,5.3999999999999995
681,0.962,1.7
600,0.962,8.0
809,0.968,2.3
871,0.952,6.4
619,0.964,6.6000000000000005
885,0.956,10.100000000000001
739,0.956,4.300000000000001
719,0.954,7.8999999999999995
856,0.958,6.0
758,0.962,6.3999999999999995
640,0.962,6.9
991,0.956,2.0
995,0.974,2.7
637,0.976,5.7
805,0.96,5.199999999999999
826,0.952,3.2
558,0.968,5.9
936,0.952,2.2
973,0.974,1.2
864,0.954,2.2
950,0.976,2.1999999999999997
747,0.964,8.5
774,0.956,2.4
985,0.96,6.8
553,0.9559999704360962,2.5
989,0.954,5.6
900,0.958,2.1
669,0.97,2.7
760,0.96,2.2
834,0.958,2.8000000000000003
946,0.956,0.9
687,0.952,5.6
804,0.964,0.9
855,0.956,5.5
923,0.982,3.4
896,0.952,2.0
986,0.964,0.7
578,0.9539999961853027,2.5
653,0.952,6.6
724,0.968,1.6
793,0.956,5.2
931,0.952,1.5
884,0.964,0.8999999999999999
769,0.954,6.4
792,0.956,2.1
927,0.962,2.3
848,0.962,3.6
987,0.954,2.9
943,0.96,3.5
727,0.962,0.6
670,0.962,8.399999999999999
963,0.97,5.1
683,0.97,1.4
551,0.954,3.0
816,0.952,1.2
899,0.956,6.8
761,0.97,4.5
787,0.952,3.8
524,0.958,5.4
532,0.966,1.6
988,0.97,3.7
881,0.952,5.6
790,0.958,4.3
545,0.96,5.5
