,h_post,h_post_individualized
703,0.5439067,
590,0.51000243,
739,0.5052854,
826,0.51875055,
690,0.5047484,
732,0.5346032,
631,0.5062523,
598,0.5108382,
696,0.52440256,
509,0.502947,
642,0.5055844,
919,0.5255279,
896,0.50700843,
856,0.50969064,
969,0.5019854,
586,0.9703061,
722,0.536852,
934,0.51211494,
745,0.5215197,
846,0.52234364,
946,0.5128623,
855,0.5165274,
982,0.8954289,
911,0.5128797,
827,0.5097217,
547,0.50556946,
609,0.5045155,
596,0.53734654,
670,0.5667451,
653,0.5285627,
557,0.5049367,
862,0.5200194,
802,0.5568807,
589,0.53057235,
685,0.5247621,
592,0.50062513,
527,0.50220984,
584,0.5018899,
502,0.5079031,
766,0.50398785,
661,0.5069965,
962,0.5025048,
583,0.53895223,
545,0.5221242,
858,0.5219934,
655,0.5237012,
891,0.5248056,
619,0.5179462,
612,0.52671933,
901,0.509871,
580,0.505553,
762,0.5041102,
602,0.501375,
947,0.51615334,
995,0.5217294,
771,0.5194487,
823,0.50367683,
777,0.5058792,
744,0.51913095,
714,0.5306111,
832,0.5075113,
853,0.50482166,
721,0.53008807,
684,0.54579324,
632,0.5161088,
948,0.51747453,
789,0.50412625,
776,0.5015177,
782,0.5308493,
538,0.5201894,
905,0.5216679,
563,0.51213443,
628,0.5313098,
927,0.5096112,
623,0.50198036,
707,0.52291256,
621,0.82192945,
851,0.5000883,
840,0.5060737,
702,0.5028533,
770,0.51026684,
604,0.5097492,
546,0.5015098,
512,0.9150819,
854,0.5345178,
724,0.9032166,
613,0.50007755,
958,0.50501806,
650,0.5572925,
656,0.5013578,
939,0.5552009,
760,0.5108953,
622,0.5112217,
748,0.5118081,
951,0.5035023,
785,0.5091528,
822,0.5338949,
743,0.51598054,
914,0.55794656,
709,0.5170766,
