,h_post,h_post_individualized
955,0.5016455,
509,0.5012767,
815,0.5055878,
947,0.5055796,
990,0.5017692,
911,0.5514884,
567,0.5003478,
983,0.50084263,
817,0.50920063,
848,0.50162023,
942,0.52839786,
809,0.50463223,
667,0.5111808,
785,0.5051517,
900,0.50653017,
555,0.52189904,
671,0.54293764,
585,0.5013822,
764,0.5101842,
927,0.51186967,
794,0.5658382,
562,0.5034508,
843,0.5129603,
746,0.5190629,
517,0.51960325,
639,0.515354,
626,0.5690853,
728,0.51134765,
857,0.52424407,
919,0.5086432,
669,0.50487334,
892,0.54837286,
614,0.5214363,
982,0.5490621,
756,0.50839186,
761,0.53994274,
980,0.5172024,
851,0.50642055,
822,0.61467123,
681,0.5470544,
823,0.5131068,
763,0.52038705,
557,0.59405917,
505,0.5118604,
968,0.51132405,
811,0.5526065,
966,0.5040683,
981,0.5000071,
744,0.5110809,
953,0.50158644,
965,0.92586637,
551,0.510514,
696,0.5254617,
561,0.5415708,
871,0.5318006,
895,0.50102603,
925,0.5094453,
804,0.505384,
872,0.5102496,
648,0.86409503,
813,0.507516,
874,0.5004844,
676,0.35926002,
641,0.5185026,
952,0.5101039,
526,0.584713,
523,0.5186967,
975,0.52003574,
749,0.5410495,
513,0.5267581,
868,0.50693816,
683,0.5566999,
662,0.527996,
878,0.5023965,
677,0.50967497,
670,0.52606255,
748,0.5184298,
633,0.5017898,
579,0.5537435,
998,0.50467634,
891,0.52932376,
831,0.5076527,
717,0.5150645,
791,0.51789975,
922,0.5003002,
702,0.78233117,
581,0.5029774,
875,0.51752883,
928,0.50008535,
890,0.52441734,
506,0.5009256,
986,0.5101311,
743,0.503232,
819,0.50944227,
587,0.5028065,
914,0.51647,
574,0.51570195,
739,0.5021554,
664,0.52886426,
889,0.5113311,
