ix,goal_cost,intv_cost
633,0.03500000014901161,0.0
924,0.954,4.6
535,0.18700000643730164,0.0
875,0.963,4.199999999999999
987,0.951,3.2
735,0.5370000004768372,0.0
759,0.07999999821186066,0.0
903,0.951,5.800000000000001
504,0.976,1.6
891,0.955,4.0
736,0.955,5.1
565,0.1509999930858612,0.0
762,0.15399999916553497,0.0
793,0.21799999475479126,0.0
508,0.953,4.2
828,0.955,1.4
653,0.3970000147819519,0.0
700,0.959,2.9
501,0.951,3.0
817,0.959,1.9
608,0.961,1.4
510,0.951,4.6
703,0.9610000252723694,2.0
803,0.952,5.4
981,0.19200000166893005,0.0
879,0.959,1.4
830,0.959,4.6
604,0.09600000083446503,0.0
693,0.952,5.5
715,0.951,4.1
794,0.951,3.6
978,0.955,2.8
820,0.07999999821186066,0.0
907,0.04500000178813934,0.0
744,0.04800000041723251,0.0
600,0.12700000405311584,0.0
953,0.954,4.0
724,0.41499999165534973,0.0
719,0.951,6.2
533,0.09200000017881393,0.0
899,0.04500000178813934,0.0
553,0.951,2.9
544,0.953000009059906,4.0
680,0.39800000190734863,0.0
699,0.952,3.4
621,0.09799999743700027,0.0
666,0.952,3.9
802,0.951,3.6
843,0.951,5.5
691,0.976,2.2
729,0.15000000596046448,0.0
808,0.955,4.2
851,0.956,3.7
739,0.971,2.0
976,0.05000000074505806,0.0
716,0.952,4.9
733,0.04600000008940697,0.0
996,0.951,4.3
790,0.96,1.6
540,0.04399999976158142,0.0
721,0.23100000619888306,0.0
763,0.04699999839067459,0.0
649,0.007000000216066837,0.0
959,0.952,4.8
665,0.03999999910593033,0.0
864,0.4749999940395355,0.0
539,0.08399999886751175,0.0
516,0.4309999942779541,0.0
750,0.13600000739097595,0.0
713,0.020999999716877937,0.0
512,0.991,2.5
836,0.979,2.0
720,0.3580000102519989,0.0
865,0.983,2.4
861,0.953,4.1
979,0.33799999952316284,0.0
552,0.951,1.8
589,0.958,4.2
984,0.11299999803304672,0.0
810,0.164000004529953,0.0
629,0.954,4.7
954,0.962,4.5
962,0.955,5.7
941,0.955,3.1
690,0.36399999260902405,0.0
998,0.967,1.7
873,0.24199999868869781,0.0
580,0.964,1.7
746,0.957,1.4
749,0.952,3.0
561,0.05700000002980232,0.0
921,0.956,3.3
913,0.955,4.7
823,0.0020000000949949026,0.0
757,0.23899999260902405,0.0
811,0.953,3.9
586,0.9520000219345093,3.0
816,0.33500000834465027,0.0
681,0.061000000685453415,0.0
518,0.953,2.2
