,x1,x2,x3
851,0.7789693,2.1514716,5.1136184
953,0.44266748,2.4312856,4.6830735
959,1.8443094,1.2002109,2.5612469
906,1.6905844,1.284626,2.6707997
956,1.8755996,0.90619034,2.867812
832,1.8547521,0.95063484,3.34583
625,1.7636222,2.169473,3.3254604
679,2.1942034,0.6612123,3.0336113
701,2.0210392,2.1591353,5.8500605
609,1.7924222,0.72709095,4.3314652
685,1.7854804,1.9313693,3.8403578
886,1.707148,1.6594363,5.5940843
991,1.4278318,1.6002235,3.3663244
692,2.1781087,1.3531182,2.0412073
802,1.898061,0.8982876,2.7438407
637,1.8670818,0.8471745,3.1974852
551,1.4629095,1.5567816,5.487932
724,0.5546847,2.24956,4.3795466
960,1.7422646,1.2117482,4.1427827
709,1.4823091,1.53298,4.218417
563,1.3400638,1.7964915,3.093408
622,1.3101586,1.5215741,5.4778023
786,1.9404821,0.9805306,2.6867986
575,1.643565,-0.39228404,0.33364022
867,1.8492227,1.8059237,3.4017925
678,0.59799945,2.4201183,4.265224
655,1.0420829,1.9755948,2.963462
602,1.350079,1.7153211,3.5129504
519,2.0237346,1.0535406,3.6106079
672,1.3228812,1.5856464,2.1659234
919,0.96628463,1.96276,4.705834
962,1.3481524,1.69603,4.471646
502,2.2735467,1.4496877,4.354843
722,0.17739512,2.7319026,4.096011
760,2.4532526,0.61835575,3.7649376
769,1.7265589,1.6919184,2.5678177
976,1.0956504,1.7177364,5.4360156
997,0.6492454,2.5143826,1.9566648
990,1.918531,0.6241393,2.2521508
629,1.0432765,1.8266803,3.1332583
857,0.6036176,2.4397771,2.542506
967,1.782519,0.61166215,4.082251
536,2.0136628,0.94228053,3.1401083
677,1.6654538,1.6015289,4.7127833
970,2.0516443,0.8623589,1.7137907
821,0.14703147,2.9137487,5.103684
908,1.6205436,1.3271558,1.0302763
917,1.6870416,2.3335304,4.1875334
500,1.1976272,1.7708874,3.2749543
817,-0.28159812,3.3049827,4.152406
847,1.7751155,0.41095126,4.9570937
884,0.85069007,2.1374485,2.9820063
945,1.7488068,0.9604588,4.1838384
860,0.9810327,1.9479766,5.593155
800,1.2531028,1.8058624,4.8426404
565,1.2580303,1.701025,4.558803
898,1.4268519,1.2531208,2.985188
773,1.6122462,1.8548687,3.1655176
865,0.94023234,1.9624481,3.7920377
830,0.9190501,1.9445927,3.7598524
727,0.32421863,2.5208797,3.8481348
662,1.8002105,1.7633507,3.2835665
881,1.0125549,1.894761,4.522545
871,2.3689213,2.2222435,4.0242295
717,0.959829,1.9778514,2.4707947
528,2.1571298,0.8324741,3.146211
616,1.8238331,0.33939934,2.2854204
704,1.2313159,1.7839665,5.0852575
807,1.9141711,2.0930252,4.194003
579,1.8687738,0.030727744,1.7511458
668,1.9271306,1.0662807,3.2735343
716,1.4716992,1.4451469,4.17182
694,1.3216772,1.7180076,5.3443327
654,1.8323882,1.1428995,3.7809992
900,1.6043935,2.325058,3.0539074
615,1.4004682,1.7211949,3.0136225
902,1.4812979,1.6040914,4.7562175
838,-0.003958702,2.943295,2.3484843
808,1.879376,2.9530168,7.0441833
909,1.602343,1.4006157,2.9429557
712,1.7284304,1.2945268,3.1995773
752,2.7792008,0.13648206,3.9717345
876,1.9534817,1.6751921,4.9684043
739,1.7231836,0.010517478,1.435246
649,1.384091,1.4666983,3.0212243
758,1.7685113,0.48725474,3.401959
546,1.7133211,1.2523322,2.7847257
892,1.183153,1.6234654,2.7184417
718,1.1373184,1.851013,4.2671638
825,1.9878796,0.0067180395,2.8187628
564,1.3541342,1.8613621,3.7411468
681,1.3047405,1.483532,3.3272705
561,1.8822968,1.7925574,5.5508785
788,0.9879695,-0.02528441,-0.27666545
765,1.8457643,2.488278,4.8466907
619,1.053671,1.7306921,3.5305707
944,1.6662372,0.9291659,3.4238555
899,0.442636,2.3869607,2.6419153
623,1.8491671,-0.13411295,3.3417654
506,1.5695409,1.3093734,2.6236079
