,x1,x2
851,1.4,3.1
629,2.7,5.1
801,2.2,0.0
633,3.3,2.3
514,2.3,2.0
809,3.0,0.0
688,2.9,0.0
836,2.0,0.0
756,2.3,2.6
984,3.0,0.0
689,3.2,-0.0
944,3.3,3.9
615,0.3,4.6
907,1.0,4.4
660,3.0,0.0
787,0.5,2.9
805,2.3,-0.0
727,2.8,-0.0
627,2.7,-0.0
753,3.1,0.0
800,2.7,0.0
614,1.8,0.0
620,0.4,4.0
757,2.0,2.1
857,3.1,-0.0
760,1.3,1.7
933,1.7,2.2
569,0.1,2.6
506,1.7,-0.0
628,0.7,3.7
936,3.3,0.0
762,0.1,3.7
939,1.8,0.0
523,1.6,2.5
890,2.0,-0.0
804,1.6,-0.0
821,1.8,-0.0
796,0.8,2.3
993,1.9,4.7
828,1.9,2.1
758,1.4,5.7
958,1.9,-0.0
970,2.5,2.8
632,2.9,0.0
680,1.6,0.0
643,2.0,-0.0
700,3.0,-0.0
746,3.7,5.7
773,1.7,2.1
589,1.6,-0.0
978,1.6,3.9
959,0.2,5.1
847,4.2,0.0
729,3.2,-0.0
983,2.2,1.9
966,2.2,0.0
698,3.4,0.0
985,2.7,0.0
677,2.8,2.1
731,2.6,1.0
722,2.4,0.0
961,2.9,5.2
536,2.1,0.0
548,1.8,2.3
685,2.9,0.0
676,2.7,0.0
586,2.4,0.0
566,1.8,3.0
607,3.0,0.0
505,0.5,2.0
594,2.7,2.8
679,0.0,3.1
826,2.4,0.0
720,2.0,0.0
574,0.0,5.0
516,0.1,3.2
663,2.3,-0.0
608,2.6,-0.0
646,0.6,2.4
716,2.0,0.0
928,1.1,4.1
695,2.0,0.0
883,2.7,2.3
737,1.9,-0.0
814,1.9,0.0
740,1.4,0.0
529,4.7,2.7
943,2.4,-0.0
622,2.6,6.1
546,3.1,3.4
669,1.2,4.0
694,1.6,0.0
713,1.6,-0.0
618,1.8,0.0
699,0.8,2.6
570,2.9,0.0
808,0.7,3.3
661,1.4,4.5
948,2.3,2.0
739,1.8,0.0
