,x1,x2,x3
603,1.8204937,0.68060946,4.725658
568,1.4235783,1.6657665,5.1355476
646,0.54544556,2.4063137,3.3901808
894,1.7080984,1.3676273,3.7883751
953,1.284649,1.773462,4.442407
951,1.8051187,1.3930669,4.6080937
728,1.7531377,2.2989757,5.4651217
856,2.0159514,2.046076,5.9888697
802,1.7172406,2.4720755,4.9158826
916,1.4912341,1.4237745,4.349016
814,1.7338421,0.78740114,4.180834
745,1.7555394,2.1820574,5.461819
586,1.830732,-0.5144738,3.573834
759,0.5400195,2.3944435,4.958648
704,0.8053388,2.0372627,4.4823112
686,1.69775,0.052266,3.4044685
642,1.8782519,0.93122995,5.356598
620,1.4729009,1.6440673,5.425865
560,0.9261266,1.8752177,3.2680938
986,1.7695792,2.368574,5.2823796
664,-0.52152795,3.475744,4.7715664
779,1.3690635,1.5935956,3.8087163
506,1.8443801,1.8291587,3.9983916
901,1.4074345,1.3507446,3.589985
842,1.8268467,2.60327,5.6635284
752,1.7386062,1.9111638,4.0267534
737,0.8573256,2.1133156,5.1071424
954,0.75976074,2.1707177,4.423148
776,0.9708031,2.0397158,5.0875044
724,0.916037,2.1786096,4.0228868
520,1.9120586,0.77230024,4.407541
955,1.6465894,0.3986665,3.6060882
690,0.77672577,2.3066597,3.7926848
623,1.9086534,0.62812006,3.5021212
738,1.6083385,1.4020497,4.1073437
893,0.095476694,2.97503,3.9753857
937,1.8562034,2.0016406,5.168049
708,0.551808,2.3434017,4.5218477
852,0.9983891,2.0551214,5.09484
859,1.8399277,0.41727257,3.4441767
668,1.8892232,2.2053175,5.284678
661,1.3984853,1.474561,3.770945
973,1.7308475,0.83767223,3.503851
746,1.9245199,2.074365,5.32014
774,0.6974207,2.2886312,3.9836323
505,1.8583364,-0.6669979,2.6537228
907,1.6008972,1.2004403,4.2287884
786,2.5784683,0.6438972,4.5721674
941,1.8373365,1.2262545,4.929042
744,0.65184766,2.2032888,4.1524754
583,1.8953558,1.8518684,5.998763
585,1.7056555,2.1780958,4.8420353
547,1.8481549,1.4797018,5.048292
840,1.7624859,-0.15016973,3.6677501
526,1.9052478,1.8944265,4.9114265
982,1.7522118,2.0472298,4.89792
994,1.8438966,1.3908095,3.742042
830,0.94428945,2.0807595,4.087438
924,0.98632246,2.0252929,4.3357024
855,1.776766,1.3025999,4.1838245
996,0.9592299,1.772225,4.3930864
723,1.0677758,1.9758177,5.139824
509,1.6428108,1.9422947,4.059166
762,0.49583805,2.6721783,4.1337814
510,0.6512682,2.2420223,3.8244762
818,2.1682825,1.3469851,4.470627
755,1.0758946,2.098573,4.8082767
928,0.8269258,1.879936,3.8389924
948,1.7023498,1.144542,4.0840707
609,0.55659556,2.406182,3.9621193
791,0.5465596,2.393201,4.689197
904,2.0734634,1.4587377,3.9262958
936,0.10911222,2.7306397,4.547449
630,1.7538893,-0.4085183,3.8327727
796,1.8375194,0.62015843,3.78069
864,1.3159528,1.7283518,4.201403
789,1.8352379,0.8234751,3.6255953
709,1.3776871,1.5947139,5.147766
612,1.367244,1.6841516,4.5564613
770,1.2988286,1.6986358,4.143037
782,1.8984841,3.7886212,6.651749
587,0.8446209,2.1284132,4.082288
822,1.7259617,-0.11242092,2.9252002
595,1.9369563,1.3411086,4.2157903
721,1.635007,2.140881,4.9712467
602,1.4251593,1.4578058,4.8446217
563,-0.37179413,3.3735688,4.659419
946,1.8198653,-0.42971814,2.7799785
891,1.9680146,0.9949529,3.9922128
843,2.525055,2.2814856,7.3289146
939,1.8426569,1.222617,4.1719775
604,1.7619606,0.41480148,3.5171103
508,0.92746496,2.1122167,4.1532516
650,1.6891438,1.4990073,4.10539
540,1.2277267,1.508649,4.365542
677,0.83749425,1.9113023,4.0378485
546,1.8114241,0.62011063,5.083561
590,-0.040611386,2.990538,4.8004565
777,1.927504,0.8720263,4.479553
905,2.0487967,0.8762748,4.54175
