,x1,x2,x3
845,1.0021954,1.8429065,5.009203
662,1.4263391,1.563808,4.794791
893,1.889245,1.0510793,4.494379
815,2.4811583,1.1449542,4.2717195
795,1.3054618,1.9289657,5.328888
659,1.7670417,1.3953823,5.059293
569,2.115483,1.3859706,5.3511987
761,0.94032073,2.1886334,4.089943
560,0.6129593,2.3375428,4.9131517
798,1.0163811,2.1279461,2.823256
934,2.614527,0.39361954,4.721898
947,1.6858693,1.7079998,4.741745
632,0.9390577,2.0376348,4.04149
925,1.9877481,0.85228324,4.1171207
624,-0.36649248,2.9591904,3.7531686
603,1.6330051,1.7960137,5.2280617
725,1.4706272,1.509164,4.0642934
635,1.0559961,1.6627554,4.6208434
964,0.93483925,1.9748824,3.705658
834,0.9786904,1.7854563,4.427615
739,1.8721193,1.1821207,4.8138165
504,1.4420619,1.3681842,4.408932
806,0.97151244,1.3749529,4.0376344
734,1.3728501,1.5976329,4.6450686
661,2.3280718,1.0020612,5.342967
791,1.9586933,0.97776055,4.3149176
864,0.8826196,1.9468591,4.5807376
646,1.2701682,1.5330449,4.27289
607,0.8557997,2.3186646,3.2215095
979,1.2279298,1.5762043,4.469384
678,1.109984,1.8877811,4.2973895
599,1.2898937,1.3813401,4.196333
710,1.6337683,2.1165874,4.7310286
675,2.3883903,1.1875918,5.0191035
502,1.699456,1.8391181,4.995522
697,1.5883685,1.161994,4.6402307
547,1.5804576,1.5551769,5.3428507
685,1.7849953,0.96018827,4.449443
901,2.1406343,0.9784764,4.6057153
897,1.3244117,2.0047066,4.7556014
568,1.6278465,1.3561524,4.2183113
592,1.6462151,1.7914686,4.709976
688,1.9370058,1.3944483,5.2908144
882,1.348259,1.418884,4.6371202
924,2.3452842,0.57591844,3.6296775
598,1.849402,1.8813883,4.6583395
566,2.262428,1.6076446,5.4643455
926,1.5075119,1.5324316,4.35633
921,1.4829177,1.609562,4.9128127
703,0.9041878,2.101882,4.354449
717,0.64603317,2.4782746,4.7018685
720,1.4403636,1.4405268,4.9212236
829,1.3391054,1.7063817,4.1643806
891,1.4898993,1.3674909,3.989353
604,1.3796966,2.167861,4.0912747
981,2.239312,2.063379,6.5887365
501,-0.2119458,3.2442815,4.401132
988,1.3470502,1.5192783,3.3381224
996,0.94850135,1.3096652,3.6010349
634,1.0724218,2.0646849,4.6348987
638,1.9563491,0.40471488,4.26464
993,1.8577918,1.0864356,4.154818
726,2.2800863,1.663933,4.9681716
859,1.3668762,1.6600646,4.88812
668,-0.060340036,2.968555,3.8150482
762,1.3076652,2.1223063,4.1329055
904,1.2881743,1.8683387,5.443904
737,1.4381385,1.543149,4.6704507
782,1.9988501,1.5980386,5.4223843
583,1.7016929,1.3952546,4.187616
714,2.0643933,1.8230801,5.758095
788,0.82722604,1.6649711,3.7259164
850,0.2244066,2.6370354,4.367597
919,1.7049714,1.7348399,4.483001
777,2.271431,0.9464928,5.1906466
835,1.2267926,1.8077803,3.7869644
515,0.9445001,2.1429837,4.7204356
595,1.0256476,1.7967724,3.7229826
771,0.84877044,1.96307,5.2761784
683,1.8523375,1.163588,4.7726636
730,0.6294667,2.5969086,4.4143524
578,0.9134633,2.0334575,5.5611
654,2.275289,1.0284259,4.1209555
637,1.42883,1.6625345,4.033171
837,0.96970755,2.3299453,3.979132
908,0.200057,3.1033542,4.381684
967,1.401098,1.7595289,3.9582357
513,2.1570568,1.5573444,6.052225
813,1.2963642,1.984935,4.5077577
963,2.3492422,1.2988648,5.00646
565,1.0241123,2.2623713,4.6056266
537,1.0366398,1.6597309,4.0224543
753,2.2585576,0.942075,4.280287
770,0.9149617,1.7361997,5.1728897
973,0.8385965,1.9771645,4.513077
617,1.3633572,1.8642803,5.3215103
986,0.975019,1.9531801,4.791396
775,1.116583,2.0916092,4.379141
890,0.95648235,2.0413127,4.5404506
871,0.9160253,1.9067702,4.8268623
