ix,goal_cost,intv_cost
845,0.968,3.4
662,0.96,2.4
893,0.956,2.0
815,0.966,2.9
795,0.968,6.0
659,0.966,4.9
569,0.958,5.1
761,0.952,9.3
560,0.954,5.7
798,0.9599999785423279,5.0
934,0.958,2.1
947,0.958,5.4
632,0.964,3.4
925,0.966,1.3
624,0.99,2.7
603,0.956,7.5
725,0.9559999704360962,4.0
635,0.954,4.3
964,0.956,7.1000000000000005
834,0.954,3.1
739,0.956,5.3
504,0.962,7.5
806,0.956,4.2
734,0.966,2.2
661,0.952,2.2
791,0.962,1.9
864,0.952,5.7
646,0.962,7.9
607,0.956,7.9
979,0.9620000123977661,2.5
678,0.966,3.2
599,0.954,1.7
710,0.956,2.7
675,0.952,5.1
502,0.9580000042915344,2.5
697,0.976,2.2
547,0.952,5.3
685,0.952,3.4
901,0.968,2.1
897,0.958,4.5
568,0.966,2.3
592,0.97,2.5
688,0.956,5.0
882,0.978,2.7
924,0.966,1.9
598,0.964,2.7
566,0.976,2.5
926,0.958,2.8
921,0.964,2.7
703,0.972,5.8
717,0.97,4.2
720,0.976,2.6
829,0.976,2.9
891,0.962,2.6
604,0.964,3.8
981,0.978,2.5
501,0.9580000042915344,5.5
988,0.964,4.8999999999999995
996,0.954,0.8
634,0.96,2.4
638,0.952,3.6999999999999997
993,0.956,4.800000000000001
726,0.962,2.4
859,0.976,2.3
668,0.956,7.8
762,0.962,4.1
904,0.97,8.5
737,0.954,4.1
782,0.954,4.800000000000001
583,0.974,2.8
714,0.954,2.3
788,0.956,0.8
850,0.972,2.6
919,0.96,2.1
777,0.958,5.0
835,0.96,6.5
515,0.956,3.6
595,0.954,5.699999999999999
771,0.952,5.6
683,0.9700000286102295,1.0
730,0.956,1.3
578,0.966,7.6000000000000005
654,0.962,6.300000000000001
637,0.968,5.5
837,1.0,3.1
908,0.952,3.8
967,0.954,2.9
513,0.954,6.1
813,0.956,3.7
963,0.966,2.7
565,0.96,4.5
537,0.956,4.0
753,0.96,2.2
770,0.954,3.9000000000000004
973,0.97,4.1000000000000005
617,0.952,3.7
986,0.96,4.2
775,0.956,1.8
890,0.966,2.6
871,0.958,5.7
