,0
819,1.0
707,0.0
962,1.0
645,1.0
931,0.0
825,0.0
512,0.0
637,0.0
569,0.0
795,0.0
840,0.0
607,1.0
919,1.0
715,0.0
794,0.0
589,1.0
960,0.0
988,0.0
761,0.0
778,0.0
918,0.0
510,0.0
611,0.0
987,0.0
874,0.0
798,0.0
659,0.0
944,1.0
639,0.0
964,0.0
678,1.0
679,0.0
734,0.0
688,0.0
877,0.0
726,0.0
740,1.0
847,0.0
923,1.0
756,0.0
508,0.0
544,0.0
845,0.0
730,1.0
528,1.0
844,0.0
780,0.0
976,0.0
894,0.0
748,0.0
621,0.0
583,0.0
739,0.0
983,0.0
640,0.0
957,0.0
858,0.0
713,0.0
619,0.0
708,0.0
683,1.0
536,0.0
855,1.0
532,0.0
813,1.0
937,1.0
779,0.0
854,0.0
711,0.0
564,0.0
821,0.0
814,0.0
952,1.0
993,0.0
930,0.0
689,1.0
533,0.0
695,0.0
642,0.0
743,0.0
800,0.0
797,0.0
504,0.0
860,1.0
616,0.0
627,1.0
604,0.0
624,0.0
549,0.0
938,1.0
804,0.0
948,0.0
574,0.0
530,0.0
790,0.0
503,0.0
716,1.0
547,0.0
560,1.0
949,0.0
