,h_post,h_post_individualized
678,0.52,
521,0.66,
692,0.5,
654,0.54,
551,0.54,
528,0.68,
925,0.5,
953,0.98,
706,0.5,
614,0.52,
931,0.86,
602,0.66,
727,0.56,
694,0.5,
564,0.62,
838,0.6,
716,0.98,
554,0.5,
990,0.52,
622,0.58,
685,0.58,
899,0.78,
500,0.5,
788,0.62,
563,0.54,
917,0.5,
615,0.56,
827,0.6,
983,0.5,
575,0.5,
998,0.52,
605,0.52,
732,0.56,
548,0.64,
889,0.66,
640,0.5,
962,0.52,
522,0.6,
655,0.58,
742,0.88,
540,0.64,
728,0.54,
600,0.54,
865,0.54,
970,0.54,
960,0.66,
999,0.5,
712,0.52,
768,0.64,
881,0.64,
814,0.52,
822,0.58,
941,0.5,
517,0.54,
919,0.5,
997,0.5,
821,0.5,
607,0.54,
847,0.72,
887,0.54,
749,0.56,
672,0.5,
780,0.5,
750,0.52,
908,0.64,
886,0.52,
616,0.5,
679,0.56,
746,0.72,
842,0.68,
519,0.5,
621,0.6,
758,0.82,
586,0.5,
734,0.52,
944,0.62,
704,0.52,
806,0.56,
853,0.64,
591,0.5,
668,0.58,
730,0.5,
683,0.52,
503,0.5,
569,0.58,
523,0.62,
859,0.8,
510,0.52,
952,0.7,
592,0.68,
733,0.64,
905,0.54,
912,0.5,
807,0.54,
817,0.72,
568,0.5,
942,0.52,
966,0.52,
897,0.64,
754,0.54,
