,0
678,0.0
521,1.0
692,1.0
654,0.0
551,0.0
528,0.0
925,0.0
953,1.0
706,0.0
614,0.0
931,0.0
602,0.0
727,0.0
694,1.0
564,0.0
838,0.0
716,1.0
554,0.0
990,1.0
622,0.0
685,0.0
899,1.0
500,1.0
788,0.0
563,1.0
917,0.0
615,0.0
827,0.0
983,1.0
575,0.0
998,1.0
605,0.0
732,0.0
548,1.0
889,0.0
640,0.0
962,1.0
522,0.0
655,0.0
742,0.0
540,1.0
728,0.0
600,0.0
865,0.0
970,0.0
960,0.0
999,0.0
712,1.0
768,0.0
881,0.0
814,0.0
822,0.0
941,1.0
517,1.0
919,0.0
997,0.0
821,1.0
607,1.0
847,0.0
887,0.0
749,1.0
672,0.0
780,0.0
750,0.0
908,0.0
886,0.0
616,1.0
679,1.0
746,1.0
842,1.0
519,0.0
621,0.0
758,0.0
586,0.0
734,1.0
944,1.0
704,0.0
806,1.0
853,0.0
591,1.0
668,0.0
730,0.0
683,1.0
503,0.0
569,1.0
523,1.0
859,0.0
510,1.0
952,1.0
592,0.0
733,0.0
905,1.0
912,1.0
807,0.0
817,0.0
568,1.0
942,0.0
966,0.0
897,1.0
754,1.0
