ix,goal_cost,intv_cost
964,0.9520000219345093,7.0
945,0.951,4.6
552,0.97,3.8
756,0.97,2.6
645,0.959,2.6
558,0.951,7.2
959,0.952,4.6
715,0.959,3.1
668,0.954,7.8999999999999995
622,0.952,5.1
703,0.959,3.1
841,0.962,1.9
950,0.954,3.8
521,0.96,4.0
568,0.951,2.3
833,0.951,2.2
527,0.959,3.3
978,0.96,2.6
693,0.952,5.2
560,0.961,3.0
770,0.952,3.6
811,0.952,4.300000000000001
896,0.952,3.6
583,0.964,2.6
793,0.955,4.0
813,0.956,4.1
750,0.96,2.8
710,0.958,2.1
642,0.954,1.7
944,0.958,2.8
947,0.967,3.0
595,0.955,5.699999999999999
562,0.955,6.9
623,0.964,2.6
726,0.953,4.3
659,0.959,2.3
948,0.955,8.5
605,0.956,2.3
507,0.954,2.0
566,0.952,4.6
526,0.952,2.4
567,0.952,4.8
921,0.956,4.7
539,0.955,1.1
831,0.954,5.3
505,0.958,2.1
654,0.951,6.2
502,0.954,2.3
891,0.951,4.9
503,0.969,1.6
794,0.956,6.1
760,0.951,5.2
529,0.957,1.4
957,0.963,2.1
688,0.9580000042915344,5.0
937,0.956,2.4
829,0.968,2.5
640,0.953,2.0
799,0.951,4.7
850,0.967,2.4
832,0.953,3.1
754,0.956,2.1
798,0.955,5.2
809,0.954,1.4
993,0.9660000205039978,2.5
820,0.955,7.8999999999999995
515,0.951,7.6
739,0.957,5.4
606,0.952,5.3999999999999995
884,0.951,3.3
834,0.951,1.7
988,0.954,4.9
788,0.952,2.3000000000000003
614,0.958,5.1
603,0.955,3.8
845,0.957,5.5
909,0.9670000076293945,3.0
631,0.965,1.5
954,0.951,2.0
856,0.951,3.5
882,0.957,2.4
908,0.983,2.5
912,0.971,2.4
981,0.96,2.2
761,0.951,9.3
920,0.955,4.5
904,0.958,4.4
764,0.9639999866485596,2.5
522,0.952,4.3
919,0.952,1.9
835,0.9710000157356262,3.5
513,0.966,3.1
943,0.955,2.3
789,0.955,2.3
999,0.952,5.6
785,0.958,7.300000000000001
755,0.955,3.8000000000000003
729,0.953,1.7
725,0.955,2.1
926,0.96,4.9
