,x1,x2,x3
677,0.2536219,-0.2887015,1.0194405
864,-0.13552053,-0.023124415,0.1820775
688,0.57905394,-0.96855575,1.9014019
636,-0.6039858,-0.23505901,-0.61319876
943,-0.10870574,-0.13125454,0.85643333
758,0.24325675,-1.0321574,-0.9324351
716,0.575496,0.7815414,0.6372009
778,0.17709835,1.3073673,1.235834
833,0.15264465,0.502877,-0.0691155
589,0.17239495,1.2955766,-0.39546672
856,0.18046308,-1.006731,-1.1812168
641,0.39395735,-0.6621109,-0.99460787
855,0.23672678,-2.486377,-0.6507577
976,0.20841601,1.2818546,-1.8826203
816,0.18229687,-1.5919058,-0.6838024
551,0.22949602,-1.6108462,-0.64679164
577,0.23149765,0.093571946,-0.15161407
583,0.21439281,-1.7862391,-0.8422238
785,0.36702934,-0.41516107,0.72174704
529,-0.56123227,0.0111961365,-0.021878064
844,0.313436,-0.15715402,-1.3449594
857,-0.6957868,0.075524785,-0.17120236
734,0.38148284,0.2614741,0.65170544
951,-0.3983505,-1.5176944,-0.5047696
910,0.2446863,-0.9909045,-1.0766525
601,0.25503552,-0.9798986,-0.35911524
881,0.3470406,-1.1111283,-1.1232982
503,0.23851764,-0.17026073,-0.3221418
623,0.26992536,0.81773704,-0.10050547
759,-0.36477742,0.14417362,1.5617809
517,0.53611046,0.35257944,0.53881556
747,-0.38831565,-1.5813746,-2.3275032
674,-0.14530586,-0.18721595,-0.6256622
936,0.22001034,-0.33478945,-0.5081783
859,-0.78975004,0.16953689,1.2464545
956,0.2607146,-0.43069166,0.052821882
569,0.2229146,0.11610069,-0.35115743
606,0.24774143,-1.83068,-0.70844847
761,0.16464016,0.5020021,1.6808951
784,-0.20261855,0.52857363,0.1889879
897,0.20182315,-0.048751272,-1.2785444
670,-0.4408773,-1.5058528,-0.61085993
949,0.4208878,-0.3452203,-0.7052681
592,-0.619233,-0.08003332,0.4540819
969,0.36352158,-0.3938539,-0.5679772
973,0.2272309,-1.7752367,-0.7058061
549,0.21874906,0.6504531,-0.18252632
809,0.3655495,-0.09055942,-0.34271914
877,-0.33443958,-1.9134506,-0.57574666
590,0.8648194,-0.93778205,-0.83336055
927,0.11999222,-0.39304253,0.5168188
885,0.35516417,-0.95490414,-0.8440728
727,0.4517227,-0.7946772,-1.1431547
659,0.4038467,1.1990725,-0.97286546
769,0.37312254,-0.45321342,-0.7080933
602,0.19486126,0.19533262,-0.72274625
565,0.20771085,0.16790086,-0.63877255
839,0.26248035,-0.99976206,-0.8987639
710,-0.29064134,1.4544021,-0.62604046
751,0.097602524,0.39245087,0.4965638
578,-0.23761,-0.20469955,-0.41476074
788,0.18613729,0.46248364,-1.6138299
637,-0.37876046,-1.5351682,-2.3158636
713,-0.49075675,-0.23949727,-0.59595275
813,0.2325717,0.29477242,-1.0996763
899,-0.40881765,-1.6647807,-0.6031411
625,-0.008504999,1.2893938,-1.654628
808,-0.38035905,-1.5355234,-2.225082
968,0.20368788,-0.9742538,0.15502802
650,0.07862951,-0.46274638,0.6237479
779,0.20631053,-0.7777292,-0.11963892
822,0.2483783,-0.9842135,0.33955228
552,0.42089295,-0.63713753,0.15942813
991,-0.34468582,-0.0716274,2.4506633
892,0.19609794,-1.007487,-1.1855189
725,-0.13984966,0.5438844,0.2471683
655,0.34922066,-0.22032312,-0.9977315
726,0.8616049,0.5733638,0.8696704
661,-0.10687335,-0.82320064,0.4747079
749,0.22399381,-0.28101644,-0.83690035
871,-0.30551755,-1.5144178,-0.40864173
752,0.23550309,-1.0181562,-0.8684746
793,-0.7673484,-0.072093084,-0.6191124
926,0.24039567,-0.08062632,-0.76528794
963,0.25334585,-0.15385652,-0.88002217
828,0.17868744,-2.3402123,-0.70012975
702,0.24809702,-0.24646042,-0.13452148
837,-0.16094606,-0.06079766,1.0557352
876,0.29510754,-0.99401134,-1.1589738
895,0.18556923,-1.0431275,-0.7881932
990,0.5014453,-0.7783315,0.96953535
676,-0.13232316,-0.34413847,1.5654175
558,0.053017594,-0.30643514,0.49840558
619,-0.27180213,-1.5360289,-0.5554267
735,-0.687883,-0.051329017,0.7216724
848,-0.5138264,-0.50402427,1.6929309
863,0.12397835,0.56010854,0.14711422
912,0.23923895,-0.29056045,-0.015752995
804,0.26607198,-1.7795697,-0.7052471
753,0.39501584,-0.27989143,1.1104325
