ix,goal_cost,intv_cost
651,0.952,0.2
946,1.0,0.30000000000000004
547,1.0,5.5
589,1.0,0.30000000000000004
847,1.0,1.3000000000000003
542,1.0,2.2
746,1.0,1.6
996,1.0,0.30000000000000004
956,1.0,1.9
758,1.0,4.2
748,1.0,0.5
772,0.994,0.2
783,1.0,1.4
632,1.0,2.1
738,1.0,2.1
588,1.0,0.7
596,1.0,0.6
838,0.972,0.30000000000000004
727,0.986,2.6
634,1.0,0.2
713,1.0,1.5
756,1.0,0.2
712,1.0,5.4
662,1.0,1.0
705,1.0,1.7000000000000002
744,1.0,2.5000000000000004
509,1.0,2.6
925,1.0,0.30000000000000004
928,1.0,0.4
899,1.0,2.0
704,1.0,2.1
671,1.0,2.4000000000000004
689,0.974,3.5
577,1.0,1.7
693,1.0,1.5
768,1.0,1.6
750,1.0,0.2
767,1.0,0.6000000000000001
829,1.0,0.2
733,1.0,3.0999999999999996
541,1.0,0.4
510,1.0,3.0999999999999996
871,1.0,1.6
798,1.0,2.5
677,0.986,1.0
503,1.0,3.8000000000000003
501,0.976,1.8
779,1.0,0.5
840,1.0,3.0
918,1.0,3.2
865,1.0,1.5999999999999999
854,1.0,8.5
743,1.0,1.9
968,1.0,4.7
681,1.0,4.0
771,1.0,2.6
848,1.0,1.0
804,1.0,5.6
508,1.0,1.3
994,1.0,0.5
601,1.0,4.2
534,1.0,0.7000000000000001
563,1.0,0.6
831,1.0,1.0
721,1.0,0.6
666,1.0,3.3000000000000003
515,1.0,0.8999999999999999
852,1.0,6.1
943,1.0,4.9
694,1.0,1.5
551,1.0,0.30000000000000004
637,1.0,0.3
913,1.0,0.8
609,1.0,4.5
553,0.964,6.0
626,1.0,0.2
716,1.0,4.2
807,0.99,0.2
860,1.0,1.9000000000000001
698,1.0,1.0
850,1.0,1.6
894,1.0,0.2
521,1.0,2.6
656,1.0,0.5
910,1.0,0.6000000000000001
914,1.0,4.699999999999999
977,1.0,2.7
786,1.0,6.9
869,1.0,1.9000000000000001
734,1.0,2.1
701,1.0,0.8
851,1.0,2.2
619,1.0,4.699999999999999
961,1.0,0.7
874,1.0,0.4
937,1.0,2.9000000000000004
879,1.0,1.1
873,1.0,5.9
702,0.988,1.6
580,1.0,2.0
