,x1,x2,x3
823,0.86865103,2.0893495,3.9201272
503,0.83851767,2.4297392,5.1778584
676,0.86767685,2.1558616,5.065418
560,0.21946739,3.230743,3.488135
695,1.756838,1.9987891,4.821182
749,0.12399381,2.7189837,2.0630999
524,0.6953569,2.6467807,4.5780873
956,1.2607147,1.7693083,4.3528214
991,0.35531417,2.6283727,5.850663
655,-0.25077933,-0.8203231,-1.2977315
617,-0.44079444,3.783178,3.5002477
913,0.92019117,2.165966,4.3933053
834,-0.26457468,-1.0273474,-0.9469646
951,-0.3983505,3.7823057,3.5952303
529,0.6387677,2.5111961,4.678122
899,-0.40881765,3.8352194,4.196859
692,0.8570842,2.174257,4.129117
839,-0.43751964,3.6002378,3.201236
670,-0.8408773,-1.9058528,-3.31086
963,0.053345837,2.9461434,4.719978
970,-0.7216444,-0.20721096,-0.016726673
900,-0.20238484,-0.27406448,0.29198828
516,-0.35655695,-1.6203187,-0.8419937
798,0.414012,2.6845682,1.1271684
672,0.94522613,2.1406295,3.7671702
990,1.8014452,0.22166848,4.269535
822,-0.3516217,-1.0842135,-0.36044765
787,-0.3915653,3.1876311,3.5559711
515,-0.78870684,0.3403154,-0.0079057515
726,0.7616049,1.8733637,2.0696704
535,2.9288485,3.0358047,4.616398
859,0.71024996,2.269537,4.8464546
976,1.208416,1.8818547,2.7173796
785,1.3670293,1.6848389,5.121747
881,0.5470406,2.5888717,3.576702
969,0.8635216,2.2061462,3.532023
943,0.39129427,2.8687456,4.3564334
532,-0.37845075,3.1984057,3.123229
773,0.93998855,2.124277,3.5461304
752,1.135503,2.281844,4.431525
623,-0.8300746,3.817737,2.7994947
761,0.76464015,2.6020021,4.3808947
511,0.2014062,2.6660397,3.6804824
533,-0.036166828,-0.5808196,0.12335032
625,1.791495,3.4893937,3.7453718
713,-0.49075675,3.7605028,4.404047
942,0.9574924,2.1456852,2.4156477
745,0.13483247,2.9137557,2.7499552
677,0.05362191,-0.4887015,-0.3805594
828,0.078687444,-2.4402122,-2.2001297
579,-0.1695689,3.547559,5.9647794
806,0.44746816,2.8766701,3.6399794
941,0.23321214,2.692969,2.26055
536,0.22790056,2.7277312,4.7864227
607,0.046285953,3.0529385,4.1964955
793,-0.86734843,-0.37209308,-1.1191124
710,1.1093587,1.7544022,1.9739597
861,-0.110752515,3.329127,3.9704165
790,-0.650356,3.7330875,5.6315546
863,0.12397835,2.7601085,3.347114
569,0.12291461,2.9161007,2.3488426
558,1.1530176,1.5935649,4.4984055
826,0.95661247,2.1400776,2.0537488
687,0.11252777,2.928562,4.333561
949,0.9208878,2.1547797,3.1947317
719,0.72239274,2.1749423,4.300118
895,-0.41443077,3.4568725,1.9118071
572,1.316345,1.9616613,5.151147
825,-0.09824516,3.6982684,3.5398717
636,-0.50398576,3.764941,5.0868015
927,-0.28000778,-0.49304253,0.016818821
649,0.4668607,2.892892,3.9794838
929,0.011469005,3.1323955,4.0621843
568,-0.30876404,3.295713,4.5679765
869,-0.63254285,0.68259573,-0.6470216
588,1.2390277,2.212446,4.86869
780,0.5475412,2.5627053,3.543068
546,1.4639692,1.6796387,4.6697903
811,-0.022515686,2.940227,4.2194333
928,0.67011553,2.4636877,2.5850964
507,1.2657146,1.5766094,2.6704726
759,0.035222583,2.9441736,5.7617807
831,1.1803484,2.1043606,3.8523664
671,0.048361786,2.9619644,2.4796891
984,0.32934123,2.8581152,4.742873
627,0.95938414,2.1236715,2.842496
641,0.8939574,2.1378891,3.1053922
897,0.20182315,2.9512486,2.8214555
621,1.7099558,1.6798955,5.8682795
517,0.6361105,2.6525795,3.8388157
708,0.8164774,2.4117894,4.7591906
843,0.49815488,2.5147953,3.0274599
810,1.1525854,2.287911,3.9294715
804,2.066072,0.12043035,2.0947528
652,2.3431408,1.6363007,3.425179
526,0.9409478,2.138783,3.0853555
767,0.7265379,2.063544,2.2367346
857,-0.6957868,3.7755249,4.5287976
816,0.18229687,2.6080942,3.3161974
753,-0.30498415,3.6201086,4.3104324
