,x1,x2,x3
589,0.6,2.1,-0.0
743,1.1,3.0,4.2
984,0.2,2.1,0.0
512,0.4,1.5,-0.0
942,1.1,3.1,4.2
911,0.5,2.8,4.2
819,0.8,1.9,0.0
830,0.9,2.4,0.0
623,1.2,0.0,0.0
527,1.7,-0.0,-0.0
994,0.1,1.5,-0.0
923,0.0,1.3,1.4
953,0.1,2.6,-0.0
921,1.0,-0.0,2.0
684,1.0,2.1,0.0
516,0.5,-0.0,3.3
747,1.1,0.9,-0.0
577,0.9,-0.0,-0.0
519,1.8,-0.0,3.1
676,0.3,3.1,-0.0
633,0.9,2.5,-0.0
985,0.9,-0.0,1.9
500,0.7,3.0,-0.0
782,0.4,2.3,2.7
757,0.2,2.1,3.1
878,0.7,1.7,0.0
698,1.5,1.8,3.6
515,0.6,1.5,0.0
621,0.7,2.5,-0.0
849,0.9,4.2,5.5
786,0.8,2.7,0.0
859,0.2,2.2,0.0
824,0.7,1.9,2.6
599,0.0,1.8,-0.0
971,1.3,1.5,3.1
877,0.1,1.8,-0.0
888,-0.1,2.0,-0.0
964,0.4,3.1,0.0
711,1.1,1.6,3.0
665,1.0,1.8,0.0
928,0.8,3.2,-0.0
813,0.9,2.7,-0.0
996,0.4,2.3,2.5
650,0.6,2.1,-0.0
903,1.5,3.1,4.2
843,1.0,3.1,4.2
540,1.7,0.0,-0.0
871,1.0,-0.0,-0.0
652,0.6,1.4,0.0
780,0.4,1.3,1.9
759,-0.0,2.7,4.2
959,1.0,2.3,3.7
672,1.3,3.3,2.8
664,0.1,2.2,-0.0
863,0.6,2.4,3.3
576,0.8,1.3,0.0
907,0.4,2.4,-0.0
728,0.4,1.5,0.0
565,1.1,0.3,4.2
699,0.7,1.5,2.1
913,0.7,2.8,0.0
554,0.5,1.5,-0.0
719,2.0,3.2,4.5
915,1.0,0.0,-0.0
729,0.3,2.1,2.6
922,0.8,2.1,3.6
607,1.0,0.0,-0.0
618,0.6,2.3,3.5
929,-0.0,2.1,2.6
809,0.4,1.9,2.3
501,0.7,1.3,2.1
749,0.4,1.6,-0.0
933,0.7,1.5,0.0
865,-0.0,2.0,0.0
660,0.3,1.8,2.1
791,1.6,0.0,2.1
771,0.8,1.7,2.6
600,1.0,0.0,0.0
593,0.9,-0.0,-0.0
503,1.3,0.0,1.0
570,1.5,0.0,2.3
632,0.1,1.6,1.7
838,0.9,1.8,2.6
545,0.4,1.4,-0.0
931,0.5,1.9,-0.0
766,0.2,0.0,0.0
738,0.7,2.9,3.6
869,1.0,1.5,0.0
804,0.1,2.8,0.0
844,0.6,2.1,3.3
866,1.2,2.5,3.8
962,1.1,3.1,0.0
815,0.0,1.9,0.0
821,1.0,3.1,0.0
693,0.7,3.3,4.1
986,1.5,2.2,-0.0
944,0.0,1.9,2.1
567,0.9,1.3,2.1
927,1.3,2.5,0.0
993,1.8,2.6,0.0
