,x1,x2,x3
562,2.2,3.0,4.8
753,1.7,0.0,3.6
850,1.6,0.0,3.5
934,1.1,2.8,4.7
526,1.3,1.7,2.6
820,2.7,3.6,5.5
811,0.1,2.1,2.3
775,1.8,-0.0,0.0
567,1.8,2.8,2.1
881,1.0,0.0,0.0
945,1.6,0.0,0.0
532,0.3,4.2,5.7
884,0.9,-0.0,-0.0
838,2.1,0.0,0.0
632,1.2,0.0,0.0
920,0.8,4.1,0.1
513,1.8,2.6,5.2
529,0.0,0.6,1.1
999,1.4,2.1,4.6
812,2.6,0.0,0.0
578,1.8,4.1,5.2
831,2.8,-0.0,0.5
643,-0.0,0.2,-0.0
502,1.7,0.0,0.0
661,0.9,2.6,4.1
504,2.1,3.3,6.7
782,1.5,0.0,3.3
927,1.2,0.0,2.8
954,1.5,-0.0,2.4
614,0.1,3.3,0.0
537,1.1,1.5,-0.0
948,3.4,0.0,0.0
817,1.7,1.9,0.0
595,1.4,2.3,3.3
750,1.6,2.0,0.0
615,0.8,1.7,0.0
979,0.9,1.2,2.6
522,0.7,1.8,3.8
921,0.5,0.0,5.1
658,0.4,1.4,0.0
871,1.5,2.7,3.8
620,1.8,3.8,5.6
832,2.2,1.9,5.7
726,1.6,0.9,3.1
853,0.9,-0.0,2.6
607,2.2,4.4,5.2
635,0.1,2.1,2.6
841,2.1,0.7,0.0
912,1.4,-0.0,2.4
983,1.8,2.4,-0.0
947,2.2,0.0,0.0
795,1.2,3.1,4.6
576,0.5,0.9,2.0
606,1.4,2.8,3.5
791,1.5,0.0,0.0
822,1.9,0.2,5.7
507,1.6,0.0,1.7
662,0.4,2.0,-0.0
697,1.2,1.3,0.0
527,3.1,2.0,4.6
964,2.6,2.6,4.4
563,2.6,4.1,7.5
737,1.3,-0.0,2.3
763,0.9,3.0,4.1
521,1.2,0.0,0.0
937,2.6,0.3,0.0
710,1.2,-0.0,0.0
696,2.1,0.1,3.2
675,1.9,0.5,4.2
924,1.2,2.1,4.2
886,2.3,2.6,7.0
774,1.5,-0.0,1.1
777,0.9,2.6,2.6
859,0.7,2.6,3.0
701,1.2,-0.0,0.0
771,2.2,-0.0,3.9
918,0.7,-0.0,1.6
944,1.4,1.2,4.2
770,1.4,1.3,1.9
501,2.1,1.2,4.2
733,1.0,2.6,0.0
982,1.2,-0.0,1.5
882,0.8,2.5,2.8
907,1.0,-0.0,1.1
967,2.1,1.4,3.0
778,1.4,0.7,2.6
599,1.4,1.1,-0.0
926,2.1,-0.0,3.3
941,0.7,1.3,1.9
654,1.1,2.6,4.1
500,0.6,4.1,5.7
575,1.7,1.3,4.2
901,1.3,-0.0,2.7
978,1.3,1.8,3.2
806,1.6,1.1,0.0
557,2.0,2.4,4.2
904,3.0,4.1,7.1
897,1.0,1.5,3.6
890,2.5,1.4,0.0
693,1.8,1.0,4.9
