,x1,x2,x3
522,-0.0,0.0,0.7
684,0.4,-0.0,0.0
954,-0.1,0.1,0.2
623,0.4,-0.0,-0.0
656,-0.2,0.1,-0.0
658,-0.0,-0.2,-0.0
500,0.0,-0.1,2.5
645,1.1,-0.0,0.0
604,1.4,-0.0,1.1
935,0.0,-0.0,0.3
891,0.1,-0.0,0.5
782,-0.0,0.1,0.6
560,0.3,-0.3,1.1
818,0.7,-0.0,0.0
906,0.0,-0.1,-0.0
941,0.0,0.1,-0.1
502,0.1,-0.1,0.5
770,0.0,0.2,0.0
802,0.9,-0.1,2.0
558,0.4,-0.2,3.1
964,1.4,-0.0,-0.0
725,-0.0,-0.1,0.0
605,0.1,-0.0,-0.0
521,-0.0,0.5,0.0
647,-0.1,0.0,-0.0
552,0.7,0.1,2.6
901,-0.3,0.2,-0.0
527,1.1,0.3,2.1
983,1.0,0.3,1.1
754,0.3,-0.0,-0.0
739,-0.0,-0.5,0.4
829,0.3,-0.0,-0.0
909,-0.1,-0.2,0.3
880,-0.0,-0.2,0.1
937,0.3,0.1,-0.0
926,0.3,-0.0,1.5
707,0.1,-0.1,-0.4
636,0.2,0.2,-0.3
746,0.1,-0.1,-0.0
913,0.0,-0.2,0.8
654,0.3,-0.1,0.6
710,0.1,0.0,0.1
886,0.0,0.1,2.7
578,1.0,1.3,0.0
696,-0.1,0.2,0.2
700,-0.1,-0.0,0.4
669,0.3,0.0,-0.0
663,0.1,-0.1,0.1
948,0.6,0.0,3.9
982,-0.2,0.1,-0.0
697,-0.1,-0.1,0.1
822,1.5,0.0,-0.0
831,0.8,0.0,-0.0
833,0.4,0.0,-0.0
811,0.0,-0.0,0.2
507,0.5,-0.1,-0.0
841,-0.1,-0.1,0.1
703,0.3,-0.2,1.6
567,-0.0,-0.1,-0.2
808,-0.0,0.5,-0.0
761,1.8,-0.0,5.3
599,0.1,-0.0,0.0
896,-0.2,-0.1,-0.3
993,0.6,0.1,-0.0
920,0.0,-0.4,0.0
893,-0.1,0.0,0.1
529,-0.1,0.0,-0.0
817,0.7,0.1,-0.0
934,-0.0,0.1,1.8
919,0.1,0.1,0.0
504,-0.2,0.0,4.3
750,0.4,0.1,1.2
513,0.7,0.8,0.0
581,0.0,-0.1,0.3
635,0.2,0.0,-0.1
760,0.5,0.0,1.2
728,0.0,0.3,-0.0
762,0.3,0.0,-0.0
775,-0.1,0.0,-0.1
859,-0.1,-0.0,0.2
963,0.0,0.0,1.5
688,0.0,0.0,0.3
960,0.0,-0.1,0.0
620,0.1,-0.1,2.6
881,0.1,-0.0,0.0
774,-0.0,-0.1,-0.1
921,0.2,0.1,0.5
547,0.4,-0.0,1.0
785,0.8,0.1,2.9
756,-0.0,0.4,0.0
973,0.2,0.0,-0.1
683,0.2,0.0,0.0
624,-0.1,0.1,0.1
646,-0.1,-0.0,5.2
809,-0.1,0.0,0.0
592,-0.0,-0.2,-0.0
999,-0.0,-0.1,0.3
772,0.0,0.0,-0.1
613,0.2,0.1,-0.2
701,0.1,-0.0,0.2
