,x1,x2,x3
719,-0.6555288,-0.22557703,-0.8756997
877,-0.9617981,-2.0715914,-1.616908
644,-0.92347276,-1.3871309,-1.8842499
901,-0.26701438,0.37629566,0.65438664
741,0.18530062,-0.07544338,-0.80367893
690,-0.18933903,0.840595,-1.527188
685,-0.08749791,-0.48582616,0.047277667
550,-0.590641,-0.2734203,-0.7925082
946,0.9189598,-1.3306236,0.7478723
593,-0.59134865,-0.7137691,-0.4763063
813,-1.0924443,-0.48095807,0.0795125
956,0.103110254,-0.17617093,-1.2456876
983,-0.45388618,-0.83138216,-0.67477226
579,-0.57290196,-0.27691713,-0.05010295
575,-1.4725443,-0.61728907,-1.8859766
508,-0.9266283,-1.0418766,0.24295148
976,-0.6566778,-1.1753376,-1.210437
758,0.1622483,-0.21510673,-0.7423486
546,-0.71369076,-2.1050043,-1.245792
766,-0.88809013,-0.8384365,-1.8868216
700,-0.68358785,-1.1969279,-1.2494249
526,-0.652447,-0.6632683,-1.0097911
505,-1.4916602,-4.0169945,-1.8834827
718,0.22476956,-0.9799159,-1.04219
598,-0.8359391,-2.5873046,-1.1289036
612,-0.7110202,-0.09411254,0.23204833
820,0.9572326,-0.6394185,0.6900054
520,-0.6629596,-2.002718,-0.93171144
563,-0.10043414,-1.1550713,0.94236434
778,0.032334328,-1.1742512,-0.7778536
737,-1.1039382,-3.3479483,-1.0675523
709,-0.41136175,-0.09433494,-0.80199516
573,-0.81396824,-3.3508503,-1.6162083
827,-2.0028467,-2.5475566,-1.9101305
860,-0.4843643,-1.2086434,-1.1278098
858,-0.5573237,-1.8719915,-1.0654843
796,-0.9675011,-2.284862,-1.8885614
979,-0.31034788,-1.1173872,-1.9007752
798,-0.5748647,-2.233487,-1.8793699
613,-0.50320405,-1.902974,-1.1746033
549,-0.17734611,-0.88990647,0.08075237
986,-0.5686343,-0.2696395,0.18043756
623,-0.41261503,-1.8931483,-0.81409967
768,-0.779186,-2.5016732,-1.2351847
872,0.15550117,-0.9561717,-0.92419016
570,-0.6396135,-1.1288717,-0.8468319
609,-1.0896417,-2.7400553,-1.066098
930,-0.09587354,-1.2079269,-0.3696874
755,-0.45808384,-0.33540538,-0.6108252
850,-0.52733564,-0.98663014,-1.0147848
885,-0.7171851,-2.1162925,-1.2695714
992,-0.70610225,-1.1288649,-0.9761419
684,0.20337662,-0.079521544,-0.5959993
522,-0.84453696,-2.13924,-1.8896981
577,-0.6422168,-1.1601647,-1.2341623
552,-0.71317494,-1.8754857,-1.6173751
646,0.10763213,-1.1314998,0.12191143
896,-0.69573814,-2.204432,-1.163838
903,-0.6836752,-1.3581078,-1.9117975
512,-0.48263493,-1.1357963,-0.99085456
958,-0.58853805,-0.10775019,-0.55453056
527,0.3993764,-2.2451663,-1.2389222
553,-2.1004233,-1.2830052,-1.8850965
894,-0.7589653,-2.1994364,-1.2173061
955,0.23349899,-0.9144238,0.043964326
973,-0.73153377,-2.024709,-1.0415497
776,-0.68178684,-0.11287425,-0.8015579
994,-0.84963006,-1.2027172,-1.9052594
529,-0.18562216,-0.1531536,0.117147006
662,-0.434037,-0.32772842,-1.0469811
760,-0.55775654,-1.19837,-0.872375
542,-0.68233955,-0.28798,-0.8423079
876,-1.0396823,-2.9412796,-1.1786517
523,-1.0468692,-0.26234686,0.028595757
963,-0.80887085,-0.086034775,0.114157476
567,-0.83449644,0.19531348,0.04320283
658,0.8090848,1.8676326,2.2639985
824,0.498759,-0.32208952,-0.831045
530,-1.026339,0.34641716,-1.1883401
962,-0.4449236,-1.8977509,-1.2763689
547,-0.62977463,-0.9982277,-0.36124557
650,-0.66362643,-2.1537628,-1.8923969
711,-1.0793962,-0.11491132,-1.912585
883,-1.0940773,-2.0433517,-1.8796644
515,0.1361255,-0.42640588,0.046202343
906,-0.5992584,-0.2719916,0.34112275
753,-0.5826722,-0.66361654,-1.0445795
957,-0.8583399,0.89921343,-1.6296291
843,-0.9599581,-2.0035274,-0.8898031
846,-0.7206045,-1.1919916,-1.6169724
765,-2.8564334,-2.236526,-1.8971953
604,0.07223703,-1.1749221,-0.97533756
539,-0.8301326,-0.23947874,0.101250745
893,0.11940842,-0.8010383,-1.0779
607,-0.66284364,-0.30324167,-0.9752514
871,-0.9584584,-1.274171,-1.8865927
710,-0.56652796,-0.16116387,-0.9213841
693,-0.7138771,-0.83947957,-1.0482286
959,0.1406472,-1.1191427,-0.83906233
816,0.114716865,-1.0364794,-0.29487333
