,x1,x2,x3
572,1.9,0.0,1.8
747,0.3,4.0,4.2
602,1.3,0.5,0.0
617,1.1,1.6,-0.0
979,0.2,1.6,1.8
958,1.6,0.0,1.1
774,-0.0,2.5,0.0
588,0.2,1.4,0.0
954,0.1,3.0,3.8
870,0.3,1.8,2.6
761,0.6,2.0,0.0
856,0.2,2.5,3.3
524,1.4,1.3,2.8
931,1.1,-0.0,0.0
735,1.2,-0.0,3.5
768,0.6,0.9,-0.0
972,1.3,0.0,-0.0
606,0.4,2.1,4.2
859,1.4,1.4,2.6
674,1.4,-0.0,-0.0
657,0.1,1.9,-0.0
969,1.0,1.4,-0.0
665,0.2,3.4,3.1
553,0.5,2.2,0.0
968,0.0,2.5,0.0
959,0.7,2.3,3.1
643,0.8,1.5,-0.0
956,0.6,1.3,0.0
742,0.5,2.5,0.0
924,0.6,1.4,-0.0
949,1.0,-0.0,2.8
580,0.7,1.9,2.6
813,0.2,1.6,0.0
857,0.9,1.8,-0.0
745,0.3,2.4,3.0
885,1.5,-0.0,6.0
670,1.5,2.5,4.4
583,0.5,3.6,4.5
805,0.9,1.8,0.0
861,0.6,2.8,2.5
603,0.0,2.8,0.0
880,0.6,3.1,3.6
731,0.9,3.2,3.9
695,0.7,0.7,1.4
928,0.8,2.1,-0.0
746,0.6,1.9,0.0
623,2.0,0.0,2.5
844,1.4,0.0,0.0
825,0.2,2.1,0.0
619,1.4,0.0,0.0
792,0.0,2.0,-0.0
822,1.0,2.0,0.0
556,-0.0,1.5,-0.0
942,0.7,2.4,3.1
973,1.0,2.2,0.0
860,0.4,2.4,0.0
952,0.2,3.1,4.6
741,1.3,2.6,4.3
765,0.5,1.4,0.0
984,0.5,2.5,2.5
552,0.0,1.4,1.8
989,1.5,0.0,3.3
900,0.0,2.1,-0.0
655,0.6,1.8,2.6
749,0.7,1.4,0.0
910,1.2,2.8,2.8
951,0.4,2.6,0.0
676,0.7,1.5,0.0
790,1.5,1.3,-0.0
852,0.7,2.1,1.3
830,0.1,0.0,3.3
895,1.4,0.0,2.7
985,0.0,2.9,3.9
565,0.1,1.8,1.8
637,0.5,3.4,4.2
698,0.6,2.6,-0.0
785,0.6,1.3,0.0
936,0.9,1.4,0.0
877,1.8,2.8,4.6
760,0.6,1.6,-0.0
783,0.7,1.9,0.0
927,0.8,-0.0,3.0
846,0.5,1.3,2.3
987,0.4,1.1,0.0
947,0.7,0.5,0.0
700,0.9,1.1,0.0
656,0.1,2.6,3.6
966,0.6,0.0,3.6
671,0.1,1.7,2.1
548,0.8,0.0,-0.0
811,0.0,2.1,-0.0
839,1.1,2.7,4.1
752,1.0,1.6,3.2
775,2.2,0.0,3.8
523,0.6,0.9,0.0
530,0.6,2.4,0.0
988,0.3,3.3,-0.0
874,0.2,1.5,0.0
780,1.1,4.2,2.3
538,1.7,2.0,3.6
