ix,goal_cost,intv_cost
985,0.958,3.0
746,1.0,1.3
726,0.98,0.7
661,1.0,0.4
951,1.0,3.1
635,1.0,1.7000000000000002
625,1.0,1.2
601,1.0,3.0
727,1.0,3.9000000000000004
597,1.0,3.5999999999999996
619,1.0,2.5
644,0.956,2.5
900,1.0,1.6
692,1.0,1.6
957,1.0,2.0
844,1.0,3.9
762,0.974,0.6
631,1.0,1.3
678,1.0,1.2999999999999998
778,0.952,2.7
806,1.0,3.1
960,1.0,7.1
735,0.998,0.7
959,1.0,7.6
870,1.0,3.8
827,1.0,0.9
731,1.0,1.6
977,1.0,1.7
914,0.98,1.5
890,1.0,4.0
887,0.984,2.8
991,0.988,1.8
718,0.986,1.2
662,0.992,1.1
536,1.0,2.0
652,1.0,4.3
761,1.0,1.8
771,1.0,2.5
809,1.0,0.8999999999999999
728,1.0,3.0
743,1.0,1.3
954,1.0,1.7
897,1.0,4.300000000000001
792,1.0,6.2
643,1.0,0.30000000000000004
757,1.0,1.5
798,1.0,2.7
579,1.0,0.8
859,1.0,1.4
552,1.0,1.7999999999999998
620,1.0,3.8
676,1.0,2.6
646,0.992,2.4
599,1.0,4.5
518,1.0,3.5
737,1.0,1.4
993,1.0,1.4
868,1.0,1.9
940,1.0,2.4000000000000004
730,1.0,6.3
825,1.0,0.1
522,1.0,4.0
948,1.0,2.2
668,1.0,6.0
657,1.0,8.4
709,1.0,3.8
998,1.0,2.4
693,1.0,5.8
550,1.0,0.30000000000000004
523,1.0,2.0
978,1.0,3.6
641,0.96,4.7
754,1.0,0.1
711,1.0,0.7999999999999999
613,1.0,6.4
695,1.0,0.1
902,1.0,4.1
674,1.0,4.2
849,1.0,1.4000000000000001
814,1.0,1.5
567,1.0,3.8
749,1.0,0.4
607,0.988,1.2
834,1.0,2.2
509,1.0,3.0
585,1.0,3.4
588,1.0,0.9
935,1.0,1.3
882,1.0,3.8
616,1.0,7.300000000000001
639,1.0,6.4
867,1.0,1.3
973,1.0,3.5999999999999996
524,1.0,3.5
892,1.0,1.4
621,1.0,0.5
920,1.0,6.2
602,1.0,0.8999999999999999
650,0.99,0.8
707,1.0,1.1
