,x1,x2,x3
659,0.0,-0.0,3.1
677,0.0,-0.0,1.2
941,1.2,0.0,3.4
501,0.9,0.3,3.8
547,0.0,0.6,0.5
523,-0.0,0.3,1.4
729,1.2,-0.0,2.3
857,0.0,0.1,0.1
894,0.0,-0.0,1.0
778,0.8,0.3,3.2
562,1.5,0.2,5.0
847,0.0,0.1,0.5
850,0.8,-0.0,1.9
861,0.0,0.5,7.7
881,0.3,0.3,1.4
775,0.2,0.0,1.2
686,0.6,0.2,2.1
500,0.6,0.1,1.5
948,1.2,1.9,5.1
915,0.0,0.0,0.6
946,0.1,0.0,1.2
702,1.3,0.4,4.5
756,1.8,0.0,2.6
569,0.2,0.0,1.0
822,0.0,0.1,1.0
844,0.8,0.1,1.6
530,0.7,0.1,4.3
933,-0.0,0.2,5.7
544,0.2,0.2,1.3
826,0.0,0.1,0.9
886,0.1,-0.0,0.2
715,0.0,0.3,0.7
565,0.0,0.1,1.7
713,0.5,0.1,0.0
987,0.2,0.2,0.9
789,1.5,-0.1,3.0
815,0.2,1.2,2.6
627,0.0,0.0,0.6
935,0.3,-0.0,2.8
606,-0.1,-0.2,2.9
734,0.4,-0.0,3.9
947,1.3,0.0,0.7
699,0.0,0.1,0.3
944,0.6,-0.0,1.2
513,-0.0,0.1,0.7
685,-0.0,-0.1,1.3
679,0.4,0.5,1.0
701,0.5,0.0,1.8
817,1.9,0.8,5.5
597,-0.0,-0.0,1.3
610,1.0,-0.1,4.4
875,0.3,0.1,0.3
681,0.0,0.0,0.6
696,0.7,-0.0,3.4
538,2.2,0.9,3.1
998,0.1,0.1,0.3
733,-0.0,-0.0,1.6
926,0.4,-0.0,1.0
871,0.4,0.7,1.4
548,0.2,0.0,0.0
928,0.8,-0.2,4.7
655,0.8,0.3,2.5
514,0.1,0.2,1.4
753,-0.1,0.1,0.2
660,0.4,0.2,1.7
640,0.9,0.0,1.3
663,0.8,0.0,2.2
564,0.7,-0.0,0.4
748,0.8,0.4,7.4
560,0.0,0.0,2.5
820,1.6,1.1,3.2
917,0.7,0.0,3.2
943,0.5,0.2,1.3
567,-0.0,-0.1,1.3
605,0.2,-0.1,0.6
772,0.0,0.0,5.5
570,0.4,0.5,5.5
792,0.7,0.1,3.2
604,0.5,0.1,1.5
697,1.3,-0.1,1.4
504,0.7,-0.0,0.6
623,1.1,-0.0,2.3
723,0.1,-0.1,1.7
718,0.7,0.8,3.1
529,0.2,-0.0,0.7
784,1.8,1.2,4.9
577,-0.0,1.0,5.1
638,0.4,0.3,4.1
515,1.4,0.7,1.8
982,0.4,0.0,0.3
877,-0.1,0.1,4.1
855,0.3,0.2,1.3
898,0.4,-0.1,2.9
757,0.3,0.3,1.7
813,0.1,0.2,2.2
533,0.4,-0.0,1.7
539,0.4,-0.1,0.5
617,0.0,0.2,3.2
959,-0.0,-0.0,0.4
901,0.1,-0.0,0.4
