,x1,x2,x3
985,-0.6385482,2.2774649,1.6131829
746,0.29428464,1.1552882,1.5163392
726,0.59806705,0.94593126,1.431369
661,0.9272244,0.21937656,2.2234094
951,0.24588421,1.4355811,1.5109266
635,0.8623958,1.668285,0.5641991
625,0.25731036,0.8195022,1.7132422
601,1.3480473,1.8395619,-0.051101923
727,0.44335067,1.1173006,1.6197248
597,0.80000746,0.71979785,1.3194488
619,0.1909835,1.2868391,1.7118951
644,0.34251878,1.3136127,1.6423472
900,0.3744481,0.8474395,1.7415745
692,1.0299398,0.7157809,1.679009
957,0.56738275,0.8532303,1.5196502
844,0.40452358,0.8961314,1.4452
762,0.71247315,0.7214886,1.4803572
631,0.3959396,1.6294522,0.8701231
678,0.44171154,1.1933048,1.8573642
778,0.51156604,1.1966221,1.6050767
806,0.5913723,1.1102904,1.3510296
960,-0.5252925,1.5751344,1.7295005
735,0.67164695,0.80694044,1.6156301
959,0.48787183,0.9975519,1.4095105
870,0.57103014,1.222278,1.7172974
827,0.3451609,1.322362,1.7770622
731,0.67852515,1.0495347,1.8216064
977,0.41451958,1.0390923,1.5527095
914,0.27377254,0.91148525,1.7741662
890,0.2789115,1.0393523,1.5691445
887,0.6769545,0.7019238,1.5444576
991,0.17293759,1.4729441,1.7872543
718,0.46373546,1.5840042,1.8912196
662,0.2803665,1.0661925,1.441584
536,0.39203498,1.2184961,1.4777603
652,0.6031384,0.7784854,1.4365722
761,0.74214536,0.7308675,1.5849363
771,0.45163524,0.95826256,1.5145103
809,0.546859,1.3453811,1.8994392
728,0.32915992,1.2645048,1.4634308
743,0.64790505,1.150527,1.938009
954,0.73293465,0.89211047,1.589592
897,0.56595975,1.0122567,1.3643222
792,0.33473468,1.1432996,1.4424132
643,0.7010618,0.81618476,1.473119
757,0.49209726,1.0799378,1.5512193
798,0.6422905,1.9392887,0.32630616
579,0.5519735,0.934346,1.6416739
859,0.31279975,1.1450336,1.5261292
552,0.42336354,0.80312467,1.8181983
620,0.19785336,1.2925996,1.3965545
676,0.35004908,0.89617777,1.7205441
646,0.70040923,1.3986516,0.7617161
599,0.50436366,1.2326813,1.5289801
518,0.62079203,0.6560896,1.7513044
737,0.28782916,1.1349066,1.3922148
993,0.6506189,1.0629501,1.4347527
868,0.57543814,1.7531073,0.6933568
940,1.0167539,1.0608642,1.4712673
730,0.8517625,0.7400689,1.4422569
825,0.50008076,0.8017105,1.6216474
522,0.12372868,1.2840809,1.6056557
948,0.52911955,0.9563927,1.4374292
668,0.61089224,1.0077745,1.4817684
657,1.0105819,1.3228879,2.2804046
709,0.4226886,1.1209636,1.6391312
998,0.4284343,1.0816094,1.6057593
693,0.15042421,1.2797959,1.5535301
550,0.6324553,0.831458,1.4502689
523,1.2948923,1.2345517,0.6943468
978,0.52014923,1.0075479,1.357901
641,0.50870836,1.1432431,1.6274378
754,0.43659264,1.5081763,1.120962
711,0.50595975,0.6883894,1.6686809
613,0.70649135,0.7875765,1.7063859
695,0.93658566,0.56797785,1.463124
902,0.5677423,1.0690777,1.5626986
674,0.16462176,0.901705,1.7676337
849,0.3903187,0.95746654,1.7597779
814,0.13948973,1.3080621,1.3991653
567,0.19238608,1.609653,1.8086681
749,0.4022016,1.3692783,1.7565352
607,0.4582162,1.1237427,1.445967
834,0.20419386,1.1660502,1.3959379
509,0.48547554,0.96244156,1.4530501
585,0.7540171,0.81993055,1.515662
588,0.17209741,1.291219,1.5008745
935,0.9168772,0.83710253,1.7429595
882,0.8295212,0.7448056,1.4124637
616,0.5119154,1.0831747,1.4721107
639,0.5626969,0.85266054,1.6484892
867,0.3653822,1.1047053,1.5376681
973,0.72774374,1.1360675,1.2644091
524,0.3081584,1.2129507,1.5472778
892,1.4017863,2.2063613,-0.6072888
621,0.3806934,1.3135177,1.6397706
920,0.55872685,0.986109,1.5198405
602,0.15818372,1.4142698,1.4943705
650,0.2518572,1.210308,1.5182563
707,0.5703407,0.7527542,1.7903274
