,x1,x2,x3
743,0.2,0.1,2.8
900,-0.0,1.4,2.5
897,0.0,0.0,0.2
728,0.0,0.5,1.2
585,0.1,0.7,3.4
674,0.1,-0.0,1.0
791,0.2,0.0,1.9
568,0.0,0.1,0.6
926,0.5,-0.0,0.4
709,-0.1,0.1,1.9
803,0.1,1.4,4.0
571,-0.0,0.7,1.5
982,-0.0,0.2,0.1
692,0.0,0.0,0.1
521,0.0,0.0,0.6
820,-0.1,0.1,0.9
945,0.0,0.5,0.9
842,0.0,0.3,0.8
721,0.4,0.0,2.0
966,0.0,0.5,0.2
675,-0.0,0.4,1.6
971,0.0,0.8,0.0
836,0.5,-0.0,-0.0
936,0.5,0.0,-0.0
848,0.1,1.7,0.0
623,0.0,0.3,1.9
563,0.2,-0.0,0.0
506,-0.1,0.3,2.1
576,-0.0,0.3,0.6
911,0.0,0.0,1.3
965,1.4,-0.0,0.0
934,0.1,2.1,0.0
867,0.0,0.2,1.2
990,0.5,0.0,0.0
869,-0.0,-0.0,0.2
880,0.1,0.8,-0.0
744,0.0,0.0,2.1
953,0.0,0.8,-0.0
950,0.1,0.2,1.0
718,0.6,1.1,0.0
655,0.1,0.8,0.0
809,-0.0,0.2,1.6
519,0.0,0.0,1.1
981,0.0,0.1,1.9
822,0.0,0.5,0.5
943,0.0,0.4,-0.0
817,-0.1,0.2,2.8
532,0.1,0.8,2.2
669,0.1,0.2,1.3
602,0.4,1.1,0.0
998,0.0,0.1,-0.0
850,0.0,0.9,0.0
701,0.1,0.1,0.4
935,0.0,1.0,0.0
579,-0.0,0.1,0.1
927,0.2,0.5,1.3
716,0.0,0.2,1.6
854,0.5,0.0,0.0
808,-0.0,0.0,0.1
684,0.0,0.0,0.2
615,0.1,0.6,4.7
758,0.2,-0.0,1.9
512,0.0,0.4,2.2
696,0.1,-0.0,0.7
895,0.0,0.6,-0.0
510,-0.1,2.3,5.7
989,0.1,-0.0,1.1
914,-0.1,1.2,3.2
826,-0.0,0.0,1.2
633,0.1,1.0,2.5
597,0.0,0.7,1.0
702,0.3,0.2,0.9
944,0.0,-0.0,0.2
798,-0.0,0.3,0.6
952,0.0,0.7,2.2
821,0.0,0.6,3.4
686,0.0,0.9,2.0
606,0.0,0.0,0.5
517,0.0,1.0,-0.0
648,-0.0,0.7,2.1
871,1.1,-0.0,0.0
649,0.7,0.2,0.0
639,-0.0,0.2,0.7
889,-0.1,0.1,0.5
564,0.3,0.8,2.5
819,-0.1,0.6,2.2
662,-0.0,-0.0,1.4
664,0.0,0.5,0.6
785,0.9,0.7,0.0
647,0.1,1.3,1.9
846,-0.1,0.6,0.8
657,0.5,0.0,1.8
855,0.0,0.6,0.7
883,0.2,-0.0,-0.0
668,0.6,0.0,0.0
570,0.2,-0.0,0.9
992,-0.0,0.1,-0.0
928,0.2,0.0,1.4
620,-0.1,0.4,2.0
550,0.0,0.1,1.3
