ix,goal_cost,intv_cost
661,1.0,1.0
679,1.0,1.7
941,1.0,4.6
501,1.0,5.0
549,1.0,0.9
526,1.0,0.6000000000000001
731,1.0,2.8
857,1.0,0.2
894,1.0,0.7
780,1.0,5.800000000000001
564,1.0,0.9
849,1.0,0.1
850,1.0,3.0
861,1.0,7.8
881,1.0,1.9000000000000001
776,1.0,1.1
688,1.0,2.0
500,1.0,1.9
948,1.0,6.300000000000001
915,1.0,0.6
946,1.0,1.5
708,1.0,7.2
757,1.0,2.0
572,1.0,0.8
824,1.0,3.1
845,1.0,2.1
532,1.0,0.8
933,1.0,4.9
546,1.0,1.0
828,1.0,0.2
886,1.0,0.3
722,1.0,3.6999999999999997
567,1.0,1.2
718,1.0,4.2
987,1.0,1.0
792,1.0,3.5999999999999996
817,1.0,8.8
629,1.0,5.8999999999999995
935,1.0,3.4
610,1.0,5.0
737,1.0,4.3
947,1.0,1.5
702,1.0,5.4
944,1.0,1.9
514,1.0,1.6
687,1.0,0.7
683,1.0,4.0
707,1.0,5.3
820,1.0,5.1
604,1.0,2.2
614,1.0,2.2
875,1.0,0.8
685,1.0,1.2
699,1.0,0.30000000000000004
539,1.0,1.0
998,1.0,1.0
734,1.0,4.800000000000001
926,1.0,1.5
871,1.0,1.8
551,1.0,1.3
928,1.0,4.6
659,1.0,3.6
515,1.0,3.3
756,1.0,4.800000000000001
663,1.0,2.9
643,1.0,0.9
665,1.0,1.9
566,1.0,0.4
749,1.0,2.0
563,1.0,0.4
821,1.0,1.7
917,1.0,3.8
943,1.0,2.1
569,1.0,1.0
609,1.0,1.6
774,1.0,0.1
574,1.0,3.1
794,1.0,4.4
606,1.0,3.0
701,1.0,2.3
504,1.0,1.1
627,1.0,0.7
726,1.0,1.7000000000000002
723,1.0,2.1
530,1.0,5.3
785,1.0,0.4
583,1.0,3.9
640,1.0,2.0
523,1.0,1.6
982,1.0,0.5
877,1.0,4.1
855,1.0,2.1
898,1.0,3.1
759,1.0,5.8999999999999995
815,1.0,3.5
534,1.0,3.0
544,1.0,1.6
621,1.0,3.0
959,1.0,0.4
901,1.0,0.30000000000000004
