,x1,x2,x3
904,1.0,-0.0,-0.0
767,0.9,1.4,3.6
862,1.0,0.0,0.0
654,1.1,0.0,1.6
630,2.1,3.1,6.5
793,0.8,2.6,3.6
646,1.4,3.5,4.7
782,0.2,1.4,-0.0
577,1.6,1.0,-0.0
965,2.2,3.0,5.3
642,2.3,4.6,3.8
985,1.2,0.0,1.6
865,1.2,1.8,-0.0
624,1.5,0.9,4.2
547,0.9,2.3,3.6
966,1.8,-0.0,0.0
834,2.6,3.3,0.0
696,0.2,2.2,0.0
713,0.2,1.9,2.2
585,0.9,0.9,1.9
592,1.0,4.2,5.2
874,1.4,1.9,0.0
843,0.7,2.4,0.0
952,0.0,1.5,0.0
542,0.1,1.9,2.3
877,0.8,1.3,2.8
940,0.2,2.2,-0.0
614,2.4,0.0,-0.1
640,0.4,2.1,0.0
907,1.9,-0.0,-0.0
687,1.2,0.0,0.0
855,1.9,1.0,-0.0
680,1.0,3.1,5.1
615,0.9,1.1,2.6
796,0.9,1.4,0.0
601,1.4,1.8,2.6
983,2.3,1.8,0.6
987,0.9,2.3,3.4
675,1.9,0.0,1.8
570,1.7,2.4,4.7
765,1.0,2.1,3.7
799,0.8,3.1,4.2
746,1.8,-0.0,0.8
892,2.3,1.9,3.3
530,0.4,1.8,1.8
711,2.8,2.5,3.8
645,0.7,1.5,-0.0
581,1.1,1.5,2.6
947,2.1,2.3,0.0
996,0.8,1.8,-0.0
995,0.0,2.1,2.5
567,2.9,-0.0,-0.2
881,0.9,2.1,-0.0
749,1.3,2.0,3.1
657,1.9,1.8,3.8
552,0.3,3.0,3.6
760,1.4,2.1,3.6
821,3.0,3.3,6.2
732,2.1,1.7,3.6
788,0.8,1.4,2.3
916,0.2,1.5,-0.0
510,0.8,2.1,4.2
991,0.3,1.4,2.1
928,1.9,-0.0,0.3
896,1.5,0.0,-0.0
802,1.6,0.0,0.0
550,1.6,0.0,0.0
814,1.0,0.8,2.1
717,1.6,3.1,4.6
873,0.2,2.1,2.7
954,0.9,-0.0,-0.0
715,1.4,0.8,0.0
759,2.0,2.3,4.5
899,1.3,0.0,1.3
603,1.0,0.0,0.0
912,0.7,2.0,3.1
925,1.3,0.0,0.0
977,1.3,2.0,3.3
871,1.4,-0.0,1.9
590,0.8,1.6,0.0
662,0.9,1.3,2.3
776,0.6,2.3,4.0
921,1.4,0.0,-0.0
929,1.5,2.1,3.5
856,0.0,2.3,2.3
611,2.6,2.0,3.6
517,3.1,2.8,6.0
993,2.5,3.3,-0.0
772,0.6,3.2,3.6
868,2.0,-0.0,1.9
534,1.8,0.0,2.3
571,1.4,1.0,2.5
850,2.1,2.8,4.7
625,0.4,1.3,-0.0
660,0.2,1.0,1.8
500,1.4,4.1,6.2
519,1.4,2.3,3.6
565,2.0,-0.0,1.8
739,1.8,0.0,-0.0
779,0.1,-0.0,4.3
