,x1,x2,x3
674,-0.8845816,0.63385266,-0.06064994
587,0.34462085,-0.67158675,0.5555539
589,-0.27409,-0.15048139,0.3089857
642,-0.22174814,-0.068770096,0.18734193
724,-0.78396297,-0.42139035,0.58214724
721,-0.46499294,0.040881217,0.1911736
770,0.098828584,-0.60136425,0.5842463
948,-0.09765022,-0.55545807,0.42363614
686,-0.30225003,-0.047734,0.5817182
508,-0.17253505,0.012216672,0.41902792
631,-0.31472024,-0.19497833,0.4301433
921,-0.60283035,0.66339725,-0.2134898
985,-0.4777961,-0.17549482,0.61082155
894,-0.29190156,-0.63237274,0.59465736
718,0.52385503,-0.48083037,0.31325912
585,-0.5943445,-0.12190425,0.29454038
783,-0.74238205,0.19471878,0.18640631
745,-0.5444606,-0.11794275,0.4771676
609,-0.6434044,-0.4938179,0.5860162
842,-0.17315328,0.6032701,0.47179788
843,-0.87494504,-0.41851443,0.5908348
598,-0.8686249,-0.81999034,0.93009186
862,0.06789569,-1.2549506,0.8939744
916,0.09123408,-1.4762255,1.081542
979,0.2517551,-0.6552841,0.3721168
546,-0.3885759,-0.47988942,0.52449304
771,-0.9810532,-0.088550806,0.49132037
619,-1.2091991,-0.16014771,0.5940889
728,-0.54686224,0.1989757,0.1265918
856,-0.48404852,-0.4539238,0.4677916
547,-0.35184515,-0.52029824,0.50837904
937,-0.5437966,0.20164053,0.11850846
596,0.4090671,-0.30249053,0.11890967
590,-0.4406114,0.29053786,0.0014356613
522,0.8313216,-0.36338142,0.19378717
583,0.29535577,0.25186837,0.8232304
502,-1.2733294,-1.7669016,1.8020527
656,-1.2475861,-1.6096498,1.7124981
957,-1.050034,0.50751925,0.508862
901,-0.6925655,-0.14925545,0.43958163
580,0.12896836,-0.64410305,0.42492872
538,-0.6546917,1.2392329,0.046962976
736,0.7536429,0.19967616,-0.41662508
715,-1.0062729,0.60521686,0.120673835
767,-0.29042444,-1.2290952,1.0002711
612,-0.332756,-0.1158484,0.19963998
579,-0.4713516,0.02463327,0.24896967
632,-0.25745493,-0.10724983,0.19820783
602,-1.2748407,0.15780571,0.385632
653,-0.48797613,0.5478084,-0.25308937
999,-0.68276215,0.887467,-0.38012767
755,-0.9241054,-1.301427,1.3016648
983,-0.5419936,-0.11948953,0.26666227
955,0.24658938,-0.3013335,0.095292255
704,-0.4946612,-0.46273726,0.52533567
828,-0.52569294,0.853128,0.056126416
777,0.5275039,-0.5279737,0.31180465
864,0.41595283,-0.17164817,0.076141454
746,-0.5754801,0.27436483,-0.005898893
852,-0.30161086,-0.4448787,0.51109576
977,0.70073646,-0.34846702,-0.014156228
858,0.043564178,-0.17110376,0.0633823
786,-0.72153157,-1.7561028,1.5787784
766,-0.023251211,0.02640246,-0.015439153
663,-0.65755445,-0.22147846,0.3716349
527,-0.24190699,-0.48644966,0.40890026
807,-0.43420088,0.15790501,0.106720775
776,-0.5291969,-0.26028433,0.43905678
628,-0.45545122,-0.02179032,0.2668114
936,0.009112215,-1.2693603,0.9658949
623,0.5086534,-0.6718799,0.3840512
702,0.53935635,-0.907596,0.4912208
621,-1.2376564,-2.0520077,2.1737888
832,0.10464843,-0.4072661,0.26415944
830,0.24428943,-0.5192404,0.25671908
944,-0.4330095,-0.83273137,0.82719
743,-0.69490916,-1.4913723,1.4339783
604,-0.33803943,-0.48519856,0.47724503
540,0.6277267,-0.59135103,0.19392851
509,-0.5571892,-0.25770536,0.44039765
854,0.43670928,-0.84577256,0.44402242
954,-0.44023925,-0.62928224,0.61500406
613,-1.1514987,-0.5512685,0.85783887
904,-0.22653653,-0.24126223,0.30047804
650,-0.5108563,-1.9009926,1.6357939
896,0.2632396,-0.6454543,0.33702135
707,0.28676352,0.13678399,0.16811848
622,-1.2954392,-1.4796886,1.6476023
953,-0.51535094,-0.02653792,0.26174742
823,-1.2449601,-1.1886799,1.3711224
744,0.051847637,-0.4967112,0.8001194
731,0.013681489,-0.41414985,0.26814523
919,-0.4055949,0.08575016,0.10533927
975,-0.018931622,-0.51551366,0.40389022
524,-0.7567638,-0.4237207,0.5631968
951,-0.39488128,-0.5069331,0.48773584
760,0.00032985062,0.15971634,-0.15924807
941,0.4373365,-0.8737455,0.553362
816,-1.2867787,-2.1379747,2.328427
886,-0.25760552,-0.70404696,0.5640659
