,x1,x2,x3
572,1.6,2.5,4.1
735,1.4,0.6,2.8
836,1.2,1.5,2.9
812,2.3,2.5,4.9
540,1.7,-0.0,2.7
928,2.1,1.5,3.8
817,0.9,0.6,2.0
687,1.8,0.1,3.9
586,1.1,1.1,2.5
741,2.6,2.2,5.0
558,1.4,1.3,0.0
899,2.1,3.7,5.7
910,1.4,1.5,-0.0
716,0.8,0.9,2.0
945,1.5,0.7,-0.0
788,0.8,1.2,0.0
538,0.9,0.8,2.1
640,1.9,0.0,0.0
745,0.8,2.0,3.1
559,2.1,0.0,0.4
638,1.3,0.6,0.0
834,1.2,1.0,2.7
985,1.4,0.9,2.1
630,0.6,1.1,2.1
864,1.3,3.0,-0.0
990,0.9,1.5,0.0
633,1.8,1.7,0.0
679,1.8,1.8,-0.0
806,0.3,2.0,0.0
793,0.1,2.0,0.0
930,0.8,1.1,0.0
634,1.4,1.8,-0.0
750,2.2,1.9,3.9
744,1.9,-0.0,3.9
578,1.4,0.9,2.3
715,2.7,0.0,0.0
706,1.8,0.9,0.0
625,0.6,1.2,-0.0
782,0.9,2.2,0.0
718,1.2,1.1,2.1
714,1.5,1.3,2.9
865,3.2,2.7,1.7
543,4.0,0.0,0.5
956,1.8,0.3,0.0
922,2.4,1.8,0.0
844,1.9,2.4,3.5
653,1.3,0.8,1.9
681,2.7,2.0,3.3
869,3.3,0.1,-0.0
868,2.2,2.8,5.1
976,2.0,0.7,2.8
963,2.5,-0.0,3.7
571,3.0,1.8,4.7
919,1.3,2.1,3.8
675,1.2,1.1,-0.0
683,1.1,0.9,2.3
896,0.8,1.0,2.1
579,1.3,1.7,3.8
582,4.5,2.5,4.5
820,2.0,2.2,-0.0
852,2.6,0.0,5.0
825,1.5,1.5,3.1
519,1.3,2.0,3.3
698,1.7,0.8,-0.0
518,3.3,3.1,0.0
897,2.1,-0.0,4.8
655,1.7,1.1,3.0
873,2.1,1.6,1.2
902,1.7,2.5,4.2
846,1.3,0.0,1.9
831,1.3,1.4,0.0
671,2.3,1.9,4.1
954,1.8,2.4,4.7
732,1.0,1.4,-0.0
754,1.9,1.4,3.7
955,1.5,2.0,0.0
534,1.4,1.6,3.1
664,0.9,1.2,2.4
791,1.3,1.3,1.6
654,1.5,1.4,3.1
618,1.5,0.8,-0.0
658,2.1,2.1,-0.0
828,1.8,2.1,4.0
676,1.2,1.2,2.4
657,1.7,2.3,3.8
760,3.1,3.2,0.0
841,1.3,0.4,2.2
623,3.1,0.0,0.0
888,2.1,0.0,3.2
609,3.2,2.9,6.5
837,0.6,2.5,2.9
647,1.8,2.5,0.0
711,2.4,0.0,0.0
995,1.3,2.4,0.0
810,2.1,2.6,4.7
738,1.0,2.0,3.0
746,1.6,1.8,3.3
697,1.9,0.0,0.0
512,1.4,1.6,0.0
829,1.7,2.5,5.0
