,x1,x2,x3
1752,0.16749004,0.33498007,0.49921915
1025,0.13578668,0.37157336,0.53093874
1333,0.022196006,0.44439203,0.54880756
1839,0.18461265,0.3692253,0.5422992
1118,-0.08680321,-0.27360642,1.3509101
1107,0.19785067,0.29570135,0.5633371
1451,0.20339023,-0.39321953,0.5505097
1804,-0.5456727,-1.0913454,2.6984146
1748,0.118641034,-0.06271793,0.037787206
1788,0.15385349,-0.39229304,-0.2930542
1263,0.44958395,0.7991679,-0.18628979
1380,0.21118319,0.3223664,0.5046679
1376,0.0904633,0.080926605,0.17043623
1305,0.12883502,0.057670042,0.17938857
1661,0.06959362,0.33918723,0.59574
1978,-0.65492797,-1.409856,3.0697234
1846,-0.20563379,0.48873243,0.7525352
1791,0.23034756,1.4606951,-0.6659225
1890,0.1554421,0.3108842,0.54187053
1697,0.15212171,0.30424342,0.5415772
1276,0.16937652,0.33875304,0.4850672
1613,0.1282598,0.35651958,0.52760535
1253,0.12710023,-0.14579955,0.35401064
1016,0.13141981,0.3628396,0.51740134
1759,0.18652916,-0.12694168,0.028240394
1538,0.031885825,-0.03622835,0.38884604
1980,0.12925765,0.3585153,0.5106987
1357,0.013570333,0.8271407,0.202068
1260,0.11447419,0.8289484,0.12486996
1379,0.13426656,-0.7314669,0.11622624
1744,0.120958015,0.34191602,0.54496974
1862,0.15534228,-0.68931544,-0.61843896
1234,0.2843254,0.5686508,0.14140853
1767,0.3552684,0.01053679,0.33133203
1541,0.14514096,0.39028192,0.519937
1671,0.18065938,0.36131877,0.47004405
1917,0.48204044,-0.93591917,1.5043253
1525,0.1328797,0.3657594,0.47192708
1942,1.157514,0.515028,-1.8917065
1184,0.21413456,-0.2717309,-0.10618289
1100,0.14326845,-0.5134631,0.26413232
1885,-0.109000474,0.681999,0.5620985
1336,-0.1244535,1.651093,-0.51580584
1876,-0.036773216,-0.8735464,0.506003
1952,-0.04077506,0.41844988,0.6235973
1478,0.1248083,0.3496166,0.5069057
1359,0.24202612,-0.01594776,0.80028105
1673,-0.015682453,0.3686351,0.64138436
1675,-0.20126393,0.59747213,0.6160819
1792,0.17518069,0.35036138,0.47306016
1023,0.20212246,-0.2957551,-0.14342038
1603,0.21100417,0.3220083,0.5141129
1493,0.17320521,0.34641042,0.4669363
1004,0.19212477,0.18424954,0.37558678
1431,0.21957842,0.039156843,0.77069306
1537,-0.050170828,0.39965835,0.6244704
1761,0.1719149,-1.2561702,-1.2270638
1351,0.1459508,0.39190158,0.4524475
1304,0.20333132,0.30666265,0.47032708
1496,0.1571449,0.3142898,0.53714913
1790,0.4340574,-0.7318852,1.355578
1148,0.47365105,-0.95269793,1.5383183
1220,0.12428403,0.34856805,0.45528048
1257,0.7055913,1.3111826,-1.0226672
1335,0.16509958,0.33019915,0.54180896
1554,0.2348017,-0.23039661,-0.04211475
1097,-0.06744035,-0.7348807,0.53093493
1454,0.17311248,0.24622497,0.62664866
1436,0.15728864,-0.18542272,-0.062405214
1127,0.29447255,-0.3110549,1.0528653
1491,0.15323472,-0.19353056,0.3250276
1028,-0.18515661,0.42968675,0.78601456
1676,0.13009925,0.3601985,0.48330766
1668,0.16894072,0.03788145,0.19371624
1171,0.119859315,0.33971864,0.5115639
1104,0.48495373,0.36990747,0.1933566
1068,-0.17624018,0.44751963,0.7636553
1802,0.28251117,0.56502235,0.14578466
1113,0.14899424,0.3979885,0.5018821
1444,-0.044469483,-0.18893898,0.75214463
1038,0.21604104,0.4320821,0.39972734
1938,0.13606095,0.37212193,0.46178904
1211,-0.007828593,-0.015657187,1.1757314
1041,-1.4220493,0.9559015,1.5116476
1421,0.8955078,0.59101564,-1.0439258
1390,0.21726593,-0.16546813,0.31352437
1344,0.16139144,0.32278287,0.54031336
1468,0.29353234,0.28706467,0.4199503
1223,-0.5826854,0.33462912,1.2836751
1730,0.3910475,-1.217905,1.8722475
1954,-0.07976652,-0.25953305,0.54272383
1925,0.18925464,0.2785093,0.5366894
1632,0.19488835,0.3897767,0.46415386
1238,0.19602674,0.2920535,0.5576829
1365,0.19530222,0.29060444,0.49543697
1636,-0.16306429,-0.22612858,1.4245008
1231,0.1943317,-0.11133659,0.052428287
1567,0.19958937,0.29917875,0.56872714
1340,0.15487863,0.30975726,0.5101238
1863,0.1445457,0.3890914,0.50809157
