ix,goal_cost,intv_cost
1752,0.956,0.8
1025,0.955,7.699999999999999
1333,0.954,10.2
1839,0.952,3.9000000000000004
1118,0.953,8.4
1107,0.954,2.5
1451,0.955,6.699999999999999
1804,0.955,7.0
1748,0.96,1.1
1788,0.972,1.7
1263,0.952,11.2
1380,0.957,5.000000000000001
1376,0.961,0.8
1305,0.955,0.9
1661,0.954,16.0
1978,0.954,13.100000000000001
1846,0.955,17.1
1791,0.953,6.5
1890,0.956,4.7
1697,0.953,10.0
1276,0.953,10.5
1613,0.953,4.9
1253,0.953,4.8
1016,0.953,7.7
1759,0.951,2.5
1538,0.957,0.9
1980,0.953,7.699999999999999
1357,0.955,5.5
1260,0.953,4.3
1379,0.954,8.3
1744,0.954,5.1
1862,0.982,2.3
1234,0.957,7.7
1767,0.953,1.3
1541,0.954,2.1
1671,0.953,3.7
1917,0.955,11.7
1525,0.956,1.2
1942,0.952,6.9
1184,0.984,1.8
1100,0.982,2.0
1885,0.953,3.2
1336,0.954,11.7
1876,0.967,4.2
1952,0.961,3.3000000000000003
1478,0.952,7.1
1359,0.963,4.1
1673,0.955,2.0
1675,0.954,14.0
1792,0.961,3.2
1023,0.954,6.1
1603,0.961,5.199999999999999
1493,0.953,12.3
1004,0.954,2.9000000000000004
1431,0.954,8.399999999999999
1537,0.975,1.3
1761,0.957,11.8
1351,0.953,8.2
1304,0.953,5.5
1496,0.975,5.9
1790,0.953,5.9
1148,0.969,2.1
1220,0.952,4.2
1257,0.957,2.9
1335,0.955,18.5
1554,0.953,4.9
1097,0.959,3.5999999999999996
1454,0.961,4.4
1436,0.972,2.8
1127,0.955,17.1
1491,0.953,5.2
1028,0.964,1.7
1676,0.956,4.800000000000001
1668,0.951,4.0
1171,0.952,12.0
1104,0.985,2.0
1068,0.973,8.1
1802,0.953,9.2
1113,0.953,5.800000000000001
1444,0.957,2.0999999999999996
1038,0.955,12.1
1938,0.954,5.8999999999999995
1211,0.955,4.6
1041,0.955,16.6
1421,0.958,4.1
1390,0.952,5.4
1344,0.966,3.0
1468,0.952,6.7
1223,0.954,7.199999999999999
1730,0.955,9.2
1954,0.96,2.2
1925,0.954,11.0
1632,0.953,3.5
1238,0.954,5.0
1365,0.952,8.5
1636,0.955,8.3
1231,0.964,1.3
1567,0.952,10.9
1340,0.955,6.4
1863,0.955,10.7
