,x1,x2,x3
326,-0.59537613,-1.582781,-0.12521878
342,-0.5016398,-0.018276904,0.9710137
368,-0.6379522,-0.6395119,0.34211993
285,0.75176674,-0.54012275,0.36106327
383,-0.36241224,-0.82563287,0.72487885
273,-0.3299277,-1.1652725,0.7348473
493,0.780209,-1.0502765,0.41464
425,0.34533677,-1.0777111,0.3425358
482,-0.8979975,-0.7223741,0.36432028
427,-0.36371335,-0.071679324,0.7444985
395,-0.89674425,-1.0501243,0.037149765
498,-0.6066312,-1.0327139,0.080619566
290,-1.0904504,0.20099488,0.9649027
438,-0.8039047,-0.25109345,0.41482404
258,-0.018205008,-1.0460583,0.41400278
479,-1.7544584,-1.0256404,0.43006265
375,-0.75150967,-0.6718991,0.21749145
272,-0.6745038,-2.314863,0.34386247
366,-1.2443786,-1.176151,0.34270096
386,-0.56787956,0.11768976,1.0701767
447,-0.22598732,-0.3938201,0.54090035
319,-0.8868592,-0.3968695,0.64907485
350,-0.105648525,-0.12172037,0.75311404
310,-0.50064,-1.1847024,0.3670018
464,-0.57860255,-1.0716968,0.046650484
468,-0.6678252,-1.0530508,0.21656793
268,-1.8663474,-1.0321617,0.08075166
259,-1.872735,-1.7816441,0.07989216
458,0.058227926,-1.0543759,0.4130903
411,-2.319611,-2.732876,0.28320578
497,-0.74472654,-0.6757568,0.21841632
401,-0.52993417,-0.6752354,0.21661931
288,-0.6233497,-0.7874346,0.648412
422,-0.014826238,-1.9442581,0.5410328
460,-1.1006844,-2.524483,-0.41038516
299,0.33637536,-1.0714613,0.34464327
353,-1.3792589,-2.4064074,0.6522372
372,0.35652152,-0.6640363,0.4307202
371,-0.4114129,-0.67761064,0.22281954
283,0.7250973,0.209532,0.6622851
476,-0.62987727,-0.7883018,0.55958384
398,-0.74478996,-0.7059511,0.22176743
306,-0.5245445,-0.65922785,0.36064303
323,-0.5073789,-1.1765102,0.089727886
492,-0.8977281,-0.5020701,0.73892736
324,-0.008951587,0.32923165,0.9936381
406,0.92575353,-0.3956103,0.4088733
428,-1.5171741,0.043544937,0.66893613
278,0.35821134,-0.6605757,0.42261478
483,-1.8674605,-1.0381625,0.07269814
499,-0.7143416,-1.0513833,0.41385713
393,-0.74609387,-0.6252635,0.21581626
494,-0.74384516,-1.8130761,0.22291066
352,-0.47838563,-0.70796406,1.0058948
317,-1.9625019,-3.6109538,-0.69233966
355,-0.64469224,-1.1151158,0.3386028
348,-0.5018075,-1.1817691,0.2615744
445,-0.5033477,-0.9472903,0.42722416
388,-0.27647552,-0.46532542,1.0242679
251,-1.9246936,-0.110778846,0.64871395
300,-0.51074153,-0.7953285,0.26244637
253,0.7506691,-0.40069678,0.54083633
412,-1.8733311,-1.0285261,0.0715003
316,-0.563497,-1.065693,0.3502267
451,-0.3565221,-0.6652218,0.4307778
260,-0.29511464,-0.8861855,0.73571086
252,0.02884785,-0.6296622,0.34408987
408,-0.64322114,-1.6486503,0.33845514
349,-0.6741896,-0.7259896,-0.09911914
297,-0.74856293,-1.0364335,0.07520504
277,-0.11324925,-0.25750166,0.39810926
389,-0.5259586,-0.66242594,0.20634438
379,-0.4565452,0.42843786,0.8213082
402,-1.357752,0.41316256,0.79904145
254,-0.38759547,-1.4077439,0.3637346
365,-0.5235353,1.2610672,1.0458673
311,-0.3101311,-1.1800075,0.42532617
490,-0.36277574,0.8093217,0.9752574
313,-0.74294114,-1.1848389,0.22367746
488,-1.3934829,-1.7782377,-0.12917829
442,0.34968984,-0.65699685,0.36581606
263,-0.6666383,-1.184289,0.21845733
496,0.35377908,-0.25972852,0.4242574
436,0.95044875,0.73122174,1.027897
414,-0.016179858,0.332536,0.9892769
441,-1.3747371,-1.0098429,0.19281177
455,-0.4575661,-0.633446,0.3351735
481,-0.42825708,-0.6405399,0.22042656
261,-1.9598875,-2.4755194,0.8189174
363,-0.6996972,-2.3321114,0.36444587
289,-0.5025904,0.04053846,0.6481529
486,-1.8685362,-1.032746,0.079029396
421,-0.3617842,0.04264389,0.6696561
424,-0.30435762,-0.54754674,1.1060599
334,-1.9567538,-1.5795169,-0.11828107
296,-0.0093858065,-0.34887028,0.7222929
394,-0.8007611,-0.77858305,0.10777556
387,-0.9021194,-1.0485626,0.11588571
265,-1.9558823,-0.24249849,0.6511638
320,-0.80463564,-1.0527405,0.40994337
