ix,goal_cost,intv_cost
995,0.759,2.3
642,0.81,1.9
605,0.817,0.9
515,0.762,3.8
830,0.762,1.6
936,0.758,1.1
941,0.78,2.0
942,0.891,1.9
858,0.763,3.1
659,0.756,1.9
931,0.803,1.2
750,0.753,1.5
701,0.793,1.4
725,0.768,0.7
894,0.774,1.1
820,0.757,4.9
679,0.86,1.8
649,0.808,0.8
840,0.766,1.9000000000000001
616,0.755,1.4000000000000001
537,0.755,3.5
623,0.752,1.2
783,0.798,1.3
923,0.768,1.6
683,0.769,3.4000000000000004
570,0.811,2.7
713,0.752,2.4
771,0.823,2.3
975,0.761,1.7
930,0.777,1.0
663,0.751,2.7
993,0.752,5.1
533,0.769,3.3
864,0.756,5.2
576,0.76,0.7
948,0.761,6.1
928,0.759,4.6
549,0.782,1.1
994,0.755,2.7
695,0.7639999985694885,1.0
590,0.761,5.6
812,0.757,1.8
763,0.782,1.7
606,0.793,1.8
687,0.777999997138977,1.0
646,0.7879999876022339,0.5
696,0.757,3.1
862,0.764,4.8
837,0.767,2.3
697,0.7960000038146973,1.5
849,0.76,0.7
617,0.756,2.8
562,0.831,3.2
949,0.76,2.3
868,0.764,2.3
638,0.764,4.1
870,0.762,3.6
726,0.754,2.7
960,0.754,2.3000000000000003
739,0.761,6.4
964,0.757,4.4
794,0.753,1.9
583,0.783,2.0
505,0.76,1.6
822,0.773,1.1
952,0.779,0.9
804,0.848,1.2
988,0.772,3.2
772,0.752,5.300000000000001
734,0.766,4.1
664,0.765,6.7
789,0.865,2.1
633,0.759,3.5
581,0.786,1.1
850,0.772,1.7
568,0.756,3.5
757,0.761,2.5
854,0.751,2.8
917,0.764,3.7
926,0.759,2.5
575,0.756,1.2
821,0.758,1.2
920,0.774,0.7
685,0.77,1.1
974,0.765,1.6
661,0.78,0.8
801,0.777,1.9
918,0.794,1.4
599,0.758,3.1
875,0.756,2.3000000000000003
534,0.767,3.1
565,0.754,2.3
924,0.761,2.5
730,0.769,3.7
815,0.758,3.9
761,0.753,3.4
878,0.775,0.7
711,0.817,1.5
532,0.867,1.4
731,0.763,1.8
