,x1,x2,x3
599,-1.1115172,-1.2339877,-4.352235
791,-0.3003576,0.43969604,-0.35635927
740,-1.1184375,-0.823684,-1.8969539
790,-1.33587,-1.4307145,-2.5109382
966,-0.70762753,-0.5143708,0.16175368
833,-0.97805977,-0.6271679,-1.4633082
876,-0.8284563,-1.1190279,-1.5516095
806,0.21426785,-0.8712089,-2.5867987
657,-1.3117753,-2.1693091,-5.13002
899,-0.5441021,0.08717418,-1.9692751
702,-0.4513726,0.025515199,-0.5633583
797,-0.39734313,-0.16486725,-0.4023206
611,-1.1962003,-1.0022616,-2.291891
632,-0.2942553,0.1450626,-0.19440985
590,-1.9951652,-2.7304091,-5.394579
948,-1.7277896,-1.4558032,-1.4133134
710,-1.4715122,-0.9297346,-4.056122
725,-0.83082503,-0.71454674,-1.0818424
855,-0.05015256,-0.66045046,-0.058074653
883,0.19279777,0.09722032,-0.11378574
549,0.10339804,-0.2681669,-0.069503926
936,-0.98663396,-0.14284831,-1.7199149
569,-0.5060211,-0.29634947,0.35015917
688,-0.9348053,-1.2728711,-0.94323266
570,-0.52559996,-0.16906333,-1.8519113
726,-1.9371145,-1.3573788,-1.9800943
659,-0.72279865,-0.8308602,-2.77069
517,-0.8085737,-0.59835285,-1.5821289
587,-0.96585816,-1.1064062,-2.8198733
888,0.039429445,-0.3280398,-0.02744627
808,0.35265064,0.053954363,0.4241191
671,-0.029654922,-0.5941453,-1.3970807
545,-0.94312793,-0.37394428,-0.92370236
890,-0.6175671,-1.141259,-1.7633867
882,-2.2212985,-1.8259678,-5.6612453
720,-0.41673788,-0.58640313,-0.6373137
832,-0.44615877,-0.1730133,-0.46443325
552,-0.9490523,-1.0435939,-2.335089
959,-0.017120974,-0.46003732,-0.6892221
693,-0.12392984,0.16039313,0.55946267
662,-0.12825626,0.12381333,0.12803288
762,-1.6572926,-2.2107213,-4.062028
506,-1.5715393,-0.58456236,-4.7543206
910,-0.3388232,-0.31544566,-0.62475014
535,-0.5202052,-1.360786,-3.5983796
573,-1.3923476,-2.4750032,-2.4544728
679,-0.12996922,-0.80020976,-1.5026323
666,0.060398567,-0.08857842,0.057979573
534,-0.50509036,0.26386327,-0.2050407
921,-1.6581686,-2.0123456,-5.666292
750,-0.06110522,-0.93670905,-0.2919167
756,-0.26103836,0.5019699,-0.55686915
745,-0.1710676,-0.50852627,-0.7162425
503,-0.5912257,-0.31427303,-1.3306662
586,-0.86513597,-1.240287,-2.6653187
769,0.3174033,-0.27613625,0.08499265
960,-1.118893,-1.452257,-2.2440267
709,-0.9566432,-0.7189584,-0.67437124
887,-0.62314737,-1.236944,-0.696061
500,0.08041246,-0.6279481,-0.39163548
691,-0.45787928,0.28369626,-0.41822648
869,-0.64556855,-0.44221205,-3.3188066
803,-1.3792409,-1.7010083,-2.571721
753,-0.25292346,-1.1107225,0.18369353
915,-0.7631253,-1.3011577,-2.566028
872,-1.4493189,-0.934691,-1.8556027
972,-1.9717079,-1.8560287,-3.713115
595,-0.32277513,-0.26936448,0.6367657
647,-0.28563678,0.09781566,-0.21198992
774,-2.233915,-1.9507208,-4.338065
528,-2.2777877,-2.1480324,-5.339213
654,-0.29854223,0.6789578,0.59972215
613,-0.34101397,-0.35427397,0.25262934
568,-1.0529728,-1.692521,-0.46203852
687,-0.52593625,-0.34342954,-1.535316
634,-0.389214,0.019888252,-0.7390224
874,-0.6470024,-0.87077653,-2.3158896
881,0.19306384,-0.3072874,-0.0034594685
991,-1.2617536,-1.2822117,-2.5424325
829,-0.76855206,-0.5354986,-3.0723839
923,-0.25515845,-0.34022003,0.33688504
751,0.23857439,-0.67246544,-0.17559233
947,-0.71327615,-0.6017554,0.66733634
781,0.025983924,0.005742196,0.058975667
858,-0.65927905,-0.5048941,-2.4608192
621,-0.8982974,-1.3522023,-3.9743266
982,0.013555261,0.32457063,-0.058211327
643,-2.0752983,-1.9581794,-4.7547293
642,-0.8094603,-0.7064475,0.6080215
944,-0.8969443,-1.0793256,-2.2838056
968,-0.28184682,-0.44110125,0.5678125
981,-1.8266482,-1.6151762,-4.140272
708,-1.89525,-1.2471923,-2.1391025
980,-0.47708908,-0.4674314,-1.1085933
727,-0.57408416,-0.20024222,-1.5921123
865,-0.5057116,-1.4104654,-4.2449865
597,-1.5420449,-1.045227,-3.5132942
565,-1.1963639,-0.80540323,-1.2041935
665,-0.91796315,-1.4316081,-2.6365337
778,-0.50923824,-0.45875126,0.070396006
