,h_post,h_post_individualized
810,0.9775210952120794,1.0
599,0.9848342610438497,1.0
749,0.9698718075978501,1.0
809,0.9485634846914375,1.0
698,0.9758172498153767,1.0
737,0.9642482276075254,1.0
596,0.9569555077756553,1.0
682,0.9720031859713473,1.0
711,0.8686344514193992,1.0
719,0.9875692855347289,1.0
545,0.8661584789495508,0.6691185832023621
681,0.9773211893299205,1.0
929,0.9671687563508068,1.0
880,0.9691606697809049,1.0
537,0.9067469359903008,1.0
753,0.9666014593300558,1.0
586,0.9925344407231345,1.0
578,0.9064541747081086,0.7506447434425354
552,0.9821453033848359,1.0
925,0.9403091037230709,0.8052365183830261
928,0.9643536976066694,1.0
572,0.9525878666745541,0.8860529065132141
543,0.9571734419677174,0.9022122025489807
720,0.9426491264861552,1.0
637,0.9728197548714858,1.0
588,0.9892170870831867,1.0
777,0.9807822224364595,1.0
902,0.9739928165960218,1.0
725,0.9720164370853729,1.0
658,0.9177892130647171,1.0
778,0.9780092498148754,1.0
606,0.9486860673976025,1.0
542,0.9850243423401167,1.0
591,0.9434185445163292,1.0
780,0.9825914790920324,1.0
568,0.9753299941964926,1.0
597,0.9719356664623865,1.0
710,0.978681535624061,1.0
636,0.9439534843911542,0.812842845916748
776,0.9806828378735772,1.0
823,0.9577259852496871,1.0
744,0.9873424934307844,1.0
548,0.9737008810495805,1.0
649,0.9662641068479868,1.0
692,0.9679051018824589,1.0
933,0.9516881537097636,1.0
926,0.9768573453960656,1.0
757,0.9588371205005417,1.0
945,0.9513599928282174,1.0
687,0.9509658986802587,0.9013218283653259
594,0.8533096881186596,1.0
620,0.9758590217141552,1.0
769,0.9685312727817135,1.0
527,0.9615399830727847,0.5225619077682495
827,0.9650401855042634,0.9001100659370422
547,0.9681387199172512,1.0
642,0.92655919585889,1.0
788,0.9439065027025093,0.8815923929214478
717,0.9887464543541389,1.0
807,0.9387934856203829,1.0
832,0.9740593291882135,1.0
860,0.9445496186768398,0.9373617172241211
559,0.9728690710036804,1.0
754,0.9772213503997449,1.0
956,0.9839830151885307,1.0
546,0.9516057978919327,0.8841058611869812
932,0.9116584972592063,0.9177815318107605
638,0.9691320953124473,1.0
943,0.9729880059111415,0.6101172566413879
843,0.9727142869409644,1.0
700,0.9570076706193491,1.0
965,0.9743585438521731,1.0
584,0.9645605163022029,1.0
523,0.9663966424700363,1.0
601,0.9735494865047906,1.0
991,0.9789911305237027,1.0
894,0.968406433152407,1.0
603,0.9910270164974418,1.0
987,0.8341303672162772,1.0
648,0.9751952052893194,1.0
724,0.9614438039766003,1.0
919,0.9823897525736657,1.0
997,0.9536490622993482,0.8856900930404663
990,0.9727804053408158,1.0
808,0.9671052129682837,1.0
748,0.9361802450487829,0.8344652056694031
992,0.944422754584757,1.0
761,0.9709642877466859,1.0
634,0.9852479342695889,1.0
609,0.9271996837062826,1.0
557,0.9572607516778835,1.0
551,0.9712113613390497,1.0
723,0.9888240852293168,1.0
790,0.9675440238167796,1.0
961,0.9428042228716864,0.8863939642906189
839,0.9748492879803189,1.0
621,0.9331252547574564,1.0
901,0.9582232026105738,1.0
535,0.9316899945066298,1.0
526,0.9518980141094792,0.9004964828491211
