,x1,x2,x3
876,0.0,-0.1,0.3
630,0.4,0.4,3.3
991,1.4,0.0,0.0
874,-0.0,0.1,1.9
658,0.0,-0.1,0.7
527,0.7,0.6,4.7
638,0.0,0.1,3.8
845,-0.0,-0.0,3.0
981,-0.0,0.0,0.5
935,0.1,0.7,1.3
787,0.1,0.1,2.4
848,0.6,0.2,1.4
649,0.2,0.1,2.6
802,0.1,0.1,1.2
684,3.2,0.0,0.0
747,0.5,1.7,0.0
917,0.1,0.1,0.9
600,0.0,0.4,2.2
960,0.2,0.1,3.4
905,0.1,0.5,4.3
552,0.0,0.1,3.9
855,-0.0,0.6,5.7
889,-0.0,0.1,2.7
982,-0.1,0.1,0.7
637,0.2,0.1,1.5
660,0.1,0.1,1.2
771,0.2,0.6,1.0
596,0.3,0.1,3.6
662,0.5,0.3,2.0
695,0.1,-0.1,1.0
575,0.6,0.2,2.3
570,-0.0,0.1,1.8
954,0.6,0.5,5.4
584,-0.0,-0.1,0.2
853,0.0,-0.1,3.3
654,-0.0,0.1,0.4
545,2.3,0.9,-0.0
980,0.2,0.8,3.5
672,0.3,0.1,1.5
690,0.0,0.1,0.8
962,0.5,1.1,3.2
512,0.5,1.9,4.3
650,0.5,1.1,5.7
719,0.2,1.6,0.5
957,0.1,0.4,4.0
656,0.2,0.1,1.6
807,0.1,0.7,2.3
977,-0.0,0.1,0.3
535,0.0,-0.0,2.7
693,-0.0,0.1,0.5
657,0.2,0.1,1.8
792,0.1,1.0,5.5
538,0.0,0.1,0.7
939,-0.0,0.0,2.0
861,-0.0,0.1,0.5
824,1.6,1.1,5.6
530,-0.0,-0.0,0.9
946,-0.0,-0.0,0.7
825,-0.0,0.2,0.6
661,0.0,0.4,4.0
580,0.2,0.1,1.9
622,0.0,0.1,2.1
871,0.3,0.6,3.8
734,-0.0,0.1,2.7
670,-0.0,0.6,4.0
568,0.1,0.1,2.8
810,-0.0,1.1,3.7
798,0.1,0.2,0.9
715,-0.0,0.7,3.8
790,0.1,0.2,0.5
784,-0.3,0.2,5.1
744,0.1,0.1,2.4
586,2.2,0.0,0.0
725,0.1,0.1,0.5
706,0.2,1.2,3.9
942,0.0,0.8,3.4
972,0.0,1.4,4.9
675,-0.0,0.1,3.2
760,0.0,0.8,1.7
959,0.0,0.8,3.2
651,0.1,0.1,0.4
920,0.1,0.4,1.5
659,0.2,0.1,2.0
785,-0.0,-0.1,0.6
928,-0.0,0.2,0.2
770,0.0,0.5,5.7
626,1.8,0.1,0.0
990,-0.1,0.1,1.6
644,0.0,0.8,3.9
812,0.2,0.3,5.8
746,-0.0,3.0,6.7
816,-0.0,0.1,0.5
663,-0.0,1.0,3.7
997,1.3,1.4,0.0
546,0.1,0.3,3.6
846,0.8,0.1,4.2
560,-0.0,0.3,5.3
849,0.0,0.1,0.1
862,-0.0,0.9,3.0
627,-0.0,0.1,0.9
