,x1,x2,x3
778,0.3,2.0,2.5
791,0.2,1.3,1.4
816,0.6,1.8,-0.0
973,0.5,2.0,3.1
547,0.1,1.3,1.9
667,0.6,2.0,0.0
900,0.9,0.0,-0.0
733,0.5,4.2,5.1
762,0.1,2.0,2.1
749,0.5,1.3,0.0
968,0.7,1.9,1.8
940,0.7,1.1,6.7
625,0.2,2.1,2.3
640,0.2,2.6,3.0
903,0.3,-0.0,5.3
529,0.2,1.3,1.6
956,0.5,2.1,2.6
617,1.4,-0.0,0.0
569,0.6,1.6,0.0
885,1.5,0.5,1.9
769,0.0,1.7,-0.0
680,0.1,1.8,1.8
663,0.4,2.0,-0.0
836,-0.0,1.5,1.8
799,0.1,3.5,3.6
966,0.0,3.2,-0.0
877,1.4,0.9,2.6
859,1.1,1.3,-0.0
630,0.6,2.1,3.1
688,0.2,1.4,-0.0
851,0.5,0.9,1.9
649,2.0,0.0,2.6
807,1.3,1.1,2.6
761,0.4,2.1,2.2
628,1.6,2.6,3.1
644,0.2,1.3,1.4
710,0.1,1.5,2.1
780,0.6,-0.0,1.8
536,0.1,1.8,2.1
506,0.1,1.3,1.8
759,1.0,1.0,2.1
857,0.9,0.0,0.0
689,0.4,1.3,0.0
552,0.7,1.9,2.6
715,0.3,1.4,0.0
991,0.1,0.9,2.6
747,0.4,1.8,2.1
863,0.4,1.8,1.3
541,1.3,-0.0,2.1
567,0.9,2.0,2.1
941,0.5,1.3,1.8
772,0.1,2.6,0.0
821,-0.0,1.8,0.0
721,0.9,0.0,1.4
965,0.2,1.3,-0.0
530,1.4,2.3,3.8
723,-0.0,2.1,-0.0
847,1.5,3.1,4.5
889,1.3,-0.0,3.6
924,0.8,0.0,1.8
865,1.1,0.0,2.2
544,0.1,1.8,1.9
927,0.0,1.3,3.1
995,-0.0,1.5,1.8
811,1.3,1.3,2.6
858,0.8,-0.0,1.6
516,1.1,0.0,0.0
500,0.7,3.3,4.2
824,0.3,1.4,-0.0
588,0.2,2.5,3.0
556,0.7,1.8,2.8
930,0.7,0.5,1.3
503,0.3,2.3,0.5
590,0.1,2.6,0.0
766,0.6,2.6,3.6
988,0.4,1.8,-0.0
734,0.9,1.3,2.3
560,0.7,1.0,0.0
814,0.9,0.9,0.0
947,0.3,1.5,2.1
817,0.7,1.5,2.6
690,0.1,2.1,2.0
652,0.4,1.4,2.0
820,1.3,0.0,1.2
615,0.9,1.4,0.0
704,0.7,2.3,0.0
786,1.8,0.8,2.7
763,0.4,1.8,0.0
742,0.6,1.0,2.6
696,0.0,1.5,-0.0
784,1.2,-0.0,1.7
729,0.4,2.6,3.5
592,1.5,2.1,3.5
713,-0.1,1.8,-0.0
642,0.3,2.6,3.0
993,0.7,1.9,2.6
834,0.7,1.5,2.6
753,0.0,2.0,1.3
886,0.4,1.8,2.6
992,1.1,3.0,4.2
