,x1,x2,x3
979,-0.040337276,1.1860971,1.8793323
739,0.6818036,0.777965,1.6716162
878,0.109971836,1.3030684,1.5572501
884,0.5485821,0.83941925,1.4661647
718,0.8957033,0.5256753,1.4990964
947,0.3147425,0.89587855,1.6343232
811,0.9145542,0.28152376,1.8396007
605,0.49408382,0.6358716,1.6696275
818,1.0729599,0.48645657,1.5882317
776,0.23649874,0.9923037,1.5180196
922,0.93272793,0.69720024,1.6036475
741,0.6222312,0.8643558,1.3978701
995,0.68382055,1.0226009,1.7729023
791,1.1614816,0.2038449,1.6147884
649,0.76253563,0.74264055,1.5478303
580,0.3424887,1.1791655,1.635063
603,0.7065339,0.8136282,1.610832
565,0.5795304,0.95831954,1.3930801
848,-0.14390819,0.49803218,2.760707
885,1.0110745,0.6590693,1.661253
929,0.8613452,0.66312355,1.4352708
620,1.1384794,-0.5974957,2.4483387
686,0.5780428,1.0357827,1.4516519
645,0.2547779,1.3388463,1.4936244
704,0.8891732,1.2440432,0.9782373
750,0.28997558,0.8378192,1.8902147
651,1.0971781,0.38109583,1.5518972
617,0.67199856,1.062476,1.3837527
766,0.9729647,0.82845104,1.3012683
506,1.0809755,1.1175206,1.0547855
583,0.5253525,1.2583005,1.7938703
984,0.9773712,0.40720347,1.567449
754,0.31766054,1.1550981,1.5630531
749,0.9497627,0.61312014,1.5336916
945,0.915126,-0.39848393,2.6048222
551,0.70417136,0.8014667,1.6857048
936,1.0627478,0.4082137,1.354223
795,0.25208113,0.91908664,1.6736746
752,0.8685916,0.6101191,1.4892015
717,0.26288536,0.8241741,1.8793192
870,0.782225,0.7344905,1.6775527
730,0.6004865,0.6453072,1.4857913
990,0.51019484,0.64916104,1.8123933
560,0.25869656,0.95785713,1.6464119
847,0.42906523,1.0650631,1.5997466
671,0.64472824,0.77945507,1.4217005
599,1.1608634,0.45595592,1.514336
614,0.9385205,0.7730216,1.5892408
858,1.4787085,1.2290094,2.6616695
857,0.5703026,0.7448174,1.5701526
627,0.27635705,1.2918327,1.4937783
844,0.20421079,1.4006622,1.7644106
608,0.9778863,1.421817,2.0997584
988,1.4058822,-0.18224095,1.5321349
924,0.24654293,1.2901716,1.4501851
908,0.81141627,0.73832333,1.6003405
670,1.0612308,0.72941697,1.8062588
926,0.59242827,0.8097036,1.9345999
935,0.47970355,0.089822136,2.1792393
927,0.6116511,0.93964165,1.3650168
531,0.25996846,1.3054953,1.4629028
523,0.44560143,0.9333736,1.549584
911,0.87015957,0.6636647,1.5463709
839,0.28533518,1.3457466,1.6055526
543,0.9997546,1.2334248,1.0294564
648,1.1124115,0.34986258,1.4751561
623,0.86548495,0.53920424,1.5831082
783,0.73255724,0.64057815,1.4994366
679,0.2204129,0.9566026,1.6938565
998,0.20875303,1.4015731,1.2545415
756,0.32929933,1.1911618,1.4960513
517,0.62241644,0.993944,1.5116404
674,1.1118675,0.47910786,1.7461419
691,0.69499093,0.9545492,1.6283845
877,0.8327802,0.64730936,1.5798646
713,0.8533348,0.69844097,1.5896285
722,1.1933328,0.49113688,1.6142589
712,0.7541747,0.4478314,1.7211906
592,1.128455,2.482185,-0.3953465
733,0.9186577,0.5306289,1.4411619
587,0.55259794,1.0028948,1.5356882
809,0.46506694,1.2564062,1.4246632
662,0.0142636895,1.4210548,1.4850571
716,0.35152104,-0.4013491,3.232331
952,0.7123606,0.7001169,1.5133197
975,0.81511843,1.306962,0.9051089
683,0.939974,0.47661597,1.4329879
954,1.0356429,0.434197,1.4639237
514,0.14718097,2.337792,0.34815574
549,0.47002572,1.1368212,1.6096107
559,0.2096338,1.1356428,1.5938759
838,0.88185287,0.6641811,1.6058028
769,0.17921798,1.071062,1.8657802
666,0.7303633,0.6996924,1.4765291
815,0.928738,0.49415118,1.5281291
510,0.7297683,0.88173366,1.4380215
856,0.9187034,0.3049759,1.5157244
547,0.5046729,0.9350767,1.6964724
925,0.6733392,0.98007715,1.6223065
