,x1,x2,x3
968,0.081691876,0.5598487,0.59483707
780,-0.1810346,0.68832463,0.5931703
541,0.5125791,1.4221749,1.8787701
984,0.50847864,0.5135923,0.891374
933,0.31770253,-0.4174086,1.2407129
550,0.40613383,-0.50807434,0.57857114
851,1.1848125,0.5182115,1.6852326
822,0.17463477,-0.54291123,1.3989407
795,-0.24259193,0.64618427,0.7270173
618,0.5193047,0.10110359,0.5193757
692,0.48044908,-1.3842998,-0.9339528
914,0.69056696,-0.98160285,0.584303
941,0.45252687,-0.3946985,0.13784507
515,1.0119984,-0.28568968,0.7910966
562,0.55874074,0.115632534,0.46024522
753,0.030976987,0.80495363,0.923915
520,0.63491964,0.42468125,0.3312467
668,-0.3430142,0.79713607,0.6142966
803,-0.17976497,0.7055174,0.5650712
551,0.8622063,0.6576586,-0.13343525
875,0.93866897,-0.06946063,1.0009227
834,1.3170881,0.982008,2.3684235
695,1.1446897,1.8106976,-0.71924675
568,0.6893753,0.60537136,-0.044719987
791,0.015025735,0.58377683,0.48571602
616,0.40941155,0.8116022,-0.19517279
750,0.3715615,0.37693784,0.62034416
964,0.5472099,0.056779336,0.46583572
648,0.3469943,-0.013766915,0.7388218
664,0.31878954,0.61089885,1.2315294
953,-0.12976143,0.16359644,1.0520984
583,-0.46351153,0.9658112,0.595198
553,0.5156474,0.04513328,0.5709967
812,0.53577954,-0.042716406,0.58028746
845,1.0920327,-0.42090264,0.49546087
783,1.1314437,-0.7254189,0.71487284
757,0.002284789,0.4859573,0.633897
590,0.59439194,-0.06013932,0.57110375
509,0.7257391,-0.09047572,0.67022806
559,0.93905616,2.0059357,3.023025
519,0.7380388,-0.109767154,0.42740592
560,0.7917375,-0.057331562,0.77455634
831,0.25701526,0.6193817,0.33646506
533,0.7913343,-0.18684778,0.54420346
767,0.63843215,-0.067064926,0.5023923
508,0.013243272,0.46491075,0.7194365
996,0.42439753,0.6194905,0.5720466
504,-0.082743324,0.5520081,0.5673281
897,0.3234196,0.02245298,0.6392637
506,0.49999547,0.5428594,1.1294543
792,0.8418328,-0.28373566,0.531565
702,0.042840976,0.62590104,0.64165896
885,0.37114322,-0.4078128,1.0842873
524,0.5434288,-0.12102687,0.5067325
742,1.0229377,-0.75556827,0.5405583
825,1.227948,-0.5600913,0.4461225
943,0.54420596,0.041481208,0.568473
686,0.8751189,-0.22128525,0.47892284
647,0.795397,0.28781128,0.0655518
850,0.6031848,0.010773445,0.45248953
687,0.024809146,-0.73349124,1.7965246
660,0.30552602,0.38676894,0.5835487
645,-0.53439814,0.91296047,0.7740246
754,-0.20240526,0.8066182,0.7951946
844,0.12108252,0.25248227,0.6872402
747,-0.08739794,-0.079337,1.2404922
714,0.71887416,-0.2204969,-0.8009286
514,0.5626816,0.27176252,0.8277522
830,0.4711511,-0.7847185,0.68833756
595,0.82480663,-0.26955128,0.492817
772,1.0281416,2.2927713,3.3082356
837,0.5566936,-0.1705144,0.49036902
993,-0.071987554,0.6770022,0.50868315
785,0.19816284,0.1856164,0.70186496
600,1.0357747,1.1642975,-0.64402497
586,-0.10722692,0.18608224,0.99262226
980,-0.0028040172,0.61364967,0.54899806
924,0.4456863,0.19359253,0.75829
628,-0.060324978,0.82953,0.30636328
961,0.040023424,0.17512675,0.86192065
801,0.7677351,-0.2973861,0.6721387
768,-0.06990118,0.013542771,1.1021386
923,0.09151039,0.037697982,0.9619876
934,-0.0023298026,0.0848671,1.068138
989,0.57074094,0.030941987,0.7698386
883,-0.018117905,0.62566966,0.5757105
956,0.27668974,0.3168847,0.50001115
729,-0.20448819,0.6919515,0.5120772
769,0.6658332,1.8691564,0.057708405
517,1.020786,-0.4122342,0.5548976
930,-0.19264604,1.2245148,0.07733443
838,0.31380838,0.41092166,0.49914855
512,0.5789157,0.731216,-0.26009282
945,0.52383024,1.3244624,0.4327608
788,0.9447277,1.281232,-0.49735802
866,-0.2805775,0.7015724,0.60108215
833,0.90506566,0.26537794,-0.42168126
756,-0.09369405,-0.014167833,1.2477807
954,0.5763377,0.016989147,0.44292727
713,0.30767995,0.43394363,0.48748526
