,x1,x2,x3
968,0.1,0.6,2.3
780,1.1,0.0,1.5
541,-0.0,0.0,0.2
984,0.8,-0.1,2.7
933,-0.0,0.5,0.4
550,0.7,0.2,1.9
851,0.4,0.1,0.9
822,0.1,2.6,4.8
795,0.5,1.4,3.0
618,-0.0,0.4,1.7
692,0.3,1.0,3.2
914,0.0,1.6,2.7
941,0.0,0.1,0.2
515,-0.0,0.4,0.8
562,0.8,-0.0,4.1
753,0.1,0.5,1.4
520,-0.0,0.8,1.3
668,0.0,0.4,2.0
803,0.0,1.7,2.8
551,0.8,0.9,2.1
875,-0.0,0.7,0.8
834,0.0,0.1,0.4
695,0.3,0.2,0.8
568,0.1,0.1,0.0
791,-0.0,0.2,2.5
616,0.9,0.7,3.1
750,0.1,0.2,0.9
964,0.3,-0.1,5.4
648,0.1,-0.0,1.3
664,0.1,0.4,1.1
953,0.1,0.3,6.4
583,0.3,0.5,1.2
553,-0.1,0.1,3.1
812,1.3,1.0,7.4
845,0.4,0.4,0.5
783,0.2,2.1,5.0
757,0.5,1.1,2.0
590,0.2,0.5,2.0
509,0.0,0.3,0.5
559,0.4,0.1,0.4
519,0.5,0.1,4.4
560,-0.0,0.5,0.8
831,0.0,0.4,1.8
533,0.0,0.1,0.1
767,0.0,0.2,3.4
508,0.0,0.7,0.9
996,-0.0,-0.0,0.4
504,-0.0,0.5,0.5
897,-0.0,-0.0,0.1
506,0.1,0.2,1.0
792,0.1,1.3,1.6
702,0.0,0.4,1.0
885,0.5,0.2,1.0
524,-0.0,0.3,0.7
742,0.1,0.2,0.2
825,0.1,-0.0,1.2
943,0.5,2.3,5.8
686,1.6,2.8,6.6
647,0.2,2.0,2.8
850,-0.0,0.7,1.6
687,0.6,2.1,4.1
660,-0.0,0.1,0.6
645,-0.0,0.1,4.7
754,0.0,0.1,0.1
844,0.0,0.3,0.5
747,0.3,0.4,1.0
714,0.0,-0.0,0.7
514,0.5,0.7,1.6
830,0.1,1.7,3.0
595,-0.0,0.4,1.2
772,0.6,0.0,1.2
837,0.1,1.0,1.9
993,1.2,1.4,3.2
785,0.6,2.5,3.9
600,0.2,0.2,1.2
586,1.0,0.3,2.3
980,0.9,2.5,3.5
924,0.0,0.4,0.3
628,-0.0,0.0,2.1
961,2.9,1.9,7.1
801,0.0,0.1,4.9
768,1.8,0.8,4.2
923,1.6,2.0,5.7
934,1.9,1.8,6.0
989,0.0,0.5,0.3
883,1.9,0.1,7.2
956,0.1,0.6,0.9
729,0.0,0.8,2.5
769,1.0,0.6,3.2
517,2.1,1.7,4.2
930,0.1,0.8,1.4
838,0.1,2.7,4.6
512,0.2,1.4,2.9
945,0.4,0.3,1.9
788,0.1,0.0,0.8
866,0.8,0.7,3.0
833,0.3,0.1,1.5
756,0.2,0.0,3.4
954,0.0,-0.0,0.5
713,0.1,0.3,2.0
